group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,bevy,,,,51971500.0,ns,23
add_remove,bevy,,,,51784100.0,ns,23
add_remove,bevy,,,,51665400.0,ns,23
add_remove,bevy,,,,51813900.0,ns,23
add_remove,bevy,,,,51297600.0,ns,23
add_remove,bevy,,,,51600300.0,ns,23
add_remove,bevy,,,,51348600.0,ns,23
add_remove,bevy,,,,51362600.0,ns,23
add_remove,bevy,,,,51571500.0,ns,23
add_remove,bevy,,,,51295100.0,ns,23
add_remove,bevy,,,,51281500.0,ns,23
add_remove,bevy,,,,51159800.0,ns,23
add_remove,bevy,,,,51413800.0,ns,23
add_remove,bevy,,,,50903600.0,ns,23
add_remove,bevy,,,,51020700.0,ns,23
add_remove,bevy,,,,51348800.0,ns,23
add_remove,bevy,,,,51176000.0,ns,23
add_remove,bevy,,,,51505600.0,ns,23
add_remove,bevy,,,,52670800.0,ns,23
add_remove,bevy,,,,51117000.0,ns,23
add_remove,bevy,,,,51350400.0,ns,23
add_remove,bevy,,,,51155900.0,ns,23
add_remove,bevy,,,,51372400.0,ns,23
add_remove,bevy,,,,51071400.0,ns,23
add_remove,bevy,,,,50890600.0,ns,23
add_remove,bevy,,,,51447000.0,ns,23
add_remove,bevy,,,,51079900.0,ns,23
add_remove,bevy,,,,51726400.0,ns,23
add_remove,bevy,,,,50976100.0,ns,23
add_remove,bevy,,,,51353400.0,ns,23
add_remove,bevy,,,,51049400.0,ns,23
add_remove,bevy,,,,51402200.0,ns,23
add_remove,bevy,,,,51343400.0,ns,23
add_remove,bevy,,,,51469300.0,ns,23
add_remove,bevy,,,,51149700.0,ns,23
add_remove,bevy,,,,51373900.0,ns,23
add_remove,bevy,,,,50798500.0,ns,23
add_remove,bevy,,,,52768200.0,ns,23
add_remove,bevy,,,,50959900.0,ns,23
add_remove,bevy,,,,51667900.0,ns,23
add_remove,bevy,,,,51210400.0,ns,23
add_remove,bevy,,,,50889600.0,ns,23
add_remove,bevy,,,,51462900.0,ns,23
add_remove,bevy,,,,51783000.0,ns,23
add_remove,bevy,,,,51446700.0,ns,23
add_remove,bevy,,,,51137400.0,ns,23
add_remove,bevy,,,,51290900.0,ns,23
add_remove,bevy,,,,51375300.0,ns,23
add_remove,bevy,,,,50918700.0,ns,23
add_remove,bevy,,,,50599800.0,ns,23
add_remove,bevy,,,,51263100.0,ns,23
add_remove,bevy,,,,51583000.0,ns,23
add_remove,bevy,,,,51141500.0,ns,23
add_remove,bevy,,,,50810400.0,ns,23
add_remove,bevy,,,,51498900.0,ns,23
add_remove,bevy,,,,51138100.0,ns,23
add_remove,bevy,,,,51928300.0,ns,23
add_remove,bevy,,,,52163600.0,ns,23
add_remove,bevy,,,,51647400.0,ns,23
add_remove,bevy,,,,50875200.0,ns,23
add_remove,bevy,,,,51046100.0,ns,23
add_remove,bevy,,,,51446500.0,ns,23
add_remove,bevy,,,,51403400.0,ns,23
add_remove,bevy,,,,51528800.0,ns,23
add_remove,bevy,,,,51560700.0,ns,23
add_remove,bevy,,,,51136000.0,ns,23
add_remove,bevy,,,,51007700.0,ns,23
add_remove,bevy,,,,51353800.0,ns,23
add_remove,bevy,,,,51317200.0,ns,23
add_remove,bevy,,,,51222900.0,ns,23
add_remove,bevy,,,,51553600.0,ns,23
add_remove,bevy,,,,51340700.0,ns,23
add_remove,bevy,,,,51189800.0,ns,23
add_remove,bevy,,,,51943000.0,ns,23
add_remove,bevy,,,,50937800.0,ns,23
add_remove,bevy,,,,52583700.0,ns,23
add_remove,bevy,,,,51275400.0,ns,23
add_remove,bevy,,,,51330000.0,ns,23
add_remove,bevy,,,,51064000.0,ns,23
add_remove,bevy,,,,51365100.0,ns,23
add_remove,bevy,,,,51187800.0,ns,23
add_remove,bevy,,,,50938000.0,ns,23
add_remove,bevy,,,,51508100.0,ns,23
add_remove,bevy,,,,51133600.0,ns,23
add_remove,bevy,,,,51108700.0,ns,23
add_remove,bevy,,,,51128300.0,ns,23
add_remove,bevy,,,,51407800.0,ns,23
add_remove,bevy,,,,50691200.0,ns,23
add_remove,bevy,,,,51030100.0,ns,23
add_remove,bevy,,,,51165400.0,ns,23
add_remove,bevy,,,,51278900.0,ns,23
add_remove,bevy,,,,51582800.0,ns,23
add_remove,bevy,,,,51383600.0,ns,23
add_remove,bevy,,,,51039500.0,ns,23
add_remove,bevy,,,,50908400.0,ns,23
add_remove,bevy,,,,52995200.0,ns,23
add_remove,bevy,,,,51281800.0,ns,23
add_remove,bevy,,,,51522100.0,ns,23
add_remove,bevy,,,,51220300.0,ns,23
add_remove,bevy,,,,51083500.0,ns,23
