group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,bevy,,,,53732700.0,ns,23
add_remove,bevy,,,,53320600.0,ns,23
add_remove,bevy,,,,53248800.0,ns,23
add_remove,bevy,,,,53188500.0,ns,23
add_remove,bevy,,,,53185400.0,ns,23
add_remove,bevy,,,,53587000.0,ns,23
add_remove,bevy,,,,53261800.0,ns,23
add_remove,bevy,,,,52905000.0,ns,23
add_remove,bevy,,,,54933200.0,ns,23
add_remove,bevy,,,,53346400.0,ns,23
add_remove,bevy,,,,53299000.0,ns,23
add_remove,bevy,,,,53220300.0,ns,23
add_remove,bevy,,,,58012600.0,ns,23
add_remove,bevy,,,,53407200.0,ns,23
add_remove,bevy,,,,55650400.0,ns,23
add_remove,bevy,,,,53220500.0,ns,23
add_remove,bevy,,,,53347000.0,ns,23
add_remove,bevy,,,,53908300.0,ns,23
add_remove,bevy,,,,53033700.0,ns,23
add_remove,bevy,,,,53159600.0,ns,23
add_remove,bevy,,,,52812000.0,ns,23
add_remove,bevy,,,,52956600.0,ns,23
add_remove,bevy,,,,53121800.0,ns,23
add_remove,bevy,,,,52814500.0,ns,23
add_remove,bevy,,,,53523100.0,ns,23
add_remove,bevy,,,,53462700.0,ns,23
add_remove,bevy,,,,59940800.0,ns,23
add_remove,bevy,,,,55471200.0,ns,23
add_remove,bevy,,,,53156200.0,ns,23
add_remove,bevy,,,,53207400.0,ns,23
add_remove,bevy,,,,53400600.0,ns,23
add_remove,bevy,,,,53169100.0,ns,23
add_remove,bevy,,,,53381100.0,ns,23
add_remove,bevy,,,,54013100.0,ns,23
add_remove,bevy,,,,53679300.0,ns,23
add_remove,bevy,,,,53794000.0,ns,23
add_remove,bevy,,,,53549200.0,ns,23
add_remove,bevy,,,,53548200.0,ns,23
add_remove,bevy,,,,54000800.0,ns,23
add_remove,bevy,,,,53355400.0,ns,23
add_remove,bevy,,,,53500200.0,ns,23
add_remove,bevy,,,,53378200.0,ns,23
add_remove,bevy,,,,53331000.0,ns,23
add_remove,bevy,,,,53369800.0,ns,23
add_remove,bevy,,,,56277600.0,ns,23
add_remove,bevy,,,,62230500.0,ns,23
add_remove,bevy,,,,53611600.0,ns,23
add_remove,bevy,,,,53200100.0,ns,23
add_remove,bevy,,,,53484800.0,ns,23
add_remove,bevy,,,,52936700.0,ns,23
add_remove,bevy,,,,53155600.0,ns,23
add_remove,bevy,,,,53276200.0,ns,23
add_remove,bevy,,,,52709900.0,ns,23
add_remove,bevy,,,,52958300.0,ns,23
add_remove,bevy,,,,53644600.0,ns,23
add_remove,bevy,,,,52747400.0,ns,23
add_remove,bevy,,,,53249300.0,ns,23
add_remove,bevy,,,,53343200.0,ns,23
add_remove,bevy,,,,53478700.0,ns,23
add_remove,bevy,,,,53200200.0,ns,23
add_remove,bevy,,,,53489300.0,ns,23
add_remove,bevy,,,,52825300.0,ns,23
add_remove,bevy,,,,53501100.0,ns,23
add_remove,bevy,,,,59489700.0,ns,23
add_remove,bevy,,,,53287500.0,ns,23
add_remove,bevy,,,,53106400.0,ns,23
add_remove,bevy,,,,53434900.0,ns,23
add_remove,bevy,,,,53342100.0,ns,23
add_remove,bevy,,,,53101000.0,ns,23
add_remove,bevy,,,,53474800.0,ns,23
add_remove,bevy,,,,53461700.0,ns,23
add_remove,bevy,,,,52944300.0,ns,23
add_remove,bevy,,,,53295600.0,ns,23
add_remove,bevy,,,,53322300.0,ns,23
add_remove,bevy,,,,53121700.0,ns,23
add_remove,bevy,,,,52860400.0,ns,23
add_remove,bevy,,,,53162100.0,ns,23
add_remove,bevy,,,,53241100.0,ns,23
add_remove,bevy,,,,54030600.0,ns,23
add_remove,bevy,,,,53378800.0,ns,23
add_remove,bevy,,,,52842900.0,ns,23
add_remove,bevy,,,,56520900.0,ns,23
add_remove,bevy,,,,52687400.0,ns,23
add_remove,bevy,,,,53348300.0,ns,23
add_remove,bevy,,,,53710200.0,ns,23
add_remove,bevy,,,,53345800.0,ns,23
add_remove,bevy,,,,53011200.0,ns,23
add_remove,bevy,,,,53598300.0,ns,23
add_remove,bevy,,,,52956800.0,ns,23
add_remove,bevy,,,,53819600.0,ns,23
add_remove,bevy,,,,53162200.0,ns,23
add_remove,bevy,,,,53115800.0,ns,23
add_remove,bevy,,,,53441100.0,ns,23
add_remove,bevy,,,,53253200.0,ns,23
add_remove,bevy,,,,53141700.0,ns,23
add_remove,bevy,,,,53305400.0,ns,23
add_remove,bevy,,,,52806700.0,ns,23
add_remove,bevy,,,,53347300.0,ns,23
add_remove,bevy,,,,53356400.0,ns,23
add_remove,bevy,,,,53870200.0,ns,23
