group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,hecs,,,,1241700.0,ns,1
add_remove,hecs,,,,2413800.0,ns,2
add_remove,hecs,,,,3611900.0,ns,3
add_remove,hecs,,,,4798900.0,ns,4
add_remove,hecs,,,,6003300.0,ns,5
add_remove,hecs,,,,6972700.0,ns,6
add_remove,hecs,,,,8395000.0,ns,7
add_remove,hecs,,,,9235300.0,ns,8
add_remove,hecs,,,,10782900.0,ns,9
add_remove,hecs,,,,11980800.0,ns,10
add_remove,hecs,,,,12634900.0,ns,11
add_remove,hecs,,,,13864600.0,ns,12
add_remove,hecs,,,,15586200.0,ns,13
add_remove,hecs,,,,16767900.0,ns,14
add_remove,hecs,,,,18014900.0,ns,15
add_remove,hecs,,,,19196200.0,ns,16
add_remove,hecs,,,,20083700.0,ns,17
add_remove,hecs,,,,21043200.0,ns,18
add_remove,hecs,,,,22748500.0,ns,19
add_remove,hecs,,,,23881200.0,ns,20
add_remove,hecs,,,,24345900.0,ns,21
add_remove,hecs,,,,26361500.0,ns,22
add_remove,hecs,,,,27548900.0,ns,23
add_remove,hecs,,,,28720100.0,ns,24
add_remove,hecs,,,,29897600.0,ns,25
add_remove,hecs,,,,30937200.0,ns,26
add_remove,hecs,,,,31362700.0,ns,27
add_remove,hecs,,,,33495900.0,ns,28
add_remove,hecs,,,,33920000.0,ns,29
add_remove,hecs,,,,35877700.0,ns,30
add_remove,hecs,,,,37132600.0,ns,31
add_remove,hecs,,,,38302400.0,ns,32
add_remove,hecs,,,,39533000.0,ns,33
add_remove,hecs,,,,39013300.0,ns,34
add_remove,hecs,,,,40498300.0,ns,35
add_remove,hecs,,,,42622100.0,ns,36
add_remove,hecs,,,,43331600.0,ns,37
add_remove,hecs,,,,43879200.0,ns,38
add_remove,hecs,,,,45891500.0,ns,39
add_remove,hecs,,,,47036900.0,ns,40
add_remove,hecs,,,,47504600.0,ns,41
add_remove,hecs,,,,48671500.0,ns,42
add_remove,hecs,,,,50362100.0,ns,43
add_remove,hecs,,,,50669700.0,ns,44
add_remove,hecs,,,,53084900.0,ns,45
add_remove,hecs,,,,54651600.0,ns,46
add_remove,hecs,,,,56282600.0,ns,47
add_remove,hecs,,,,55594600.0,ns,48
add_remove,hecs,,,,56083900.0,ns,49
add_remove,hecs,,,,58222700.0,ns,50
add_remove,hecs,,,,59539700.0,ns,51
add_remove,hecs,,,,62199900.0,ns,52
add_remove,hecs,,,,63408200.0,ns,53
add_remove,hecs,,,,63072100.0,ns,54
add_remove,hecs,,,,62721200.0,ns,55
add_remove,hecs,,,,66955800.0,ns,56
add_remove,hecs,,,,66285600.0,ns,57
add_remove,hecs,,,,69318700.0,ns,58
add_remove,hecs,,,,68201000.0,ns,59
add_remove,hecs,,,,71710900.0,ns,60
add_remove,hecs,,,,69740000.0,ns,61
add_remove,hecs,,,,72921000.0,ns,62
add_remove,hecs,,,,73532500.0,ns,63
add_remove,hecs,,,,76517000.0,ns,64
add_remove,hecs,,,,77740300.0,ns,65
add_remove,hecs,,,,78036500.0,ns,66
add_remove,hecs,,,,80602500.0,ns,67
add_remove,hecs,,,,81284100.0,ns,68
add_remove,hecs,,,,82472600.0,ns,69
add_remove,hecs,,,,82743000.0,ns,70
add_remove,hecs,,,,84397300.0,ns,71
add_remove,hecs,,,,84617800.0,ns,72
add_remove,hecs,,,,85373300.0,ns,73
add_remove,hecs,,,,85480200.0,ns,74
add_remove,hecs,,,,87292900.0,ns,75
add_remove,hecs,,,,87123000.0,ns,76
add_remove,hecs,,,,90870900.0,ns,77
add_remove,hecs,,,,92814900.0,ns,78
add_remove,hecs,,,,90830100.0,ns,79
add_remove,hecs,,,,95631300.0,ns,80
add_remove,hecs,,,,93406300.0,ns,81
add_remove,hecs,,,,93842500.0,ns,82
add_remove,hecs,,,,94784400.0,ns,83
add_remove,hecs,,,,95781900.0,ns,84
add_remove,hecs,,,,97565100.0,ns,85
add_remove,hecs,,,,101505200.0,ns,86
add_remove,hecs,,,,104038100.0,ns,87
add_remove,hecs,,,,103154200.0,ns,88
add_remove,hecs,,,,103132200.0,ns,89
add_remove,hecs,,,,105213300.0,ns,90
add_remove,hecs,,,,104413100.0,ns,91
add_remove,hecs,,,,106521600.0,ns,92
add_remove,hecs,,,,106407500.0,ns,93
add_remove,hecs,,,,111293700.0,ns,94
add_remove,hecs,,,,113153600.0,ns,95
add_remove,hecs,,,,111932800.0,ns,96
add_remove,hecs,,,,110359300.0,ns,97
add_remove,hecs,,,,111851500.0,ns,98
add_remove,hecs,,,,114298800.0,ns,99
add_remove,hecs,,,,116130400.0,ns,100
