group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,legion,,,,52070500.0,ns,9
add_remove,legion,,,,55147100.0,ns,9
add_remove,legion,,,,51890400.0,ns,9
add_remove,legion,,,,51310600.0,ns,9
add_remove,legion,,,,51734400.0,ns,9
add_remove,legion,,,,51907500.0,ns,9
add_remove,legion,,,,51929200.0,ns,9
add_remove,legion,,,,51723000.0,ns,9
add_remove,legion,,,,52122200.0,ns,9
add_remove,legion,,,,51945000.0,ns,9
add_remove,legion,,,,52015900.0,ns,9
add_remove,legion,,,,51963500.0,ns,9
add_remove,legion,,,,51997500.0,ns,9
add_remove,legion,,,,51691300.0,ns,9
add_remove,legion,,,,52268300.0,ns,9
add_remove,legion,,,,51522900.0,ns,9
add_remove,legion,,,,51484000.0,ns,9
add_remove,legion,,,,51739500.0,ns,9
add_remove,legion,,,,51615900.0,ns,9
add_remove,legion,,,,51746800.0,ns,9
add_remove,legion,,,,52079100.0,ns,9
add_remove,legion,,,,51322500.0,ns,9
add_remove,legion,,,,51397000.0,ns,9
add_remove,legion,,,,53349400.0,ns,9
add_remove,legion,,,,51504200.0,ns,9
add_remove,legion,,,,51761800.0,ns,9
add_remove,legion,,,,51894200.0,ns,9
add_remove,legion,,,,51859900.0,ns,9
add_remove,legion,,,,51452200.0,ns,9
add_remove,legion,,,,51574900.0,ns,9
add_remove,legion,,,,52608700.0,ns,9
add_remove,legion,,,,51957000.0,ns,9
add_remove,legion,,,,52001200.0,ns,9
add_remove,legion,,,,52102400.0,ns,9
add_remove,legion,,,,52057200.0,ns,9
add_remove,legion,,,,51539300.0,ns,9
add_remove,legion,,,,51736400.0,ns,9
add_remove,legion,,,,51581400.0,ns,9
add_remove,legion,,,,51716600.0,ns,9
add_remove,legion,,,,53603000.0,ns,9
add_remove,legion,,,,51879900.0,ns,9
add_remove,legion,,,,51924400.0,ns,9
add_remove,legion,,,,51844400.0,ns,9
add_remove,legion,,,,51840500.0,ns,9
add_remove,legion,,,,51643700.0,ns,9
add_remove,legion,,,,52124400.0,ns,9
add_remove,legion,,,,52034500.0,ns,9
add_remove,legion,,,,51993900.0,ns,9
add_remove,legion,,,,51957500.0,ns,9
add_remove,legion,,,,52087800.0,ns,9
add_remove,legion,,,,52212600.0,ns,9
add_remove,legion,,,,51937100.0,ns,9
add_remove,legion,,,,51723700.0,ns,9
add_remove,legion,,,,51362100.0,ns,9
add_remove,legion,,,,51814200.0,ns,9
add_remove,legion,,,,52271300.0,ns,9
add_remove,legion,,,,52145100.0,ns,9
add_remove,legion,,,,52047600.0,ns,9
add_remove,legion,,,,52150600.0,ns,9
add_remove,legion,,,,51832900.0,ns,9
add_remove,legion,,,,52014100.0,ns,9
add_remove,legion,,,,51911900.0,ns,9
add_remove,legion,,,,52023900.0,ns,9
add_remove,legion,,,,51863400.0,ns,9
add_remove,legion,,,,51997400.0,ns,9
add_remove,legion,,,,52097300.0,ns,9
add_remove,legion,,,,51549400.0,ns,9
add_remove,legion,,,,52215300.0,ns,9
add_remove,legion,,,,52084200.0,ns,9
add_remove,legion,,,,51640500.0,ns,9
add_remove,legion,,,,51865700.0,ns,9
add_remove,legion,,,,51920300.0,ns,9
add_remove,legion,,,,52085200.0,ns,9
add_remove,legion,,,,53236400.0,ns,9
add_remove,legion,,,,51920800.0,ns,9
add_remove,legion,,,,51514300.0,ns,9
add_remove,legion,,,,52201700.0,ns,9
add_remove,legion,,,,51591400.0,ns,9
add_remove,legion,,,,52549000.0,ns,9
add_remove,legion,,,,52159000.0,ns,9
add_remove,legion,,,,51960400.0,ns,9
add_remove,legion,,,,52261800.0,ns,9
add_remove,legion,,,,52288700.0,ns,9
add_remove,legion,,,,52666300.0,ns,9
add_remove,legion,,,,52293600.0,ns,9
add_remove,legion,,,,52087100.0,ns,9
add_remove,legion,,,,52028700.0,ns,9
add_remove,legion,,,,52052400.0,ns,9
add_remove,legion,,,,52423200.0,ns,9
add_remove,legion,,,,51860900.0,ns,9
add_remove,legion,,,,51958900.0,ns,9
add_remove,legion,,,,51724000.0,ns,9
add_remove,legion,,,,52572100.0,ns,9
add_remove,legion,,,,51529200.0,ns,9
add_remove,legion,,,,51972000.0,ns,9
add_remove,legion,,,,52407000.0,ns,9
add_remove,legion,,,,52294800.0,ns,9
add_remove,legion,,,,52452000.0,ns,9
add_remove,legion,,,,52294300.0,ns,9
add_remove,legion,,,,52213300.0,ns,9
