group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,legion,,,,56594200.0,ns,10
add_remove,legion,,,,56743500.0,ns,10
add_remove,legion,,,,56788600.0,ns,10
add_remove,legion,,,,56310900.0,ns,10
add_remove,legion,,,,56995100.0,ns,10
add_remove,legion,,,,56794300.0,ns,10
add_remove,legion,,,,56622400.0,ns,10
add_remove,legion,,,,57037200.0,ns,10
add_remove,legion,,,,56693800.0,ns,10
add_remove,legion,,,,56672900.0,ns,10
add_remove,legion,,,,56345500.0,ns,10
add_remove,legion,,,,56771000.0,ns,10
add_remove,legion,,,,56636300.0,ns,10
add_remove,legion,,,,56815100.0,ns,10
add_remove,legion,,,,56475100.0,ns,10
add_remove,legion,,,,56409500.0,ns,10
add_remove,legion,,,,56995100.0,ns,10
add_remove,legion,,,,56223500.0,ns,10
add_remove,legion,,,,57321200.0,ns,10
add_remove,legion,,,,56641900.0,ns,10
add_remove,legion,,,,56735200.0,ns,10
add_remove,legion,,,,56893900.0,ns,10
add_remove,legion,,,,56404600.0,ns,10
add_remove,legion,,,,57157600.0,ns,10
add_remove,legion,,,,56594400.0,ns,10
add_remove,legion,,,,56622500.0,ns,10
add_remove,legion,,,,56723700.0,ns,10
add_remove,legion,,,,56862500.0,ns,10
add_remove,legion,,,,56433200.0,ns,10
add_remove,legion,,,,56893100.0,ns,10
add_remove,legion,,,,56775100.0,ns,10
add_remove,legion,,,,56684700.0,ns,10
add_remove,legion,,,,57066400.0,ns,10
add_remove,legion,,,,56384800.0,ns,10
add_remove,legion,,,,56610400.0,ns,10
add_remove,legion,,,,56495000.0,ns,10
add_remove,legion,,,,56297900.0,ns,10
add_remove,legion,,,,56655100.0,ns,10
add_remove,legion,,,,57119300.0,ns,10
add_remove,legion,,,,56750500.0,ns,10
add_remove,legion,,,,56499200.0,ns,10
add_remove,legion,,,,55988800.0,ns,10
add_remove,legion,,,,56080400.0,ns,10
add_remove,legion,,,,56185900.0,ns,10
add_remove,legion,,,,56151100.0,ns,10
add_remove,legion,,,,56800700.0,ns,10
add_remove,legion,,,,56721100.0,ns,10
add_remove,legion,,,,56549400.0,ns,10
add_remove,legion,,,,56745400.0,ns,10
add_remove,legion,,,,56750800.0,ns,10
add_remove,legion,,,,56591200.0,ns,10
add_remove,legion,,,,56598800.0,ns,10
add_remove,legion,,,,57335100.0,ns,10
add_remove,legion,,,,56657300.0,ns,10
add_remove,legion,,,,56274800.0,ns,10
add_remove,legion,,,,56965500.0,ns,10
add_remove,legion,,,,56973100.0,ns,10
add_remove,legion,,,,56995200.0,ns,10
add_remove,legion,,,,56419500.0,ns,10
add_remove,legion,,,,56426600.0,ns,10
add_remove,legion,,,,56378600.0,ns,10
add_remove,legion,,,,56311600.0,ns,10
add_remove,legion,,,,57193000.0,ns,10
add_remove,legion,,,,57191800.0,ns,10
add_remove,legion,,,,56517700.0,ns,10
add_remove,legion,,,,57121600.0,ns,10
add_remove,legion,,,,56856700.0,ns,10
add_remove,legion,,,,56382300.0,ns,10
add_remove,legion,,,,56648600.0,ns,10
add_remove,legion,,,,56346600.0,ns,10
add_remove,legion,,,,56940500.0,ns,10
add_remove,legion,,,,56696600.0,ns,10
add_remove,legion,,,,56621900.0,ns,10
add_remove,legion,,,,56578800.0,ns,10
add_remove,legion,,,,56270300.0,ns,10
add_remove,legion,,,,56647800.0,ns,10
add_remove,legion,,,,56557500.0,ns,10
add_remove,legion,,,,56140300.0,ns,10
add_remove,legion,,,,56788500.0,ns,10
add_remove,legion,,,,56352500.0,ns,10
add_remove,legion,,,,56811100.0,ns,10
add_remove,legion,,,,56612200.0,ns,10
add_remove,legion,,,,56772300.0,ns,10
add_remove,legion,,,,56623900.0,ns,10
add_remove,legion,,,,56455900.0,ns,10
add_remove,legion,,,,56999000.0,ns,10
add_remove,legion,,,,57142200.0,ns,10
add_remove,legion,,,,56672000.0,ns,10
add_remove,legion,,,,56118200.0,ns,10
add_remove,legion,,,,56733900.0,ns,10
add_remove,legion,,,,56894400.0,ns,10
add_remove,legion,,,,56131500.0,ns,10
add_remove,legion,,,,56260800.0,ns,10
add_remove,legion,,,,56683000.0,ns,10
add_remove,legion,,,,56653300.0,ns,10
add_remove,legion,,,,57021800.0,ns,10
add_remove,legion,,,,57016900.0,ns,10
add_remove,legion,,,,56568400.0,ns,10
add_remove,legion,,,,56388500.0,ns,10
add_remove,legion,,,,56526000.0,ns,10
