group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,planck_ecs,,,,1074400.0,ns,6
add_remove,planck_ecs,,,,2104500.0,ns,12
add_remove,planck_ecs,,,,3134800.0,ns,18
add_remove,planck_ecs,,,,4211100.0,ns,24
add_remove,planck_ecs,,,,5206900.0,ns,30
add_remove,planck_ecs,,,,6253400.0,ns,36
add_remove,planck_ecs,,,,7289900.0,ns,42
add_remove,planck_ecs,,,,8327600.0,ns,48
add_remove,planck_ecs,,,,9362100.0,ns,54
add_remove,planck_ecs,,,,10395500.0,ns,60
add_remove,planck_ecs,,,,11445300.0,ns,66
add_remove,planck_ecs,,,,12486600.0,ns,72
add_remove,planck_ecs,,,,13525300.0,ns,78
add_remove,planck_ecs,,,,14553600.0,ns,84
add_remove,planck_ecs,,,,15625100.0,ns,90
add_remove,planck_ecs,,,,16638100.0,ns,96
add_remove,planck_ecs,,,,17704000.0,ns,102
add_remove,planck_ecs,,,,18725600.0,ns,108
add_remove,planck_ecs,,,,19817100.0,ns,114
add_remove,planck_ecs,,,,20796000.0,ns,120
add_remove,planck_ecs,,,,22026300.0,ns,126
add_remove,planck_ecs,,,,23088700.0,ns,132
add_remove,planck_ecs,,,,23896200.0,ns,138
add_remove,planck_ecs,,,,24948900.0,ns,144
add_remove,planck_ecs,,,,25964700.0,ns,150
add_remove,planck_ecs,,,,27036600.0,ns,156
add_remove,planck_ecs,,,,28202200.0,ns,162
add_remove,planck_ecs,,,,29106900.0,ns,168
add_remove,planck_ecs,,,,30148700.0,ns,174
add_remove,planck_ecs,,,,31184300.0,ns,180
add_remove,planck_ecs,,,,32207600.0,ns,186
add_remove,planck_ecs,,,,33248900.0,ns,192
add_remove,planck_ecs,,,,34315100.0,ns,198
add_remove,planck_ecs,,,,35461500.0,ns,204
add_remove,planck_ecs,,,,36395900.0,ns,210
add_remove,planck_ecs,,,,37416100.0,ns,216
add_remove,planck_ecs,,,,38634400.0,ns,222
add_remove,planck_ecs,,,,39955500.0,ns,228
add_remove,planck_ecs,,,,40525400.0,ns,234
add_remove,planck_ecs,,,,41579200.0,ns,240
add_remove,planck_ecs,,,,42597900.0,ns,246
add_remove,planck_ecs,,,,43657200.0,ns,252
add_remove,planck_ecs,,,,44649400.0,ns,258
add_remove,planck_ecs,,,,46334300.0,ns,264
add_remove,planck_ecs,,,,46761100.0,ns,270
add_remove,planck_ecs,,,,47869200.0,ns,276
add_remove,planck_ecs,,,,48925700.0,ns,282
add_remove,planck_ecs,,,,49939200.0,ns,288
add_remove,planck_ecs,,,,50932400.0,ns,294
add_remove,planck_ecs,,,,51971700.0,ns,300
add_remove,planck_ecs,,,,52977600.0,ns,306
add_remove,planck_ecs,,,,54044900.0,ns,312
add_remove,planck_ecs,,,,55055600.0,ns,318
add_remove,planck_ecs,,,,56122000.0,ns,324
add_remove,planck_ecs,,,,57214400.0,ns,330
add_remove,planck_ecs,,,,58287300.0,ns,336
add_remove,planck_ecs,,,,59330500.0,ns,342
add_remove,planck_ecs,,,,61709400.0,ns,348
add_remove,planck_ecs,,,,61344300.0,ns,354
add_remove,planck_ecs,,,,62356700.0,ns,360
add_remove,planck_ecs,,,,63537300.0,ns,366
add_remove,planck_ecs,,,,65216200.0,ns,372
add_remove,planck_ecs,,,,65433300.0,ns,378
add_remove,planck_ecs,,,,66558000.0,ns,384
add_remove,planck_ecs,,,,67582300.0,ns,390
add_remove,planck_ecs,,,,68669400.0,ns,396
add_remove,planck_ecs,,,,69573600.0,ns,402
add_remove,planck_ecs,,,,70715300.0,ns,408
add_remove,planck_ecs,,,,71719000.0,ns,414
add_remove,planck_ecs,,,,73252400.0,ns,420
add_remove,planck_ecs,,,,73872000.0,ns,426
add_remove,planck_ecs,,,,74976000.0,ns,432
add_remove,planck_ecs,,,,76053600.0,ns,438
add_remove,planck_ecs,,,,76916900.0,ns,444
add_remove,planck_ecs,,,,77924700.0,ns,450
add_remove,planck_ecs,,,,79396800.0,ns,456
add_remove,planck_ecs,,,,79977900.0,ns,462
add_remove,planck_ecs,,,,81175500.0,ns,468
add_remove,planck_ecs,,,,82070600.0,ns,474
add_remove,planck_ecs,,,,83308900.0,ns,480
add_remove,planck_ecs,,,,84187000.0,ns,486
add_remove,planck_ecs,,,,85185000.0,ns,492
add_remove,planck_ecs,,,,86232500.0,ns,498
add_remove,planck_ecs,,,,87389700.0,ns,504
add_remove,planck_ecs,,,,88926900.0,ns,510
add_remove,planck_ecs,,,,89416300.0,ns,516
add_remove,planck_ecs,,,,90416100.0,ns,522
add_remove,planck_ecs,,,,91516000.0,ns,528
add_remove,planck_ecs,,,,92442800.0,ns,534
add_remove,planck_ecs,,,,93758100.0,ns,540
add_remove,planck_ecs,,,,94814000.0,ns,546
add_remove,planck_ecs,,,,95581500.0,ns,552
add_remove,planck_ecs,,,,96641000.0,ns,558
add_remove,planck_ecs,,,,97670200.0,ns,564
add_remove,planck_ecs,,,,99571200.0,ns,570
add_remove,planck_ecs,,,,99753700.0,ns,576
add_remove,planck_ecs,,,,100747300.0,ns,582
add_remove,planck_ecs,,,,101819300.0,ns,588
add_remove,planck_ecs,,,,102851200.0,ns,594
add_remove,planck_ecs,,,,103962000.0,ns,600
