group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,shipyard,,,,1113800.0,ns,5
add_remove,shipyard,,,,2028400.0,ns,10
add_remove,shipyard,,,,3044600.0,ns,15
add_remove,shipyard,,,,4110800.0,ns,20
add_remove,shipyard,,,,5074700.0,ns,25
add_remove,shipyard,,,,5991700.0,ns,30
add_remove,shipyard,,,,7012500.0,ns,35
add_remove,shipyard,,,,8117300.0,ns,40
add_remove,shipyard,,,,9048000.0,ns,45
add_remove,shipyard,,,,10002100.0,ns,50
add_remove,shipyard,,,,10987700.0,ns,55
add_remove,shipyard,,,,12084400.0,ns,60
add_remove,shipyard,,,,13089700.0,ns,65
add_remove,shipyard,,,,13895800.0,ns,70
add_remove,shipyard,,,,15192300.0,ns,75
add_remove,shipyard,,,,15952300.0,ns,80
add_remove,shipyard,,,,17087500.0,ns,85
add_remove,shipyard,,,,18332000.0,ns,90
add_remove,shipyard,,,,19058300.0,ns,95
add_remove,shipyard,,,,19780200.0,ns,100
add_remove,shipyard,,,,20835200.0,ns,105
add_remove,shipyard,,,,22040500.0,ns,110
add_remove,shipyard,,,,22973200.0,ns,115
add_remove,shipyard,,,,24138000.0,ns,120
add_remove,shipyard,,,,25107300.0,ns,125
add_remove,shipyard,,,,26078700.0,ns,130
add_remove,shipyard,,,,26782400.0,ns,135
add_remove,shipyard,,,,27977500.0,ns,140
add_remove,shipyard,,,,29480800.0,ns,145
add_remove,shipyard,,,,30342400.0,ns,150
add_remove,shipyard,,,,31553100.0,ns,155
add_remove,shipyard,,,,32504300.0,ns,160
add_remove,shipyard,,,,33611800.0,ns,165
add_remove,shipyard,,,,34418600.0,ns,170
add_remove,shipyard,,,,35626900.0,ns,175
add_remove,shipyard,,,,36322500.0,ns,180
add_remove,shipyard,,,,37773300.0,ns,185
add_remove,shipyard,,,,38404700.0,ns,190
add_remove,shipyard,,,,39866600.0,ns,195
add_remove,shipyard,,,,40825000.0,ns,200
add_remove,shipyard,,,,44972900.0,ns,205
add_remove,shipyard,,,,43704800.0,ns,210
add_remove,shipyard,,,,42700700.0,ns,215
add_remove,shipyard,,,,43877200.0,ns,220
add_remove,shipyard,,,,45530200.0,ns,225
add_remove,shipyard,,,,46076200.0,ns,230
add_remove,shipyard,,,,47157700.0,ns,235
add_remove,shipyard,,,,48271000.0,ns,240
add_remove,shipyard,,,,49989000.0,ns,245
add_remove,shipyard,,,,50700300.0,ns,250
add_remove,shipyard,,,,51909000.0,ns,255
add_remove,shipyard,,,,52594800.0,ns,260
add_remove,shipyard,,,,53637500.0,ns,265
add_remove,shipyard,,,,54513800.0,ns,270
add_remove,shipyard,,,,58052400.0,ns,275
add_remove,shipyard,,,,56062300.0,ns,280
add_remove,shipyard,,,,56866300.0,ns,285
add_remove,shipyard,,,,57439300.0,ns,290
add_remove,shipyard,,,,58619100.0,ns,295
add_remove,shipyard,,,,59841200.0,ns,300
add_remove,shipyard,,,,70341400.0,ns,305
add_remove,shipyard,,,,61725400.0,ns,310
add_remove,shipyard,,,,63252000.0,ns,315
add_remove,shipyard,,,,64520000.0,ns,320
add_remove,shipyard,,,,65484800.0,ns,325
add_remove,shipyard,,,,66874300.0,ns,330
add_remove,shipyard,,,,68029400.0,ns,335
add_remove,shipyard,,,,68892100.0,ns,340
add_remove,shipyard,,,,69741000.0,ns,345
add_remove,shipyard,,,,70332700.0,ns,350
add_remove,shipyard,,,,71201700.0,ns,355
add_remove,shipyard,,,,72425200.0,ns,360
add_remove,shipyard,,,,73630600.0,ns,365
add_remove,shipyard,,,,74682700.0,ns,370
add_remove,shipyard,,,,83679500.0,ns,375
add_remove,shipyard,,,,75357200.0,ns,380
add_remove,shipyard,,,,77413300.0,ns,385
add_remove,shipyard,,,,77972600.0,ns,390
add_remove,shipyard,,,,78206000.0,ns,395
add_remove,shipyard,,,,79175300.0,ns,400
add_remove,shipyard,,,,80545200.0,ns,405
add_remove,shipyard,,,,81597100.0,ns,410
add_remove,shipyard,,,,83945300.0,ns,415
add_remove,shipyard,,,,84927900.0,ns,420
add_remove,shipyard,,,,85369800.0,ns,425
add_remove,shipyard,,,,86897900.0,ns,430
add_remove,shipyard,,,,95539700.0,ns,435
add_remove,shipyard,,,,87173400.0,ns,440
add_remove,shipyard,,,,88419400.0,ns,445
add_remove,shipyard,,,,90298000.0,ns,450
add_remove,shipyard,,,,90157800.0,ns,455
add_remove,shipyard,,,,91760100.0,ns,460
add_remove,shipyard,,,,91668500.0,ns,465
add_remove,shipyard,,,,94082800.0,ns,470
add_remove,shipyard,,,,94889400.0,ns,475
add_remove,shipyard,,,,95478800.0,ns,480
add_remove,shipyard,,,,96062300.0,ns,485
add_remove,shipyard,,,,103130700.0,ns,490
add_remove,shipyard,,,,98898700.0,ns,495
add_remove,shipyard,,,,99477700.0,ns,500
