group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,sparsey,,,,1002900.0,ns,3
add_remove,sparsey,,,,1988200.0,ns,6
add_remove,sparsey,,,,2922200.0,ns,9
add_remove,sparsey,,,,3941500.0,ns,12
add_remove,sparsey,,,,5005200.0,ns,15
add_remove,sparsey,,,,5761200.0,ns,18
add_remove,sparsey,,,,6791300.0,ns,21
add_remove,sparsey,,,,7757300.0,ns,24
add_remove,sparsey,,,,8759700.0,ns,27
add_remove,sparsey,,,,9976900.0,ns,30
add_remove,sparsey,,,,10604900.0,ns,33
add_remove,sparsey,,,,11763700.0,ns,36
add_remove,sparsey,,,,12696600.0,ns,39
add_remove,sparsey,,,,13603300.0,ns,42
add_remove,sparsey,,,,17173000.0,ns,45
add_remove,sparsey,,,,15661500.0,ns,48
add_remove,sparsey,,,,16934600.0,ns,51
add_remove,sparsey,,,,18318500.0,ns,54
add_remove,sparsey,,,,18711000.0,ns,57
add_remove,sparsey,,,,20256000.0,ns,60
add_remove,sparsey,,,,23548300.0,ns,63
add_remove,sparsey,,,,21589800.0,ns,66
add_remove,sparsey,,,,21821400.0,ns,69
add_remove,sparsey,,,,22761000.0,ns,72
add_remove,sparsey,,,,25629500.0,ns,75
add_remove,sparsey,,,,25031300.0,ns,78
add_remove,sparsey,,,,25777500.0,ns,81
add_remove,sparsey,,,,27727200.0,ns,84
add_remove,sparsey,,,,29786000.0,ns,87
add_remove,sparsey,,,,30279900.0,ns,90
add_remove,sparsey,,,,30076400.0,ns,93
add_remove,sparsey,,,,31324500.0,ns,96
add_remove,sparsey,,,,31446100.0,ns,99
add_remove,sparsey,,,,32239600.0,ns,102
add_remove,sparsey,,,,35565900.0,ns,105
add_remove,sparsey,,,,34607900.0,ns,108
add_remove,sparsey,,,,35304500.0,ns,111
add_remove,sparsey,,,,42129900.0,ns,114
add_remove,sparsey,,,,37884800.0,ns,117
add_remove,sparsey,,,,41099800.0,ns,120
add_remove,sparsey,,,,39936200.0,ns,123
add_remove,sparsey,,,,41547800.0,ns,126
add_remove,sparsey,,,,41480900.0,ns,129
add_remove,sparsey,,,,43620600.0,ns,132
add_remove,sparsey,,,,46488600.0,ns,135
add_remove,sparsey,,,,44199900.0,ns,138
add_remove,sparsey,,,,45440000.0,ns,141
add_remove,sparsey,,,,45430300.0,ns,144
add_remove,sparsey,,,,46884200.0,ns,147
add_remove,sparsey,,,,52651500.0,ns,150
add_remove,sparsey,,,,50529600.0,ns,153
add_remove,sparsey,,,,51543300.0,ns,156
add_remove,sparsey,,,,50581900.0,ns,159
add_remove,sparsey,,,,52546700.0,ns,162
add_remove,sparsey,,,,55825300.0,ns,165
add_remove,sparsey,,,,56009100.0,ns,168
add_remove,sparsey,,,,54455300.0,ns,171
add_remove,sparsey,,,,56890800.0,ns,174
add_remove,sparsey,,,,56096100.0,ns,177
add_remove,sparsey,,,,61011100.0,ns,180
add_remove,sparsey,,,,59319200.0,ns,183
add_remove,sparsey,,,,61105400.0,ns,186
add_remove,sparsey,,,,61310600.0,ns,189
add_remove,sparsey,,,,62678700.0,ns,192
add_remove,sparsey,,,,65985000.0,ns,195
add_remove,sparsey,,,,63260100.0,ns,198
add_remove,sparsey,,,,65703100.0,ns,201
add_remove,sparsey,,,,66400300.0,ns,204
add_remove,sparsey,,,,65541000.0,ns,207
add_remove,sparsey,,,,73172700.0,ns,210
add_remove,sparsey,,,,76577100.0,ns,213
add_remove,sparsey,,,,71122300.0,ns,216
add_remove,sparsey,,,,70520000.0,ns,219
add_remove,sparsey,,,,72762800.0,ns,222
add_remove,sparsey,,,,75319000.0,ns,225
add_remove,sparsey,,,,73790500.0,ns,228
add_remove,sparsey,,,,74346800.0,ns,231
add_remove,sparsey,,,,77745800.0,ns,234
add_remove,sparsey,,,,74943800.0,ns,237
add_remove,sparsey,,,,81964100.0,ns,240
add_remove,sparsey,,,,78846700.0,ns,243
add_remove,sparsey,,,,81690700.0,ns,246
add_remove,sparsey,,,,80018700.0,ns,249
add_remove,sparsey,,,,82299300.0,ns,252
add_remove,sparsey,,,,88571100.0,ns,255
add_remove,sparsey,,,,85352400.0,ns,258
add_remove,sparsey,,,,84470200.0,ns,261
add_remove,sparsey,,,,85455000.0,ns,264
add_remove,sparsey,,,,84169400.0,ns,267
add_remove,sparsey,,,,88295700.0,ns,270
add_remove,sparsey,,,,98980700.0,ns,273
add_remove,sparsey,,,,88372100.0,ns,276
add_remove,sparsey,,,,89106400.0,ns,279
add_remove,sparsey,,,,91927900.0,ns,282
add_remove,sparsey,,,,96436400.0,ns,285
add_remove,sparsey,,,,91389500.0,ns,288
add_remove,sparsey,,,,96157000.0,ns,291
add_remove,sparsey,,,,94369100.0,ns,294
add_remove,sparsey,,,,97335800.0,ns,297
add_remove,sparsey,,,,114900100.0,ns,300
