group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove,specs,,,,1156100.0,ns,4
add_remove,specs,,,,2309100.0,ns,8
add_remove,specs,,,,3510000.0,ns,12
add_remove,specs,,,,4611300.0,ns,16
add_remove,specs,,,,5760700.0,ns,20
add_remove,specs,,,,6909500.0,ns,24
add_remove,specs,,,,8067300.0,ns,28
add_remove,specs,,,,9309100.0,ns,32
add_remove,specs,,,,10532000.0,ns,36
add_remove,specs,,,,11643100.0,ns,40
add_remove,specs,,,,12856000.0,ns,44
add_remove,specs,,,,14013000.0,ns,48
add_remove,specs,,,,15139700.0,ns,52
add_remove,specs,,,,16301600.0,ns,56
add_remove,specs,,,,18170600.0,ns,60
add_remove,specs,,,,18617700.0,ns,64
add_remove,specs,,,,19784500.0,ns,68
add_remove,specs,,,,20951100.0,ns,72
add_remove,specs,,,,22113700.0,ns,76
add_remove,specs,,,,23278300.0,ns,80
add_remove,specs,,,,24530900.0,ns,84
add_remove,specs,,,,25652800.0,ns,88
add_remove,specs,,,,26757800.0,ns,92
add_remove,specs,,,,28017100.0,ns,96
add_remove,specs,,,,29114400.0,ns,100
add_remove,specs,,,,30264500.0,ns,104
add_remove,specs,,,,31417000.0,ns,108
add_remove,specs,,,,32679300.0,ns,112
add_remove,specs,,,,33900300.0,ns,116
add_remove,specs,,,,35000900.0,ns,120
add_remove,specs,,,,36187700.0,ns,124
add_remove,specs,,,,37262300.0,ns,128
add_remove,specs,,,,38423200.0,ns,132
add_remove,specs,,,,39680600.0,ns,136
add_remove,specs,,,,40813700.0,ns,140
add_remove,specs,,,,42013300.0,ns,144
add_remove,specs,,,,43173500.0,ns,148
add_remove,specs,,,,44254200.0,ns,152
add_remove,specs,,,,45372600.0,ns,156
add_remove,specs,,,,46558700.0,ns,160
add_remove,specs,,,,47757200.0,ns,164
add_remove,specs,,,,49004000.0,ns,168
add_remove,specs,,,,50477600.0,ns,172
add_remove,specs,,,,51211700.0,ns,176
add_remove,specs,,,,52493000.0,ns,180
add_remove,specs,,,,53617000.0,ns,184
add_remove,specs,,,,54728100.0,ns,188
add_remove,specs,,,,55855900.0,ns,192
add_remove,specs,,,,57066900.0,ns,196
add_remove,specs,,,,58289900.0,ns,200
add_remove,specs,,,,59358700.0,ns,204
add_remove,specs,,,,60663500.0,ns,208
add_remove,specs,,,,61732400.0,ns,212
add_remove,specs,,,,62868300.0,ns,216
add_remove,specs,,,,64029300.0,ns,220
add_remove,specs,,,,65184800.0,ns,224
add_remove,specs,,,,66328400.0,ns,228
add_remove,specs,,,,67698100.0,ns,232
add_remove,specs,,,,68773300.0,ns,236
add_remove,specs,,,,69855700.0,ns,240
add_remove,specs,,,,71228900.0,ns,244
add_remove,specs,,,,72170200.0,ns,248
add_remove,specs,,,,73297900.0,ns,252
add_remove,specs,,,,74515900.0,ns,256
add_remove,specs,,,,75687200.0,ns,260
add_remove,specs,,,,76883100.0,ns,264
add_remove,specs,,,,77987900.0,ns,268
add_remove,specs,,,,79461800.0,ns,272
add_remove,specs,,,,80291700.0,ns,276
add_remove,specs,,,,81523800.0,ns,280
add_remove,specs,,,,82836800.0,ns,284
add_remove,specs,,,,83844400.0,ns,288
add_remove,specs,,,,84978900.0,ns,292
add_remove,specs,,,,86172200.0,ns,296
add_remove,specs,,,,87270100.0,ns,300
add_remove,specs,,,,88656200.0,ns,304
add_remove,specs,,,,89715600.0,ns,308
add_remove,specs,,,,90769100.0,ns,312
add_remove,specs,,,,92166500.0,ns,316
add_remove,specs,,,,93128900.0,ns,320
add_remove,specs,,,,94261900.0,ns,324
add_remove,specs,,,,95645300.0,ns,328
add_remove,specs,,,,96883800.0,ns,332
add_remove,specs,,,,97756000.0,ns,336
add_remove,specs,,,,99138400.0,ns,340
add_remove,specs,,,,101126400.0,ns,344
add_remove,specs,,,,101301000.0,ns,348
add_remove,specs,,,,102674600.0,ns,352
add_remove,specs,,,,103961300.0,ns,356
add_remove,specs,,,,105132900.0,ns,360
add_remove,specs,,,,105967400.0,ns,364
add_remove,specs,,,,107093300.0,ns,368
add_remove,specs,,,,108321700.0,ns,372
add_remove,specs,,,,109453100.0,ns,376
add_remove,specs,,,,110910100.0,ns,380
add_remove,specs,,,,111813500.0,ns,384
add_remove,specs,,,,112956600.0,ns,388
add_remove,specs,,,,114142000.0,ns,392
add_remove,specs,,,,115220700.0,ns,396
add_remove,specs,,,,116382200.0,ns,400
