group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,legion,,,,52709100.0,ns,9
add_remove_component,legion,,,,53249900.0,ns,9
add_remove_component,legion,,,,52537100.0,ns,9
add_remove_component,legion,,,,51878200.0,ns,9
add_remove_component,legion,,,,52352100.0,ns,9
add_remove_component,legion,,,,52538500.0,ns,9
add_remove_component,legion,,,,52475000.0,ns,9
add_remove_component,legion,,,,51894000.0,ns,9
add_remove_component,legion,,,,51818200.0,ns,9
add_remove_component,legion,,,,52583900.0,ns,9
add_remove_component,legion,,,,52977700.0,ns,9
add_remove_component,legion,,,,52677300.0,ns,9
add_remove_component,legion,,,,52597000.0,ns,9
add_remove_component,legion,,,,52062500.0,ns,9
add_remove_component,legion,,,,52301000.0,ns,9
add_remove_component,legion,,,,52352000.0,ns,9
add_remove_component,legion,,,,52852200.0,ns,9
add_remove_component,legion,,,,52651400.0,ns,9
add_remove_component,legion,,,,53195500.0,ns,9
add_remove_component,legion,,,,52881500.0,ns,9
add_remove_component,legion,,,,52226000.0,ns,9
add_remove_component,legion,,,,51888800.0,ns,9
add_remove_component,legion,,,,51917400.0,ns,9
add_remove_component,legion,,,,52656300.0,ns,9
add_remove_component,legion,,,,52493900.0,ns,9
add_remove_component,legion,,,,52253900.0,ns,9
add_remove_component,legion,,,,52399600.0,ns,9
add_remove_component,legion,,,,52393900.0,ns,9
add_remove_component,legion,,,,52558400.0,ns,9
add_remove_component,legion,,,,52739500.0,ns,9
add_remove_component,legion,,,,52096600.0,ns,9
add_remove_component,legion,,,,52321400.0,ns,9
add_remove_component,legion,,,,52685500.0,ns,9
add_remove_component,legion,,,,52830400.0,ns,9
add_remove_component,legion,,,,52471900.0,ns,9
add_remove_component,legion,,,,51933600.0,ns,9
add_remove_component,legion,,,,52202700.0,ns,9
add_remove_component,legion,,,,51760400.0,ns,9
add_remove_component,legion,,,,53986500.0,ns,9
add_remove_component,legion,,,,52326900.0,ns,9
add_remove_component,legion,,,,52765900.0,ns,9
add_remove_component,legion,,,,52664100.0,ns,9
add_remove_component,legion,,,,51651000.0,ns,9
add_remove_component,legion,,,,52162100.0,ns,9
add_remove_component,legion,,,,52002800.0,ns,9
add_remove_component,legion,,,,52102100.0,ns,9
add_remove_component,legion,,,,52061500.0,ns,9
add_remove_component,legion,,,,52067100.0,ns,9
add_remove_component,legion,,,,52492600.0,ns,9
add_remove_component,legion,,,,51630100.0,ns,9
add_remove_component,legion,,,,52076300.0,ns,9
add_remove_component,legion,,,,52330500.0,ns,9
add_remove_component,legion,,,,52336800.0,ns,9
add_remove_component,legion,,,,52155600.0,ns,9
add_remove_component,legion,,,,52540400.0,ns,9
add_remove_component,legion,,,,52978100.0,ns,9
add_remove_component,legion,,,,53307500.0,ns,9
add_remove_component,legion,,,,52461300.0,ns,9
add_remove_component,legion,,,,52290200.0,ns,9
add_remove_component,legion,,,,51936100.0,ns,9
add_remove_component,legion,,,,52479100.0,ns,9
add_remove_component,legion,,,,52761600.0,ns,9
add_remove_component,legion,,,,52660800.0,ns,9
add_remove_component,legion,,,,52556600.0,ns,9
add_remove_component,legion,,,,52946300.0,ns,9
add_remove_component,legion,,,,53666000.0,ns,9
add_remove_component,legion,,,,54001500.0,ns,9
add_remove_component,legion,,,,51980600.0,ns,9
add_remove_component,legion,,,,52781600.0,ns,9
add_remove_component,legion,,,,52576900.0,ns,9
add_remove_component,legion,,,,52513700.0,ns,9
add_remove_component,legion,,,,52599500.0,ns,9
add_remove_component,legion,,,,53016200.0,ns,9
add_remove_component,legion,,,,52932400.0,ns,9
add_remove_component,legion,,,,52249200.0,ns,9
add_remove_component,legion,,,,52562800.0,ns,9
add_remove_component,legion,,,,52475400.0,ns,9
add_remove_component,legion,,,,52394000.0,ns,9
add_remove_component,legion,,,,52623000.0,ns,9
add_remove_component,legion,,,,51760300.0,ns,9
add_remove_component,legion,,,,51613100.0,ns,9
add_remove_component,legion,,,,51419700.0,ns,9
add_remove_component,legion,,,,52391300.0,ns,9
add_remove_component,legion,,,,52038900.0,ns,9
add_remove_component,legion,,,,52905800.0,ns,9
add_remove_component,legion,,,,52330900.0,ns,9
add_remove_component,legion,,,,52417000.0,ns,9
add_remove_component,legion,,,,52885300.0,ns,9
add_remove_component,legion,,,,52269100.0,ns,9
add_remove_component,legion,,,,52152900.0,ns,9
add_remove_component,legion,,,,52470200.0,ns,9
add_remove_component,legion,,,,52277500.0,ns,9
add_remove_component,legion,,,,52658200.0,ns,9
add_remove_component,legion,,,,52442000.0,ns,9
add_remove_component,legion,,,,52061400.0,ns,9
add_remove_component,legion,,,,52747500.0,ns,9
add_remove_component,legion,,,,52767700.0,ns,9
add_remove_component,legion,,,,52225400.0,ns,9
add_remove_component,legion,,,,52304200.0,ns,9
add_remove_component,legion,,,,52624400.0,ns,9
