group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,planck_ecs,,,,1086700.0,ns,6
add_remove_component,planck_ecs,,,,2132200.0,ns,12
add_remove_component,planck_ecs,,,,3203900.0,ns,18
add_remove_component,planck_ecs,,,,4248000.0,ns,24
add_remove_component,planck_ecs,,,,5355200.0,ns,30
add_remove_component,planck_ecs,,,,6383500.0,ns,36
add_remove_component,planck_ecs,,,,7616100.0,ns,42
add_remove_component,planck_ecs,,,,8674900.0,ns,48
add_remove_component,planck_ecs,,,,9767900.0,ns,54
add_remove_component,planck_ecs,,,,10845200.0,ns,60
add_remove_component,planck_ecs,,,,11915200.0,ns,66
add_remove_component,planck_ecs,,,,13037400.0,ns,72
add_remove_component,planck_ecs,,,,14090300.0,ns,78
add_remove_component,planck_ecs,,,,15178000.0,ns,84
add_remove_component,planck_ecs,,,,16240400.0,ns,90
add_remove_component,planck_ecs,,,,17322200.0,ns,96
add_remove_component,planck_ecs,,,,18399500.0,ns,102
add_remove_component,planck_ecs,,,,19515500.0,ns,108
add_remove_component,planck_ecs,,,,20587700.0,ns,114
add_remove_component,planck_ecs,,,,21650500.0,ns,120
add_remove_component,planck_ecs,,,,22763100.0,ns,126
add_remove_component,planck_ecs,,,,23816100.0,ns,132
add_remove_component,planck_ecs,,,,24912600.0,ns,138
add_remove_component,planck_ecs,,,,25984700.0,ns,144
add_remove_component,planck_ecs,,,,27091100.0,ns,150
add_remove_component,planck_ecs,,,,28147500.0,ns,156
add_remove_component,planck_ecs,,,,29289000.0,ns,162
add_remove_component,planck_ecs,,,,30385200.0,ns,168
add_remove_component,planck_ecs,,,,31438900.0,ns,174
add_remove_component,planck_ecs,,,,33093000.0,ns,180
add_remove_component,planck_ecs,,,,33572000.0,ns,186
add_remove_component,planck_ecs,,,,34686500.0,ns,192
add_remove_component,planck_ecs,,,,35751700.0,ns,198
add_remove_component,planck_ecs,,,,36812300.0,ns,204
add_remove_component,planck_ecs,,,,37898700.0,ns,210
add_remove_component,planck_ecs,,,,38995400.0,ns,216
add_remove_component,planck_ecs,,,,40054500.0,ns,222
add_remove_component,planck_ecs,,,,41160400.0,ns,228
add_remove_component,planck_ecs,,,,42247000.0,ns,234
add_remove_component,planck_ecs,,,,43347800.0,ns,240
add_remove_component,planck_ecs,,,,44430000.0,ns,246
add_remove_component,planck_ecs,,,,45505200.0,ns,252
add_remove_component,planck_ecs,,,,46605800.0,ns,258
add_remove_component,planck_ecs,,,,47661100.0,ns,264
add_remove_component,planck_ecs,,,,48745400.0,ns,270
add_remove_component,planck_ecs,,,,49859600.0,ns,276
add_remove_component,planck_ecs,,,,51126600.0,ns,282
add_remove_component,planck_ecs,,,,52082900.0,ns,288
add_remove_component,planck_ecs,,,,53016800.0,ns,294
add_remove_component,planck_ecs,,,,54185100.0,ns,300
add_remove_component,planck_ecs,,,,55248500.0,ns,306
add_remove_component,planck_ecs,,,,56540500.0,ns,312
add_remove_component,planck_ecs,,,,57376700.0,ns,318
add_remove_component,planck_ecs,,,,58470300.0,ns,324
add_remove_component,planck_ecs,,,,59590400.0,ns,330
add_remove_component,planck_ecs,,,,60654900.0,ns,336
add_remove_component,planck_ecs,,,,61947100.0,ns,342
add_remove_component,planck_ecs,,,,63125200.0,ns,348
add_remove_component,planck_ecs,,,,63871700.0,ns,354
add_remove_component,planck_ecs,,,,64991400.0,ns,360
add_remove_component,planck_ecs,,,,66057500.0,ns,366
add_remove_component,planck_ecs,,,,67158600.0,ns,372
add_remove_component,planck_ecs,,,,68220000.0,ns,378
add_remove_component,planck_ecs,,,,69672800.0,ns,384
add_remove_component,planck_ecs,,,,70415500.0,ns,390
add_remove_component,planck_ecs,,,,71444700.0,ns,396
add_remove_component,planck_ecs,,,,72575700.0,ns,402
add_remove_component,planck_ecs,,,,74428000.0,ns,408
add_remove_component,planck_ecs,,,,74732900.0,ns,414
add_remove_component,planck_ecs,,,,76065200.0,ns,420
add_remove_component,planck_ecs,,,,76925000.0,ns,426
add_remove_component,planck_ecs,,,,77961900.0,ns,432
add_remove_component,planck_ecs,,,,79086700.0,ns,438
add_remove_component,planck_ecs,,,,80142100.0,ns,444
add_remove_component,planck_ecs,,,,81231600.0,ns,450
add_remove_component,planck_ecs,,,,82317600.0,ns,456
add_remove_component,planck_ecs,,,,83417100.0,ns,462
