group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,shipyard,,,,1020400.0,ns,5
add_remove_component,shipyard,,,,2040900.0,ns,10
add_remove_component,shipyard,,,,3058700.0,ns,15
add_remove_component,shipyard,,,,4088400.0,ns,20
add_remove_component,shipyard,,,,5122600.0,ns,25
add_remove_component,shipyard,,,,6082900.0,ns,30
add_remove_component,shipyard,,,,7385900.0,ns,35
add_remove_component,shipyard,,,,8068900.0,ns,40
add_remove_component,shipyard,,,,9103500.0,ns,45
add_remove_component,shipyard,,,,10100100.0,ns,50
add_remove_component,shipyard,,,,11137800.0,ns,55
add_remove_component,shipyard,,,,12148000.0,ns,60
add_remove_component,shipyard,,,,13162400.0,ns,65
add_remove_component,shipyard,,,,14567400.0,ns,70
add_remove_component,shipyard,,,,15274400.0,ns,75
add_remove_component,shipyard,,,,16256600.0,ns,80
add_remove_component,shipyard,,,,17235700.0,ns,85
add_remove_component,shipyard,,,,18296300.0,ns,90
add_remove_component,shipyard,,,,19182500.0,ns,95
add_remove_component,shipyard,,,,20339400.0,ns,100
add_remove_component,shipyard,,,,21231100.0,ns,105
add_remove_component,shipyard,,,,22144500.0,ns,110
add_remove_component,shipyard,,,,23305300.0,ns,115
add_remove_component,shipyard,,,,24245400.0,ns,120
add_remove_component,shipyard,,,,25193100.0,ns,125
add_remove_component,shipyard,,,,26297700.0,ns,130
add_remove_component,shipyard,,,,27552100.0,ns,135
add_remove_component,shipyard,,,,28181400.0,ns,140
add_remove_component,shipyard,,,,29530800.0,ns,145
add_remove_component,shipyard,,,,30283400.0,ns,150
add_remove_component,shipyard,,,,31529700.0,ns,155
add_remove_component,shipyard,,,,32265000.0,ns,160
add_remove_component,shipyard,,,,33349500.0,ns,165
add_remove_component,shipyard,,,,34213800.0,ns,170
add_remove_component,shipyard,,,,35371900.0,ns,175
add_remove_component,shipyard,,,,36481500.0,ns,180
add_remove_component,shipyard,,,,37261200.0,ns,185
add_remove_component,shipyard,,,,38140100.0,ns,190
add_remove_component,shipyard,,,,39200600.0,ns,195
add_remove_component,shipyard,,,,40300100.0,ns,200
add_remove_component,shipyard,,,,41219800.0,ns,205
add_remove_component,shipyard,,,,42539500.0,ns,210
add_remove_component,shipyard,,,,43982900.0,ns,215
add_remove_component,shipyard,,,,44293300.0,ns,220
add_remove_component,shipyard,,,,45227900.0,ns,225
add_remove_component,shipyard,,,,45903300.0,ns,230
add_remove_component,shipyard,,,,47187400.0,ns,235
add_remove_component,shipyard,,,,48077200.0,ns,240
add_remove_component,shipyard,,,,52033600.0,ns,245
add_remove_component,shipyard,,,,53112900.0,ns,250
add_remove_component,shipyard,,,,53937600.0,ns,255
add_remove_component,shipyard,,,,53648800.0,ns,260
add_remove_component,shipyard,,,,53730800.0,ns,265
add_remove_component,shipyard,,,,55539900.0,ns,270
add_remove_component,shipyard,,,,56098100.0,ns,275
add_remove_component,shipyard,,,,56828000.0,ns,280
add_remove_component,shipyard,,,,58680500.0,ns,285
add_remove_component,shipyard,,,,58950700.0,ns,290
add_remove_component,shipyard,,,,60581600.0,ns,295
add_remove_component,shipyard,,,,60758300.0,ns,300
add_remove_component,shipyard,,,,62559400.0,ns,305
add_remove_component,shipyard,,,,62477900.0,ns,310
add_remove_component,shipyard,,,,64358800.0,ns,315
add_remove_component,shipyard,,,,65284700.0,ns,320
add_remove_component,shipyard,,,,65917900.0,ns,325
add_remove_component,shipyard,,,,67271400.0,ns,330
add_remove_component,shipyard,,,,68118000.0,ns,335
add_remove_component,shipyard,,,,69460700.0,ns,340
add_remove_component,shipyard,,,,69263200.0,ns,345
add_remove_component,shipyard,,,,70391900.0,ns,350
add_remove_component,shipyard,,,,70987700.0,ns,355
add_remove_component,shipyard,,,,71847000.0,ns,360
add_remove_component,shipyard,,,,73576700.0,ns,365
add_remove_component,shipyard,,,,75410800.0,ns,370
add_remove_component,shipyard,,,,76186200.0,ns,375
add_remove_component,shipyard,,,,76145600.0,ns,380
add_remove_component,shipyard,,,,77847100.0,ns,385
add_remove_component,shipyard,,,,79404800.0,ns,390
add_remove_component,shipyard,,,,78921800.0,ns,395
add_remove_component,shipyard,,,,80761200.0,ns,400
add_remove_component,shipyard,,,,80727100.0,ns,405
add_remove_component,shipyard,,,,82455300.0,ns,410
add_remove_component,shipyard,,,,83465000.0,ns,415
add_remove_component,shipyard,,,,83949400.0,ns,420
add_remove_component,shipyard,,,,84957300.0,ns,425
add_remove_component,shipyard,,,,85735300.0,ns,430
add_remove_component,shipyard,,,,88499700.0,ns,435
add_remove_component,shipyard,,,,88626600.0,ns,440
add_remove_component,shipyard,,,,90131300.0,ns,445
add_remove_component,shipyard,,,,92553700.0,ns,450
add_remove_component,shipyard,,,,92964300.0,ns,455
add_remove_component,shipyard,,,,93652400.0,ns,460
add_remove_component,shipyard,,,,94094900.0,ns,465
add_remove_component,shipyard,,,,93609200.0,ns,470
add_remove_component,shipyard,,,,94384800.0,ns,475
add_remove_component,shipyard,,,,96185500.0,ns,480
add_remove_component,shipyard,,,,96896100.0,ns,485
add_remove_component,shipyard,,,,98244400.0,ns,490
add_remove_component,shipyard,,,,100192300.0,ns,495
add_remove_component,shipyard,,,,102315700.0,ns,500
