group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
add_remove_component,specs,,,,1204800.0,ns,4
add_remove_component,specs,,,,2387100.0,ns,8
add_remove_component,specs,,,,3587000.0,ns,12
add_remove_component,specs,,,,4822900.0,ns,16
add_remove_component,specs,,,,5995700.0,ns,20
add_remove_component,specs,,,,7159600.0,ns,24
add_remove_component,specs,,,,8374800.0,ns,28
add_remove_component,specs,,,,9564800.0,ns,32
add_remove_component,specs,,,,10762200.0,ns,36
add_remove_component,specs,,,,12001600.0,ns,40
add_remove_component,specs,,,,13126100.0,ns,44
add_remove_component,specs,,,,14338600.0,ns,48
add_remove_component,specs,,,,15537100.0,ns,52
add_remove_component,specs,,,,16733700.0,ns,56
add_remove_component,specs,,,,17936800.0,ns,60
add_remove_component,specs,,,,19091900.0,ns,64
add_remove_component,specs,,,,20316700.0,ns,68
add_remove_component,specs,,,,21490800.0,ns,72
add_remove_component,specs,,,,22661700.0,ns,76
add_remove_component,specs,,,,23881600.0,ns,80
add_remove_component,specs,,,,25128200.0,ns,84
add_remove_component,specs,,,,26597000.0,ns,88
add_remove_component,specs,,,,27907700.0,ns,92
add_remove_component,specs,,,,29525100.0,ns,96
add_remove_component,specs,,,,30804600.0,ns,100
add_remove_component,specs,,,,32096300.0,ns,104
add_remove_component,specs,,,,33315500.0,ns,108
add_remove_component,specs,,,,34486900.0,ns,112
add_remove_component,specs,,,,35744800.0,ns,116
add_remove_component,specs,,,,36956400.0,ns,120
add_remove_component,specs,,,,38180200.0,ns,124
add_remove_component,specs,,,,39371900.0,ns,128
add_remove_component,specs,,,,40592100.0,ns,132
add_remove_component,specs,,,,41873500.0,ns,136
add_remove_component,specs,,,,43072100.0,ns,140
add_remove_component,specs,,,,44346200.0,ns,144
add_remove_component,specs,,,,45663400.0,ns,148
add_remove_component,specs,,,,46931900.0,ns,152
add_remove_component,specs,,,,48096800.0,ns,156
add_remove_component,specs,,,,49235500.0,ns,160
add_remove_component,specs,,,,50499100.0,ns,164
add_remove_component,specs,,,,51665300.0,ns,168
add_remove_component,specs,,,,53049200.0,ns,172
add_remove_component,specs,,,,54240800.0,ns,176
add_remove_component,specs,,,,55442300.0,ns,180
add_remove_component,specs,,,,58655600.0,ns,184
add_remove_component,specs,,,,58297700.0,ns,188
add_remove_component,specs,,,,59449600.0,ns,192
add_remove_component,specs,,,,60594300.0,ns,196
add_remove_component,specs,,,,61478800.0,ns,200
add_remove_component,specs,,,,62661100.0,ns,204
add_remove_component,specs,,,,64019400.0,ns,208
add_remove_component,specs,,,,65102200.0,ns,212
add_remove_component,specs,,,,66458200.0,ns,216
add_remove_component,specs,,,,68345700.0,ns,220
add_remove_component,specs,,,,69372000.0,ns,224
add_remove_component,specs,,,,70206700.0,ns,228
add_remove_component,specs,,,,71333500.0,ns,232
add_remove_component,specs,,,,72656500.0,ns,236
add_remove_component,specs,,,,74177100.0,ns,240
add_remove_component,specs,,,,75270700.0,ns,244
add_remove_component,specs,,,,76746500.0,ns,248
add_remove_component,specs,,,,77849800.0,ns,252
add_remove_component,specs,,,,79320900.0,ns,256
add_remove_component,specs,,,,80309800.0,ns,260
add_remove_component,specs,,,,81352900.0,ns,264
add_remove_component,specs,,,,82755300.0,ns,268
add_remove_component,specs,,,,83845800.0,ns,272
add_remove_component,specs,,,,84969000.0,ns,276
add_remove_component,specs,,,,86118900.0,ns,280
add_remove_component,specs,,,,87365800.0,ns,284
add_remove_component,specs,,,,89386600.0,ns,288
add_remove_component,specs,,,,90933100.0,ns,292
add_remove_component,specs,,,,91332800.0,ns,296
add_remove_component,specs,,,,92530600.0,ns,300
add_remove_component,specs,,,,93382000.0,ns,304
add_remove_component,specs,,,,94592800.0,ns,308
add_remove_component,specs,,,,95760700.0,ns,312
add_remove_component,specs,,,,97191200.0,ns,316
add_remove_component,specs,,,,97709500.0,ns,320
add_remove_component,specs,,,,99609900.0,ns,324
add_remove_component,specs,,,,100896800.0,ns,328
add_remove_component,specs,,,,102014800.0,ns,332
add_remove_component,specs,,,,103205500.0,ns,336
add_remove_component,specs,,,,104439300.0,ns,340
add_remove_component,specs,,,,105654600.0,ns,344
add_remove_component,specs,,,,107533100.0,ns,348
add_remove_component,specs,,,,108342600.0,ns,352
add_remove_component,specs,,,,109410400.0,ns,356
add_remove_component,specs,,,,110909900.0,ns,360
add_remove_component,specs,,,,113012600.0,ns,364
add_remove_component,specs,,,,113423500.0,ns,368
add_remove_component,specs,,,,112106500.0,ns,372
add_remove_component,specs,,,,113293500.0,ns,376
add_remove_component,specs,,,,114443300.0,ns,380
add_remove_component,specs,,,,115595800.0,ns,384
add_remove_component,specs,,,,117052600.0,ns,388
add_remove_component,specs,,,,119310400.0,ns,392
add_remove_component,specs,,,,121762300.0,ns,396
add_remove_component,specs,,,,122922100.0,ns,400
