group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,bevy,,,,1017500.0,ns,384
frag_iter,bevy,,,,1955500.0,ns,768
frag_iter,bevy,,,,2916100.0,ns,1152
frag_iter,bevy,,,,3886600.0,ns,1536
frag_iter,bevy,,,,4904900.0,ns,1920
frag_iter,bevy,,,,5798400.0,ns,2304
frag_iter,bevy,,,,6791300.0,ns,2688
frag_iter,bevy,,,,7714300.0,ns,3072
frag_iter,bevy,,,,8634100.0,ns,3456
frag_iter,bevy,,,,9709400.0,ns,3840
frag_iter,bevy,,,,10639000.0,ns,4224
frag_iter,bevy,,,,11692300.0,ns,4608
frag_iter,bevy,,,,12590600.0,ns,4992
frag_iter,bevy,,,,14014000.0,ns,5376
frag_iter,bevy,,,,14997000.0,ns,5760
frag_iter,bevy,,,,15906200.0,ns,6144
frag_iter,bevy,,,,16849000.0,ns,6528
frag_iter,bevy,,,,17352300.0,ns,6912
frag_iter,bevy,,,,18438600.0,ns,7296
frag_iter,bevy,,,,19405900.0,ns,7680
frag_iter,bevy,,,,20146500.0,ns,8064
frag_iter,bevy,,,,21187800.0,ns,8448
frag_iter,bevy,,,,22410100.0,ns,8832
frag_iter,bevy,,,,23327200.0,ns,9216
frag_iter,bevy,,,,24184000.0,ns,9600
frag_iter,bevy,,,,25155200.0,ns,9984
frag_iter,bevy,,,,25999700.0,ns,10368
frag_iter,bevy,,,,27464000.0,ns,10752
frag_iter,bevy,,,,28770600.0,ns,11136
frag_iter,bevy,,,,29681700.0,ns,11520
frag_iter,bevy,,,,29863200.0,ns,11904
frag_iter,bevy,,,,31306000.0,ns,12288
frag_iter,bevy,,,,31917900.0,ns,12672
frag_iter,bevy,,,,33779700.0,ns,13056
frag_iter,bevy,,,,34934400.0,ns,13440
frag_iter,bevy,,,,35644900.0,ns,13824
frag_iter,bevy,,,,35624100.0,ns,14208
frag_iter,bevy,,,,36621800.0,ns,14592
frag_iter,bevy,,,,38528900.0,ns,14976
frag_iter,bevy,,,,39072300.0,ns,15360
frag_iter,bevy,,,,39549800.0,ns,15744
frag_iter,bevy,,,,40773400.0,ns,16128
frag_iter,bevy,,,,41540400.0,ns,16512
frag_iter,bevy,,,,42903600.0,ns,16896
frag_iter,bevy,,,,44023700.0,ns,17280
frag_iter,bevy,,,,45951500.0,ns,17664
frag_iter,bevy,,,,45733600.0,ns,18048
frag_iter,bevy,,,,47008000.0,ns,18432
frag_iter,bevy,,,,47465700.0,ns,18816
frag_iter,bevy,,,,48527100.0,ns,19200
frag_iter,bevy,,,,49981900.0,ns,19584
frag_iter,bevy,,,,52099900.0,ns,19968
frag_iter,bevy,,,,52532300.0,ns,20352
frag_iter,bevy,,,,53157000.0,ns,20736
frag_iter,bevy,,,,53860200.0,ns,21120
frag_iter,bevy,,,,57114200.0,ns,21504
frag_iter,bevy,,,,57603400.0,ns,21888
frag_iter,bevy,,,,58551100.0,ns,22272
frag_iter,bevy,,,,58992600.0,ns,22656
frag_iter,bevy,,,,59774300.0,ns,23040
frag_iter,bevy,,,,61158700.0,ns,23424
frag_iter,bevy,,,,62182000.0,ns,23808
frag_iter,bevy,,,,63664500.0,ns,24192
frag_iter,bevy,,,,65081000.0,ns,24576
frag_iter,bevy,,,,65082700.0,ns,24960
frag_iter,bevy,,,,64845300.0,ns,25344
frag_iter,bevy,,,,67255300.0,ns,25728
frag_iter,bevy,,,,68472200.0,ns,26112
frag_iter,bevy,,,,69616900.0,ns,26496
frag_iter,bevy,,,,71234500.0,ns,26880
frag_iter,bevy,,,,71793700.0,ns,27264
frag_iter,bevy,,,,70968400.0,ns,27648
frag_iter,bevy,,,,71474200.0,ns,28032
frag_iter,bevy,,,,73887600.0,ns,28416
frag_iter,bevy,,,,75544800.0,ns,28800
frag_iter,bevy,,,,74024700.0,ns,29184
frag_iter,bevy,,,,76532100.0,ns,29568
frag_iter,bevy,,,,76911600.0,ns,29952
frag_iter,bevy,,,,78123700.0,ns,30336
frag_iter,bevy,,,,78827400.0,ns,30720
frag_iter,bevy,,,,81889800.0,ns,31104
frag_iter,bevy,,,,82874400.0,ns,31488
frag_iter,bevy,,,,82068700.0,ns,31872
frag_iter,bevy,,,,84992000.0,ns,32256
frag_iter,bevy,,,,85282000.0,ns,32640
frag_iter,bevy,,,,86414400.0,ns,33024
frag_iter,bevy,,,,87480000.0,ns,33408
frag_iter,bevy,,,,86347500.0,ns,33792
frag_iter,bevy,,,,88012400.0,ns,34176
frag_iter,bevy,,,,89204100.0,ns,34560
frag_iter,bevy,,,,89764700.0,ns,34944
frag_iter,bevy,,,,90684000.0,ns,35328
frag_iter,bevy,,,,93924000.0,ns,35712
frag_iter,bevy,,,,94673100.0,ns,36096
frag_iter,bevy,,,,92043300.0,ns,36480
frag_iter,bevy,,,,94238900.0,ns,36864
frag_iter,bevy,,,,95963900.0,ns,37248
frag_iter,bevy,,,,96038800.0,ns,37632
frag_iter,bevy,,,,94996200.0,ns,38016
frag_iter,bevy,,,,100330200.0,ns,38400
