group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,edict,,,,1279800.0,ns,3578
frag_iter,edict,,,,1889100.0,ns,7156
frag_iter,edict,,,,3070400.0,ns,10734
frag_iter,edict,,,,3859100.0,ns,14312
frag_iter,edict,,,,4713700.0,ns,17890
frag_iter,edict,,,,7463200.0,ns,21468
frag_iter,edict,,,,10941300.0,ns,25046
frag_iter,edict,,,,12548500.0,ns,28624
frag_iter,edict,,,,8374100.0,ns,32202
frag_iter,edict,,,,9828000.0,ns,35780
frag_iter,edict,,,,9777100.0,ns,39358
frag_iter,edict,,,,10972700.0,ns,42936
frag_iter,edict,,,,11757000.0,ns,46514
frag_iter,edict,,,,13383300.0,ns,50092
frag_iter,edict,,,,13478500.0,ns,53670
frag_iter,edict,,,,14445300.0,ns,57248
frag_iter,edict,,,,15329700.0,ns,60826
frag_iter,edict,,,,25589300.0,ns,64404
frag_iter,edict,,,,17094700.0,ns,67982
frag_iter,edict,,,,18040400.0,ns,71560
frag_iter,edict,,,,20358200.0,ns,75138
frag_iter,edict,,,,20349500.0,ns,78716
frag_iter,edict,,,,22337600.0,ns,82294
frag_iter,edict,,,,21006300.0,ns,85872
frag_iter,edict,,,,22102500.0,ns,89450
frag_iter,edict,,,,23797800.0,ns,93028
frag_iter,edict,,,,25177100.0,ns,96606
frag_iter,edict,,,,26882700.0,ns,100184
frag_iter,edict,,,,26773700.0,ns,103762
frag_iter,edict,,,,27408700.0,ns,107340
frag_iter,edict,,,,29608200.0,ns,110918
frag_iter,edict,,,,28187100.0,ns,114496
frag_iter,edict,,,,32372300.0,ns,118074
frag_iter,edict,,,,29884000.0,ns,121652
frag_iter,edict,,,,31157900.0,ns,125230
frag_iter,edict,,,,41732400.0,ns,128808
frag_iter,edict,,,,36930100.0,ns,132386
frag_iter,edict,,,,42376600.0,ns,135964
frag_iter,edict,,,,38402700.0,ns,139542
frag_iter,edict,,,,37871100.0,ns,143120
frag_iter,edict,,,,55555800.0,ns,146698
frag_iter,edict,,,,37136500.0,ns,150276
frag_iter,edict,,,,51685800.0,ns,153854
frag_iter,edict,,,,45418600.0,ns,157432
frag_iter,edict,,,,45485100.0,ns,161010
frag_iter,edict,,,,40736300.0,ns,164588
frag_iter,edict,,,,43671600.0,ns,168166
frag_iter,edict,,,,44977100.0,ns,171744
frag_iter,edict,,,,47777500.0,ns,175322
frag_iter,edict,,,,46778300.0,ns,178900
frag_iter,edict,,,,50425100.0,ns,182478
frag_iter,edict,,,,50722900.0,ns,186056
frag_iter,edict,,,,47609500.0,ns,189634
frag_iter,edict,,,,48663800.0,ns,193212
frag_iter,edict,,,,53312800.0,ns,196790
frag_iter,edict,,,,51603800.0,ns,200368
frag_iter,edict,,,,52021700.0,ns,203946
frag_iter,edict,,,,58805300.0,ns,207524
frag_iter,edict,,,,54391600.0,ns,211102
frag_iter,edict,,,,55697000.0,ns,214680
frag_iter,edict,,,,54712000.0,ns,218258
frag_iter,edict,,,,56767500.0,ns,221836
frag_iter,edict,,,,58974200.0,ns,225414
frag_iter,edict,,,,57077400.0,ns,228992
frag_iter,edict,,,,81440300.0,ns,232570
frag_iter,edict,,,,63528500.0,ns,236148
frag_iter,edict,,,,60640000.0,ns,239726
frag_iter,edict,,,,82577700.0,ns,243304
frag_iter,edict,,,,62435100.0,ns,246882
frag_iter,edict,,,,61833200.0,ns,250460
frag_iter,edict,,,,63815400.0,ns,254038
frag_iter,edict,,,,64830000.0,ns,257616
frag_iter,edict,,,,69622700.0,ns,261194
frag_iter,edict,,,,68721600.0,ns,264772
frag_iter,edict,,,,72791700.0,ns,268350
frag_iter,edict,,,,67179000.0,ns,271928
frag_iter,edict,,,,69693000.0,ns,275506
frag_iter,edict,,,,71216300.0,ns,279084
frag_iter,edict,,,,77317800.0,ns,282662
frag_iter,edict,,,,70779500.0,ns,286240
frag_iter,edict,,,,74334500.0,ns,289818
frag_iter,edict,,,,76298000.0,ns,293396
frag_iter,edict,,,,82927800.0,ns,296974
frag_iter,edict,,,,83181100.0,ns,300552
frag_iter,edict,,,,76345200.0,ns,304130
frag_iter,edict,,,,76442600.0,ns,307708
frag_iter,edict,,,,76827900.0,ns,311286
frag_iter,edict,,,,86322000.0,ns,314864
frag_iter,edict,,,,80504900.0,ns,318442
frag_iter,edict,,,,91123900.0,ns,322020
frag_iter,edict,,,,92238600.0,ns,325598
frag_iter,edict,,,,86744800.0,ns,329176
frag_iter,edict,,,,109261900.0,ns,332754
frag_iter,edict,,,,90189400.0,ns,336332
frag_iter,edict,,,,83610500.0,ns,339910
frag_iter,edict,,,,86591400.0,ns,343488
frag_iter,edict,,,,93772500.0,ns,347066
frag_iter,edict,,,,87560300.0,ns,350644
frag_iter,edict,,,,86961900.0,ns,354222
frag_iter,edict,,,,89023100.0,ns,357800
