group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,edict,,,,985500.0,ns,1099
frag_iter,edict,,,,2044700.0,ns,2198
frag_iter,edict,,,,3006700.0,ns,3297
frag_iter,edict,,,,3898300.0,ns,4396
frag_iter,edict,,,,5136400.0,ns,5495
frag_iter,edict,,,,6159000.0,ns,6594
frag_iter,edict,,,,6717600.0,ns,7693
frag_iter,edict,,,,8027100.0,ns,8792
frag_iter,edict,,,,9943900.0,ns,9891
frag_iter,edict,,,,9849500.0,ns,10990
frag_iter,edict,,,,10920700.0,ns,12089
frag_iter,edict,,,,11992800.0,ns,13188
frag_iter,edict,,,,12635400.0,ns,14287
frag_iter,edict,,,,13844300.0,ns,15386
frag_iter,edict,,,,14897700.0,ns,16485
frag_iter,edict,,,,15327400.0,ns,17584
frag_iter,edict,,,,16515700.0,ns,18683
frag_iter,edict,,,,17908700.0,ns,19782
frag_iter,edict,,,,18917900.0,ns,20881
frag_iter,edict,,,,19509400.0,ns,21980
frag_iter,edict,,,,21206400.0,ns,23079
frag_iter,edict,,,,21431400.0,ns,24178
frag_iter,edict,,,,22296000.0,ns,25277
frag_iter,edict,,,,23737000.0,ns,26376
frag_iter,edict,,,,24468400.0,ns,27475
frag_iter,edict,,,,25616300.0,ns,28574
frag_iter,edict,,,,25694600.0,ns,29673
frag_iter,edict,,,,28413500.0,ns,30772
frag_iter,edict,,,,28231900.0,ns,31871
frag_iter,edict,,,,30193200.0,ns,32970
frag_iter,edict,,,,30248600.0,ns,34069
frag_iter,edict,,,,30964800.0,ns,35168
frag_iter,edict,,,,32540700.0,ns,36267
frag_iter,edict,,,,32808300.0,ns,37366
frag_iter,edict,,,,34410300.0,ns,38465
frag_iter,edict,,,,33894500.0,ns,39564
frag_iter,edict,,,,37715500.0,ns,40663
frag_iter,edict,,,,37123200.0,ns,41762
frag_iter,edict,,,,39156300.0,ns,42861
frag_iter,edict,,,,37716500.0,ns,43960
frag_iter,edict,,,,39778800.0,ns,45059
frag_iter,edict,,,,40519700.0,ns,46158
frag_iter,edict,,,,42296400.0,ns,47257
frag_iter,edict,,,,44185400.0,ns,48356
frag_iter,edict,,,,42754300.0,ns,49455
frag_iter,edict,,,,45783700.0,ns,50554
frag_iter,edict,,,,44795400.0,ns,51653
frag_iter,edict,,,,47662600.0,ns,52752
frag_iter,edict,,,,49332000.0,ns,53851
frag_iter,edict,,,,49504600.0,ns,54950
frag_iter,edict,,,,49578900.0,ns,56049
frag_iter,edict,,,,50358500.0,ns,57148
frag_iter,edict,,,,51053500.0,ns,58247
frag_iter,edict,,,,51602600.0,ns,59346
frag_iter,edict,,,,55226100.0,ns,60445
frag_iter,edict,,,,55632000.0,ns,61544
frag_iter,edict,,,,53045300.0,ns,62643
frag_iter,edict,,,,54107900.0,ns,63742
frag_iter,edict,,,,57944200.0,ns,64841
frag_iter,edict,,,,60080700.0,ns,65940
frag_iter,edict,,,,59160200.0,ns,67039
frag_iter,edict,,,,60045000.0,ns,68138
frag_iter,edict,,,,58053700.0,ns,69237
frag_iter,edict,,,,64568400.0,ns,70336
frag_iter,edict,,,,62370600.0,ns,71435
frag_iter,edict,,,,67140500.0,ns,72534
frag_iter,edict,,,,66661500.0,ns,73633
frag_iter,edict,,,,65812800.0,ns,74732
frag_iter,edict,,,,67563900.0,ns,75831
frag_iter,edict,,,,68102700.0,ns,76930
frag_iter,edict,,,,67993300.0,ns,78029
frag_iter,edict,,,,74538700.0,ns,79128
frag_iter,edict,,,,72404400.0,ns,80227
frag_iter,edict,,,,73130100.0,ns,81326
frag_iter,edict,,,,70068300.0,ns,82425
frag_iter,edict,,,,78526200.0,ns,83524
frag_iter,edict,,,,75316500.0,ns,84623
frag_iter,edict,,,,76214700.0,ns,85722
frag_iter,edict,,,,77213500.0,ns,86821
frag_iter,edict,,,,78192600.0,ns,87920
frag_iter,edict,,,,82375200.0,ns,89019
frag_iter,edict,,,,82249800.0,ns,90118
frag_iter,edict,,,,84700600.0,ns,91217
frag_iter,edict,,,,82068900.0,ns,92316
frag_iter,edict,,,,86299400.0,ns,93415
frag_iter,edict,,,,85552700.0,ns,94514
frag_iter,edict,,,,84918000.0,ns,95613
frag_iter,edict,,,,84476400.0,ns,96712
frag_iter,edict,,,,87515900.0,ns,97811
frag_iter,edict,,,,90265700.0,ns,98910
frag_iter,edict,,,,91268500.0,ns,100009
frag_iter,edict,,,,89288500.0,ns,101108
frag_iter,edict,,,,90152000.0,ns,102207
frag_iter,edict,,,,92167200.0,ns,103306
frag_iter,edict,,,,91476500.0,ns,104405
frag_iter,edict,,,,100015500.0,ns,105504
frag_iter,edict,,,,97617400.0,ns,106603
frag_iter,edict,,,,95974600.0,ns,107702
frag_iter,edict,,,,97322300.0,ns,108801
frag_iter,edict,,,,103517100.0,ns,109900
