group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,hecs,,,,970300.0,ns,1837
frag_iter,hecs,,,,1942700.0,ns,3674
frag_iter,hecs,,,,2907300.0,ns,5511
frag_iter,hecs,,,,3992700.0,ns,7348
frag_iter,hecs,,,,4858900.0,ns,9185
frag_iter,hecs,,,,6115300.0,ns,11022
frag_iter,hecs,,,,6813000.0,ns,12859
frag_iter,hecs,,,,7984900.0,ns,14696
frag_iter,hecs,,,,8713300.0,ns,16533
frag_iter,hecs,,,,10345800.0,ns,18370
frag_iter,hecs,,,,10645900.0,ns,20207
frag_iter,hecs,,,,12539900.0,ns,22044
frag_iter,hecs,,,,12755600.0,ns,23881
frag_iter,hecs,,,,13725500.0,ns,25718
frag_iter,hecs,,,,14550300.0,ns,27555
frag_iter,hecs,,,,15510900.0,ns,29392
frag_iter,hecs,,,,17168300.0,ns,31229
frag_iter,hecs,,,,17452300.0,ns,33066
frag_iter,hecs,,,,18886100.0,ns,34903
frag_iter,hecs,,,,20568700.0,ns,36740
frag_iter,hecs,,,,20494500.0,ns,38577
frag_iter,hecs,,,,21461800.0,ns,40414
frag_iter,hecs,,,,22390900.0,ns,42251
frag_iter,hecs,,,,23430900.0,ns,44088
frag_iter,hecs,,,,24548300.0,ns,45925
frag_iter,hecs,,,,25159900.0,ns,47762
frag_iter,hecs,,,,26127300.0,ns,49599
frag_iter,hecs,,,,27164600.0,ns,51436
frag_iter,hecs,,,,28505200.0,ns,53273
frag_iter,hecs,,,,29938300.0,ns,55110
frag_iter,hecs,,,,31324200.0,ns,56947
frag_iter,hecs,,,,31620500.0,ns,58784
frag_iter,hecs,,,,31926200.0,ns,60621
frag_iter,hecs,,,,33237300.0,ns,62458
frag_iter,hecs,,,,34875700.0,ns,64295
frag_iter,hecs,,,,35504800.0,ns,66132
frag_iter,hecs,,,,36456200.0,ns,67969
frag_iter,hecs,,,,36907600.0,ns,69806
frag_iter,hecs,,,,39247000.0,ns,71643
frag_iter,hecs,,,,40045700.0,ns,73480
frag_iter,hecs,,,,39674100.0,ns,75317
frag_iter,hecs,,,,42161000.0,ns,77154
frag_iter,hecs,,,,41899000.0,ns,78991
frag_iter,hecs,,,,42800400.0,ns,80828
frag_iter,hecs,,,,43890800.0,ns,82665
frag_iter,hecs,,,,47127500.0,ns,84502
frag_iter,hecs,,,,47901700.0,ns,86339
frag_iter,hecs,,,,47545700.0,ns,88176
frag_iter,hecs,,,,47770600.0,ns,90013
frag_iter,hecs,,,,48430600.0,ns,91850
frag_iter,hecs,,,,50852300.0,ns,93687
frag_iter,hecs,,,,51188100.0,ns,95524
frag_iter,hecs,,,,51969000.0,ns,97361
frag_iter,hecs,,,,52700300.0,ns,99198
frag_iter,hecs,,,,53277500.0,ns,101035
frag_iter,hecs,,,,55229600.0,ns,102872
frag_iter,hecs,,,,56752500.0,ns,104709
frag_iter,hecs,,,,56514600.0,ns,106546
frag_iter,hecs,,,,58393600.0,ns,108383
frag_iter,hecs,,,,63388800.0,ns,110220
frag_iter,hecs,,,,59638400.0,ns,112057
frag_iter,hecs,,,,61047600.0,ns,113894
frag_iter,hecs,,,,62079400.0,ns,115731
frag_iter,hecs,,,,62886600.0,ns,117568
frag_iter,hecs,,,,65197900.0,ns,119405
frag_iter,hecs,,,,64876400.0,ns,121242
frag_iter,hecs,,,,65485600.0,ns,123079
frag_iter,hecs,,,,70074700.0,ns,124916
frag_iter,hecs,,,,67678100.0,ns,126753
frag_iter,hecs,,,,69036200.0,ns,128590
frag_iter,hecs,,,,71367800.0,ns,130427
frag_iter,hecs,,,,71375600.0,ns,132264
frag_iter,hecs,,,,71412600.0,ns,134101
frag_iter,hecs,,,,73313200.0,ns,135938
frag_iter,hecs,,,,75796100.0,ns,137775
frag_iter,hecs,,,,74519800.0,ns,139612
frag_iter,hecs,,,,75470000.0,ns,141449
frag_iter,hecs,,,,78424600.0,ns,143286
frag_iter,hecs,,,,77919600.0,ns,145123
frag_iter,hecs,,,,79098200.0,ns,146960
frag_iter,hecs,,,,80150700.0,ns,148797
frag_iter,hecs,,,,81060400.0,ns,150634
frag_iter,hecs,,,,80972200.0,ns,152471
frag_iter,hecs,,,,83069200.0,ns,154308
frag_iter,hecs,,,,84606400.0,ns,156145
frag_iter,hecs,,,,83659400.0,ns,157982
frag_iter,hecs,,,,86832200.0,ns,159819
frag_iter,hecs,,,,89502800.0,ns,161656
frag_iter,hecs,,,,86757500.0,ns,163493
frag_iter,hecs,,,,90390800.0,ns,165330
frag_iter,hecs,,,,90811200.0,ns,167167
frag_iter,hecs,,,,93242800.0,ns,169004
frag_iter,hecs,,,,92182500.0,ns,170841
frag_iter,hecs,,,,93514400.0,ns,172678
frag_iter,hecs,,,,92850700.0,ns,174515
frag_iter,hecs,,,,94822800.0,ns,176352
frag_iter,hecs,,,,96148900.0,ns,178189
frag_iter,hecs,,,,95396200.0,ns,180026
frag_iter,hecs,,,,96751800.0,ns,181863
frag_iter,hecs,,,,98930200.0,ns,183700
