group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,hecs,,,,972800.0,ns,1824
frag_iter,hecs,,,,1949600.0,ns,3648
frag_iter,hecs,,,,2905000.0,ns,5472
frag_iter,hecs,,,,4133800.0,ns,7296
frag_iter,hecs,,,,4849200.0,ns,9120
frag_iter,hecs,,,,5955700.0,ns,10944
frag_iter,hecs,,,,6862600.0,ns,12768
frag_iter,hecs,,,,7889400.0,ns,14592
frag_iter,hecs,,,,8663900.0,ns,16416
frag_iter,hecs,,,,9967100.0,ns,18240
frag_iter,hecs,,,,10591600.0,ns,20064
frag_iter,hecs,,,,12625500.0,ns,21888
frag_iter,hecs,,,,12521400.0,ns,23712
frag_iter,hecs,,,,13480800.0,ns,25536
frag_iter,hecs,,,,14519400.0,ns,27360
frag_iter,hecs,,,,15383000.0,ns,29184
frag_iter,hecs,,,,16456000.0,ns,31008
frag_iter,hecs,,,,17354100.0,ns,32832
frag_iter,hecs,,,,18428600.0,ns,34656
frag_iter,hecs,,,,19283900.0,ns,36480
frag_iter,hecs,,,,20552700.0,ns,38304
frag_iter,hecs,,,,22182200.0,ns,40128
frag_iter,hecs,,,,22926300.0,ns,41952
frag_iter,hecs,,,,24020500.0,ns,43776
frag_iter,hecs,,,,24311100.0,ns,45600
frag_iter,hecs,,,,25318100.0,ns,47424
frag_iter,hecs,,,,26782300.0,ns,49248
frag_iter,hecs,,,,27964800.0,ns,51072
frag_iter,hecs,,,,29288400.0,ns,52896
frag_iter,hecs,,,,29455200.0,ns,54720
frag_iter,hecs,,,,30441900.0,ns,56544
frag_iter,hecs,,,,31290200.0,ns,58368
frag_iter,hecs,,,,32499100.0,ns,60192
frag_iter,hecs,,,,34806000.0,ns,62016
frag_iter,hecs,,,,34915800.0,ns,63840
frag_iter,hecs,,,,36242200.0,ns,65664
frag_iter,hecs,,,,36131800.0,ns,67488
frag_iter,hecs,,,,37084800.0,ns,69312
frag_iter,hecs,,,,38097000.0,ns,71136
frag_iter,hecs,,,,39014200.0,ns,72960
frag_iter,hecs,,,,40427700.0,ns,74784
frag_iter,hecs,,,,41774500.0,ns,76608
frag_iter,hecs,,,,43181400.0,ns,78432
frag_iter,hecs,,,,43274100.0,ns,80256
frag_iter,hecs,,,,44115000.0,ns,82080
frag_iter,hecs,,,,45357400.0,ns,83904
frag_iter,hecs,,,,46162400.0,ns,85728
frag_iter,hecs,,,,46786400.0,ns,87552
frag_iter,hecs,,,,48152400.0,ns,89376
frag_iter,hecs,,,,55521000.0,ns,91200
frag_iter,hecs,,,,50584000.0,ns,93024
frag_iter,hecs,,,,51231300.0,ns,94848
frag_iter,hecs,,,,52644500.0,ns,96672
frag_iter,hecs,,,,53032000.0,ns,98496
frag_iter,hecs,,,,54801100.0,ns,100320
frag_iter,hecs,,,,55238000.0,ns,102144
frag_iter,hecs,,,,56253800.0,ns,103968
frag_iter,hecs,,,,57381400.0,ns,105792
frag_iter,hecs,,,,57925000.0,ns,107616
frag_iter,hecs,,,,58697700.0,ns,109440
frag_iter,hecs,,,,59733200.0,ns,111264
frag_iter,hecs,,,,60563600.0,ns,113088
frag_iter,hecs,,,,62673500.0,ns,114912
frag_iter,hecs,,,,63622400.0,ns,116736
frag_iter,hecs,,,,63393900.0,ns,118560
frag_iter,hecs,,,,67705700.0,ns,120384
frag_iter,hecs,,,,74721700.0,ns,122208
frag_iter,hecs,,,,69075400.0,ns,124032
frag_iter,hecs,,,,69355200.0,ns,125856
frag_iter,hecs,,,,71824600.0,ns,127680
frag_iter,hecs,,,,71780500.0,ns,129504
frag_iter,hecs,,,,83309900.0,ns,131328
frag_iter,hecs,,,,76493900.0,ns,133152
frag_iter,hecs,,,,74107000.0,ns,134976
frag_iter,hecs,,,,74482600.0,ns,136800
frag_iter,hecs,,,,76210300.0,ns,138624
frag_iter,hecs,,,,77915300.0,ns,140448
frag_iter,hecs,,,,78230600.0,ns,142272
frag_iter,hecs,,,,79808800.0,ns,144096
frag_iter,hecs,,,,83298400.0,ns,145920
frag_iter,hecs,,,,80565900.0,ns,147744
frag_iter,hecs,,,,80162300.0,ns,149568
frag_iter,hecs,,,,82547600.0,ns,151392
frag_iter,hecs,,,,84248100.0,ns,153216
frag_iter,hecs,,,,83494600.0,ns,155040
frag_iter,hecs,,,,84941500.0,ns,156864
frag_iter,hecs,,,,85258500.0,ns,158688
frag_iter,hecs,,,,87236000.0,ns,160512
frag_iter,hecs,,,,87902900.0,ns,162336
frag_iter,hecs,,,,88482000.0,ns,164160
frag_iter,hecs,,,,89918700.0,ns,165984
frag_iter,hecs,,,,91743400.0,ns,167808
frag_iter,hecs,,,,91581200.0,ns,169632
frag_iter,hecs,,,,92256000.0,ns,171456
frag_iter,hecs,,,,93271800.0,ns,173280
frag_iter,hecs,,,,94689300.0,ns,175104
frag_iter,hecs,,,,95215500.0,ns,176928
frag_iter,hecs,,,,96474900.0,ns,178752
frag_iter,hecs,,,,98213400.0,ns,180576
frag_iter,hecs,,,,99341900.0,ns,182400
