group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,legion,,,,996700.0,ns,1950
frag_iter,legion,,,,1950400.0,ns,3900
frag_iter,legion,,,,2926500.0,ns,5850
frag_iter,legion,,,,3915900.0,ns,7800
frag_iter,legion,,,,4864200.0,ns,9750
frag_iter,legion,,,,5896800.0,ns,11700
frag_iter,legion,,,,6830900.0,ns,13650
frag_iter,legion,,,,7845400.0,ns,15600
frag_iter,legion,,,,8834700.0,ns,17550
frag_iter,legion,,,,9806800.0,ns,19500
frag_iter,legion,,,,10929100.0,ns,21450
frag_iter,legion,,,,11943800.0,ns,23400
frag_iter,legion,,,,12739700.0,ns,25350
frag_iter,legion,,,,13902500.0,ns,27300
frag_iter,legion,,,,14951000.0,ns,29250
frag_iter,legion,,,,15761500.0,ns,31200
frag_iter,legion,,,,16558900.0,ns,33150
frag_iter,legion,,,,17565800.0,ns,35100
frag_iter,legion,,,,18503600.0,ns,37050
frag_iter,legion,,,,19514200.0,ns,39000
frag_iter,legion,,,,20551000.0,ns,40950
frag_iter,legion,,,,21441700.0,ns,42900
frag_iter,legion,,,,22569800.0,ns,44850
frag_iter,legion,,,,23403200.0,ns,46800
frag_iter,legion,,,,25383500.0,ns,48750
frag_iter,legion,,,,25677200.0,ns,50700
frag_iter,legion,,,,26515700.0,ns,52650
frag_iter,legion,,,,27303100.0,ns,54600
frag_iter,legion,,,,28877300.0,ns,56550
frag_iter,legion,,,,29504600.0,ns,58500
frag_iter,legion,,,,30335400.0,ns,60450
frag_iter,legion,,,,31828700.0,ns,62400
frag_iter,legion,,,,33255900.0,ns,64350
frag_iter,legion,,,,33330500.0,ns,66300
frag_iter,legion,,,,34151200.0,ns,68250
frag_iter,legion,,,,35267100.0,ns,70200
frag_iter,legion,,,,36110200.0,ns,72150
frag_iter,legion,,,,37155500.0,ns,74100
frag_iter,legion,,,,38856500.0,ns,76050
frag_iter,legion,,,,39093400.0,ns,78000
frag_iter,legion,,,,40088300.0,ns,79950
frag_iter,legion,,,,41656400.0,ns,81900
frag_iter,legion,,,,42070500.0,ns,83850
frag_iter,legion,,,,43015100.0,ns,85800
frag_iter,legion,,,,44354200.0,ns,87750
frag_iter,legion,,,,45406400.0,ns,89700
frag_iter,legion,,,,46481200.0,ns,91650
frag_iter,legion,,,,46750100.0,ns,93600
frag_iter,legion,,,,48544100.0,ns,95550
frag_iter,legion,,,,48957200.0,ns,97500
frag_iter,legion,,,,49593000.0,ns,99450
frag_iter,legion,,,,51160900.0,ns,101400
frag_iter,legion,,,,51605400.0,ns,103350
frag_iter,legion,,,,53408000.0,ns,105300
frag_iter,legion,,,,53588200.0,ns,107250
frag_iter,legion,,,,54529100.0,ns,109200
frag_iter,legion,,,,56686400.0,ns,111150
frag_iter,legion,,,,56454900.0,ns,113100
frag_iter,legion,,,,57884700.0,ns,115050
frag_iter,legion,,,,58445700.0,ns,117000
frag_iter,legion,,,,59511700.0,ns,118950
frag_iter,legion,,,,60605500.0,ns,120900
frag_iter,legion,,,,61329100.0,ns,122850
frag_iter,legion,,,,62570600.0,ns,124800
frag_iter,legion,,,,63610400.0,ns,126750
frag_iter,legion,,,,64158500.0,ns,128700
frag_iter,legion,,,,65782000.0,ns,130650
frag_iter,legion,,,,66383300.0,ns,132600
frag_iter,legion,,,,67685900.0,ns,134550
frag_iter,legion,,,,68407500.0,ns,136500
frag_iter,legion,,,,69361400.0,ns,138450
frag_iter,legion,,,,70963700.0,ns,140400
frag_iter,legion,,,,71655900.0,ns,142350
frag_iter,legion,,,,73835700.0,ns,144300
frag_iter,legion,,,,73373300.0,ns,146250
frag_iter,legion,,,,75825800.0,ns,148200
frag_iter,legion,,,,76518200.0,ns,150150
frag_iter,legion,,,,76010100.0,ns,152100
frag_iter,legion,,,,77209700.0,ns,154050
frag_iter,legion,,,,78151700.0,ns,156000
frag_iter,legion,,,,79278000.0,ns,157950
frag_iter,legion,,,,79961400.0,ns,159900
frag_iter,legion,,,,80611500.0,ns,161850
frag_iter,legion,,,,82230100.0,ns,163800
frag_iter,legion,,,,84927900.0,ns,165750
frag_iter,legion,,,,83839000.0,ns,167700
frag_iter,legion,,,,84873600.0,ns,169650
frag_iter,legion,,,,85874400.0,ns,171600
frag_iter,legion,,,,86848300.0,ns,173550
frag_iter,legion,,,,87900300.0,ns,175500
frag_iter,legion,,,,88560500.0,ns,177450
frag_iter,legion,,,,90119100.0,ns,179400
frag_iter,legion,,,,91103700.0,ns,181350
frag_iter,legion,,,,93107800.0,ns,183300
frag_iter,legion,,,,94366800.0,ns,185250
frag_iter,legion,,,,96662000.0,ns,187200
frag_iter,legion,,,,94767300.0,ns,189150
frag_iter,legion,,,,96796000.0,ns,191100
frag_iter,legion,,,,96730500.0,ns,193050
frag_iter,legion,,,,97516500.0,ns,195000
