group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,planck_ecs,,,,992800.0,ns,301
frag_iter,planck_ecs,,,,2217400.0,ns,602
frag_iter,planck_ecs,,,,2971900.0,ns,903
frag_iter,planck_ecs,,,,3964600.0,ns,1204
frag_iter,planck_ecs,,,,4997700.0,ns,1505
frag_iter,planck_ecs,,,,5957200.0,ns,1806
frag_iter,planck_ecs,,,,6935400.0,ns,2107
frag_iter,planck_ecs,,,,7960500.0,ns,2408
frag_iter,planck_ecs,,,,9043700.0,ns,2709
frag_iter,planck_ecs,,,,9903100.0,ns,3010
frag_iter,planck_ecs,,,,10969500.0,ns,3311
frag_iter,planck_ecs,,,,11932400.0,ns,3612
frag_iter,planck_ecs,,,,12899500.0,ns,3913
frag_iter,planck_ecs,,,,13914100.0,ns,4214
frag_iter,planck_ecs,,,,14882000.0,ns,4515
frag_iter,planck_ecs,,,,15905400.0,ns,4816
frag_iter,planck_ecs,,,,16882400.0,ns,5117
frag_iter,planck_ecs,,,,17861500.0,ns,5418
frag_iter,planck_ecs,,,,18858900.0,ns,5719
frag_iter,planck_ecs,,,,19831100.0,ns,6020
frag_iter,planck_ecs,,,,20823700.0,ns,6321
frag_iter,planck_ecs,,,,21857400.0,ns,6622
frag_iter,planck_ecs,,,,22813400.0,ns,6923
frag_iter,planck_ecs,,,,23814300.0,ns,7224
frag_iter,planck_ecs,,,,24998600.0,ns,7525
frag_iter,planck_ecs,,,,25780700.0,ns,7826
frag_iter,planck_ecs,,,,26773200.0,ns,8127
frag_iter,planck_ecs,,,,27784000.0,ns,8428
frag_iter,planck_ecs,,,,28749600.0,ns,8729
frag_iter,planck_ecs,,,,29751700.0,ns,9030
frag_iter,planck_ecs,,,,30742000.0,ns,9331
frag_iter,planck_ecs,,,,31762800.0,ns,9632
frag_iter,planck_ecs,,,,32722800.0,ns,9933
frag_iter,planck_ecs,,,,33724500.0,ns,10234
frag_iter,planck_ecs,,,,34860100.0,ns,10535
frag_iter,planck_ecs,,,,35776300.0,ns,10836
frag_iter,planck_ecs,,,,36696700.0,ns,11137
frag_iter,planck_ecs,,,,37720300.0,ns,11438
frag_iter,planck_ecs,,,,38697200.0,ns,11739
frag_iter,planck_ecs,,,,39696100.0,ns,12040
frag_iter,planck_ecs,,,,40687000.0,ns,12341
frag_iter,planck_ecs,,,,41854600.0,ns,12642
frag_iter,planck_ecs,,,,42665800.0,ns,12943
frag_iter,planck_ecs,,,,43706400.0,ns,13244
frag_iter,planck_ecs,,,,44780500.0,ns,13545
frag_iter,planck_ecs,,,,45611400.0,ns,13846
frag_iter,planck_ecs,,,,46817900.0,ns,14147
frag_iter,planck_ecs,,,,47712200.0,ns,14448
frag_iter,planck_ecs,,,,48610800.0,ns,14749
frag_iter,planck_ecs,,,,49574300.0,ns,15050
frag_iter,planck_ecs,,,,50594200.0,ns,15351
frag_iter,planck_ecs,,,,51590500.0,ns,15652
frag_iter,planck_ecs,,,,52546000.0,ns,15953
frag_iter,planck_ecs,,,,53596700.0,ns,16254
frag_iter,planck_ecs,,,,54533600.0,ns,16555
frag_iter,planck_ecs,,,,55587600.0,ns,16856
frag_iter,planck_ecs,,,,56595400.0,ns,17157
frag_iter,planck_ecs,,,,57528100.0,ns,17458
frag_iter,planck_ecs,,,,58521300.0,ns,17759
frag_iter,planck_ecs,,,,59505900.0,ns,18060
frag_iter,planck_ecs,,,,60504400.0,ns,18361
frag_iter,planck_ecs,,,,61531000.0,ns,18662
frag_iter,planck_ecs,,,,62549600.0,ns,18963
frag_iter,planck_ecs,,,,63446100.0,ns,19264
frag_iter,planck_ecs,,,,64474000.0,ns,19565
frag_iter,planck_ecs,,,,65696700.0,ns,19866
frag_iter,planck_ecs,,,,66731100.0,ns,20167
frag_iter,planck_ecs,,,,67460700.0,ns,20468
frag_iter,planck_ecs,,,,68616500.0,ns,20769
frag_iter,planck_ecs,,,,69445900.0,ns,21070
frag_iter,planck_ecs,,,,70437700.0,ns,21371
frag_iter,planck_ecs,,,,71649600.0,ns,21672
frag_iter,planck_ecs,,,,72590900.0,ns,21973
frag_iter,planck_ecs,,,,73404400.0,ns,22274
frag_iter,planck_ecs,,,,74396000.0,ns,22575
frag_iter,planck_ecs,,,,75389400.0,ns,22876
frag_iter,planck_ecs,,,,76439500.0,ns,23177
frag_iter,planck_ecs,,,,77407200.0,ns,23478
frag_iter,planck_ecs,,,,78351300.0,ns,23779
frag_iter,planck_ecs,,,,79384200.0,ns,24080
frag_iter,planck_ecs,,,,80345900.0,ns,24381
frag_iter,planck_ecs,,,,81361900.0,ns,24682
frag_iter,planck_ecs,,,,82320300.0,ns,24983
frag_iter,planck_ecs,,,,83335400.0,ns,25284
frag_iter,planck_ecs,,,,84481100.0,ns,25585
frag_iter,planck_ecs,,,,85575400.0,ns,25886
frag_iter,planck_ecs,,,,86243000.0,ns,26187
frag_iter,planck_ecs,,,,87327500.0,ns,26488
frag_iter,planck_ecs,,,,88425200.0,ns,26789
frag_iter,planck_ecs,,,,89415100.0,ns,27090
frag_iter,planck_ecs,,,,90328200.0,ns,27391
frag_iter,planck_ecs,,,,91285300.0,ns,27692
frag_iter,planck_ecs,,,,92251600.0,ns,27993
frag_iter,planck_ecs,,,,93236400.0,ns,28294
frag_iter,planck_ecs,,,,94450100.0,ns,28595
frag_iter,planck_ecs,,,,95181100.0,ns,28896
frag_iter,planck_ecs,,,,96239000.0,ns,29197
frag_iter,planck_ecs,,,,97211400.0,ns,29498
frag_iter,planck_ecs,,,,98202700.0,ns,29799
frag_iter,planck_ecs,,,,99228200.0,ns,30100
