group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,planck_ecs,,,,985200.0,ns,1426
frag_iter,planck_ecs,,,,1967600.0,ns,2852
frag_iter,planck_ecs,,,,3328100.0,ns,4278
frag_iter,planck_ecs,,,,3955700.0,ns,5704
frag_iter,planck_ecs,,,,4923200.0,ns,7130
frag_iter,planck_ecs,,,,5929800.0,ns,8556
frag_iter,planck_ecs,,,,6904000.0,ns,9982
frag_iter,planck_ecs,,,,7900500.0,ns,11408
frag_iter,planck_ecs,,,,8936000.0,ns,12834
frag_iter,planck_ecs,,,,9864700.0,ns,14260
frag_iter,planck_ecs,,,,10856400.0,ns,15686
frag_iter,planck_ecs,,,,11858900.0,ns,17112
frag_iter,planck_ecs,,,,12814500.0,ns,18538
frag_iter,planck_ecs,,,,13809200.0,ns,19964
frag_iter,planck_ecs,,,,14822600.0,ns,21390
frag_iter,planck_ecs,,,,15789200.0,ns,22816
frag_iter,planck_ecs,,,,16776500.0,ns,24242
frag_iter,planck_ecs,,,,17756700.0,ns,25668
frag_iter,planck_ecs,,,,18746700.0,ns,27094
frag_iter,planck_ecs,,,,19728000.0,ns,28520
frag_iter,planck_ecs,,,,20849700.0,ns,29946
frag_iter,planck_ecs,,,,21742000.0,ns,31372
frag_iter,planck_ecs,,,,22716000.0,ns,32798
frag_iter,planck_ecs,,,,23703300.0,ns,34224
frag_iter,planck_ecs,,,,24704100.0,ns,35650
frag_iter,planck_ecs,,,,25702100.0,ns,37076
frag_iter,planck_ecs,,,,26638700.0,ns,38502
frag_iter,planck_ecs,,,,27647400.0,ns,39928
frag_iter,planck_ecs,,,,28819900.0,ns,41354
frag_iter,planck_ecs,,,,29687300.0,ns,42780
frag_iter,planck_ecs,,,,30579800.0,ns,44206
frag_iter,planck_ecs,,,,31594900.0,ns,45632
frag_iter,planck_ecs,,,,32614500.0,ns,47058
frag_iter,planck_ecs,,,,34065300.0,ns,48484
frag_iter,planck_ecs,,,,34527500.0,ns,49910
frag_iter,planck_ecs,,,,35528800.0,ns,51336
frag_iter,planck_ecs,,,,36476500.0,ns,52762
frag_iter,planck_ecs,,,,37529800.0,ns,54188
frag_iter,planck_ecs,,,,38469400.0,ns,55614
frag_iter,planck_ecs,,,,39482800.0,ns,57040
frag_iter,planck_ecs,,,,40478900.0,ns,58466
frag_iter,planck_ecs,,,,41440700.0,ns,59892
frag_iter,planck_ecs,,,,42417600.0,ns,61318
frag_iter,planck_ecs,,,,43447700.0,ns,62744
frag_iter,planck_ecs,,,,44375100.0,ns,64170
frag_iter,planck_ecs,,,,45451200.0,ns,65596
frag_iter,planck_ecs,,,,46407800.0,ns,67022
frag_iter,planck_ecs,,,,47461200.0,ns,68448
frag_iter,planck_ecs,,,,48741200.0,ns,69874
frag_iter,planck_ecs,,,,49304200.0,ns,71300
frag_iter,planck_ecs,,,,50366800.0,ns,72726
frag_iter,planck_ecs,,,,51305000.0,ns,74152
frag_iter,planck_ecs,,,,52269900.0,ns,75578
frag_iter,planck_ecs,,,,53271400.0,ns,77004
frag_iter,planck_ecs,,,,54264000.0,ns,78430
