group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,shipyard,,,,1017700.0,ns,11255
frag_iter,shipyard,,,,1847400.0,ns,22510
frag_iter,shipyard,,,,3138200.0,ns,33765
frag_iter,shipyard,,,,3965900.0,ns,45020
frag_iter,shipyard,,,,5093700.0,ns,56275
frag_iter,shipyard,,,,5479100.0,ns,67530
frag_iter,shipyard,,,,7221300.0,ns,78785
frag_iter,shipyard,,,,8490900.0,ns,90040
frag_iter,shipyard,,,,8234200.0,ns,101295
frag_iter,shipyard,,,,10221700.0,ns,112550
frag_iter,shipyard,,,,11622000.0,ns,123805
frag_iter,shipyard,,,,11005900.0,ns,135060
frag_iter,shipyard,,,,11928500.0,ns,146315
frag_iter,shipyard,,,,14616600.0,ns,157570
frag_iter,shipyard,,,,15445200.0,ns,168825
frag_iter,shipyard,,,,14620100.0,ns,180080
frag_iter,shipyard,,,,17740500.0,ns,191335
frag_iter,shipyard,,,,18614400.0,ns,202590
frag_iter,shipyard,,,,19944100.0,ns,213845
frag_iter,shipyard,,,,20636500.0,ns,225100
frag_iter,shipyard,,,,19147900.0,ns,236355
frag_iter,shipyard,,,,23064900.0,ns,247610
frag_iter,shipyard,,,,23910100.0,ns,258865
frag_iter,shipyard,,,,24795200.0,ns,270120
frag_iter,shipyard,,,,22788600.0,ns,281375
frag_iter,shipyard,,,,23659000.0,ns,292630
frag_iter,shipyard,,,,24582900.0,ns,303885
frag_iter,shipyard,,,,25479100.0,ns,315140
frag_iter,shipyard,,,,29889400.0,ns,326395
frag_iter,shipyard,,,,27396600.0,ns,337650
frag_iter,shipyard,,,,28255800.0,ns,348905
frag_iter,shipyard,,,,32690200.0,ns,360160
frag_iter,shipyard,,,,34182400.0,ns,371415
frag_iter,shipyard,,,,34897600.0,ns,382670
frag_iter,shipyard,,,,31859900.0,ns,393925
frag_iter,shipyard,,,,32724500.0,ns,405180
frag_iter,shipyard,,,,38244100.0,ns,416435
frag_iter,shipyard,,,,38857300.0,ns,427690
frag_iter,shipyard,,,,35423900.0,ns,438945
frag_iter,shipyard,,,,41027900.0,ns,450200
frag_iter,shipyard,,,,37153600.0,ns,461455
frag_iter,shipyard,,,,43213000.0,ns,472710
frag_iter,shipyard,,,,44193800.0,ns,483965
frag_iter,shipyard,,,,40343400.0,ns,495220
frag_iter,shipyard,,,,41253100.0,ns,506475
frag_iter,shipyard,,,,46965000.0,ns,517730
frag_iter,shipyard,,,,49052200.0,ns,528985
frag_iter,shipyard,,,,43790400.0,ns,540240
frag_iter,shipyard,,,,42868100.0,ns,551495
frag_iter,shipyard,,,,45988100.0,ns,562750
frag_iter,shipyard,,,,46631100.0,ns,574005
frag_iter,shipyard,,,,47661100.0,ns,585260
frag_iter,shipyard,,,,55212100.0,ns,596515
frag_iter,shipyard,,,,55777300.0,ns,607770
frag_iter,shipyard,,,,57145400.0,ns,619025
frag_iter,shipyard,,,,51628800.0,ns,630280
frag_iter,shipyard,,,,52297600.0,ns,641535
frag_iter,shipyard,,,,53365900.0,ns,652790
frag_iter,shipyard,,,,60225900.0,ns,664045
frag_iter,shipyard,,,,54780300.0,ns,675300
frag_iter,shipyard,,,,55791700.0,ns,686555
frag_iter,shipyard,,,,64143100.0,ns,697810
frag_iter,shipyard,,,,65723200.0,ns,709065
frag_iter,shipyard,,,,65144700.0,ns,720320
frag_iter,shipyard,,,,66408100.0,ns,731575
frag_iter,shipyard,,,,60548400.0,ns,742830
frag_iter,shipyard,,,,61186800.0,ns,754085
frag_iter,shipyard,,,,70921000.0,ns,765340
frag_iter,shipyard,,,,63201700.0,ns,776595
frag_iter,shipyard,,,,71899000.0,ns,787850
frag_iter,shipyard,,,,64631400.0,ns,799105
frag_iter,shipyard,,,,64870000.0,ns,810360
frag_iter,shipyard,,,,75001800.0,ns,821615
frag_iter,shipyard,,,,76317500.0,ns,832870
frag_iter,shipyard,,,,68165900.0,ns,844125
frag_iter,shipyard,,,,69223400.0,ns,855380
frag_iter,shipyard,,,,70740100.0,ns,866635
frag_iter,shipyard,,,,79915500.0,ns,877890
frag_iter,shipyard,,,,71292000.0,ns,889145
frag_iter,shipyard,,,,72884800.0,ns,900400
frag_iter,shipyard,,,,74800900.0,ns,911655
frag_iter,shipyard,,,,74899900.0,ns,922910
frag_iter,shipyard,,,,85223200.0,ns,934165
frag_iter,shipyard,,,,86298700.0,ns,945420
frag_iter,shipyard,,,,87720700.0,ns,956675
frag_iter,shipyard,,,,79398800.0,ns,967930
frag_iter,shipyard,,,,89960900.0,ns,979185
frag_iter,shipyard,,,,80134900.0,ns,990440
frag_iter,shipyard,,,,92246200.0,ns,1001695
frag_iter,shipyard,,,,82383300.0,ns,1012950
frag_iter,shipyard,,,,94320500.0,ns,1024205
frag_iter,shipyard,,,,95478200.0,ns,1035460
frag_iter,shipyard,,,,96770900.0,ns,1046715
frag_iter,shipyard,,,,97569800.0,ns,1057970
frag_iter,shipyard,,,,86842900.0,ns,1069225
frag_iter,shipyard,,,,83186300.0,ns,1080480
frag_iter,shipyard,,,,88042000.0,ns,1091735
frag_iter,shipyard,,,,101003100.0,ns,1102990
frag_iter,shipyard,,,,102898100.0,ns,1114245
frag_iter,shipyard,,,,103135300.0,ns,1125500
