group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,shipyard,,,,962900.0,ns,11971
frag_iter,shipyard,,,,1913200.0,ns,23942
frag_iter,shipyard,,,,2901700.0,ns,35913
frag_iter,shipyard,,,,3861200.0,ns,47884
frag_iter,shipyard,,,,5110000.0,ns,59855
frag_iter,shipyard,,,,6071900.0,ns,71826
frag_iter,shipyard,,,,6736900.0,ns,83797
frag_iter,shipyard,,,,7708500.0,ns,95768
frag_iter,shipyard,,,,8663400.0,ns,107739
frag_iter,shipyard,,,,10229200.0,ns,119710
frag_iter,shipyard,,,,11244300.0,ns,131681
frag_iter,shipyard,,,,11749300.0,ns,143652
frag_iter,shipyard,,,,13315100.0,ns,155623
frag_iter,shipyard,,,,14226400.0,ns,167594
frag_iter,shipyard,,,,13726100.0,ns,179565
frag_iter,shipyard,,,,16268500.0,ns,191536
frag_iter,shipyard,,,,16386300.0,ns,203507
frag_iter,shipyard,,,,17329600.0,ns,215478
frag_iter,shipyard,,,,19347800.0,ns,227449
frag_iter,shipyard,,,,20405100.0,ns,239420
frag_iter,shipyard,,,,21247200.0,ns,251391
frag_iter,shipyard,,,,22309500.0,ns,263362
frag_iter,shipyard,,,,22107100.0,ns,275333
frag_iter,shipyard,,,,23267200.0,ns,287304
frag_iter,shipyard,,,,25395800.0,ns,299275
frag_iter,shipyard,,,,26427000.0,ns,311246
frag_iter,shipyard,,,,26039700.0,ns,323217
frag_iter,shipyard,,,,26603400.0,ns,335188
frag_iter,shipyard,,,,27932600.0,ns,347159
frag_iter,shipyard,,,,30148500.0,ns,359130
frag_iter,shipyard,,,,31538700.0,ns,371101
frag_iter,shipyard,,,,30748100.0,ns,383072
frag_iter,shipyard,,,,33560400.0,ns,395043
frag_iter,shipyard,,,,34601400.0,ns,407014
frag_iter,shipyard,,,,35902000.0,ns,418985
frag_iter,shipyard,,,,34628200.0,ns,430956
frag_iter,shipyard,,,,37623900.0,ns,442927
frag_iter,shipyard,,,,38732900.0,ns,454898
frag_iter,shipyard,,,,39765200.0,ns,466869
frag_iter,shipyard,,,,40602300.0,ns,478840
frag_iter,shipyard,,,,41428600.0,ns,490811
frag_iter,shipyard,,,,40368300.0,ns,502782
frag_iter,shipyard,,,,43855200.0,ns,514753
frag_iter,shipyard,,,,42330200.0,ns,526724
frag_iter,shipyard,,,,45873100.0,ns,538695
frag_iter,shipyard,,,,44195800.0,ns,550666
frag_iter,shipyard,,,,45029500.0,ns,562637
frag_iter,shipyard,,,,46211700.0,ns,574608
frag_iter,shipyard,,,,47022000.0,ns,586579
frag_iter,shipyard,,,,50819400.0,ns,598550
frag_iter,shipyard,,,,51933700.0,ns,610521
frag_iter,shipyard,,,,49950200.0,ns,622492
frag_iter,shipyard,,,,50927700.0,ns,634463
frag_iter,shipyard,,,,55240300.0,ns,646434
frag_iter,shipyard,,,,55824700.0,ns,658405
frag_iter,shipyard,,,,57746200.0,ns,670376
frag_iter,shipyard,,,,58357800.0,ns,682347
frag_iter,shipyard,,,,59288000.0,ns,694318
frag_iter,shipyard,,,,60181400.0,ns,706289
frag_iter,shipyard,,,,57430000.0,ns,718260
frag_iter,shipyard,,,,62128700.0,ns,730231
frag_iter,shipyard,,,,63094600.0,ns,742202
frag_iter,shipyard,,,,64123600.0,ns,754173
frag_iter,shipyard,,,,65199200.0,ns,766144
frag_iter,shipyard,,,,66176500.0,ns,778115
frag_iter,shipyard,,,,67194400.0,ns,790086
frag_iter,shipyard,,,,64600100.0,ns,802057
frag_iter,shipyard,,,,68723800.0,ns,814028
frag_iter,shipyard,,,,70275600.0,ns,825999
frag_iter,shipyard,,,,70830500.0,ns,837970
frag_iter,shipyard,,,,68533200.0,ns,849941
frag_iter,shipyard,,,,73403600.0,ns,861912
frag_iter,shipyard,,,,70479200.0,ns,873883
frag_iter,shipyard,,,,75447400.0,ns,885854
frag_iter,shipyard,,,,72232600.0,ns,897825
frag_iter,shipyard,,,,77111700.0,ns,909796
frag_iter,shipyard,,,,78372200.0,ns,921767
frag_iter,shipyard,,,,79288000.0,ns,933738
frag_iter,shipyard,,,,79604700.0,ns,945709
frag_iter,shipyard,,,,75092500.0,ns,957680
frag_iter,shipyard,,,,78000300.0,ns,969651
frag_iter,shipyard,,,,79352200.0,ns,981622
frag_iter,shipyard,,,,79934300.0,ns,993593
frag_iter,shipyard,,,,80569500.0,ns,1005564
frag_iter,shipyard,,,,86105900.0,ns,1017535
frag_iter,shipyard,,,,82573000.0,ns,1029506
frag_iter,shipyard,,,,88175300.0,ns,1041477
frag_iter,shipyard,,,,89583800.0,ns,1053448
frag_iter,shipyard,,,,90213500.0,ns,1065419
frag_iter,shipyard,,,,86525000.0,ns,1077390
frag_iter,shipyard,,,,86806100.0,ns,1089361
frag_iter,shipyard,,,,88748700.0,ns,1101332
frag_iter,shipyard,,,,90730900.0,ns,1113303
frag_iter,shipyard,,,,95844300.0,ns,1125274
frag_iter,shipyard,,,,97242200.0,ns,1137245
frag_iter,shipyard,,,,92292000.0,ns,1149216
frag_iter,shipyard,,,,92430900.0,ns,1161187
frag_iter,shipyard,,,,93990500.0,ns,1173158
frag_iter,shipyard,,,,95270500.0,ns,1185129
frag_iter,shipyard,,,,95583900.0,ns,1197100
