group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,sparsey,,,,950900.0,ns,6235
frag_iter,sparsey,,,,2178600.0,ns,12470
frag_iter,sparsey,,,,2875500.0,ns,18705
frag_iter,sparsey,,,,3805200.0,ns,24940
frag_iter,sparsey,,,,4822900.0,ns,31175
frag_iter,sparsey,,,,5707800.0,ns,37410
frag_iter,sparsey,,,,7635000.0,ns,43645
frag_iter,sparsey,,,,7615200.0,ns,49880
frag_iter,sparsey,,,,8632500.0,ns,56115
frag_iter,sparsey,,,,10863500.0,ns,62350
frag_iter,sparsey,,,,11881000.0,ns,68585
frag_iter,sparsey,,,,11401500.0,ns,74820
frag_iter,sparsey,,,,14048900.0,ns,81055
frag_iter,sparsey,,,,15119400.0,ns,87290
frag_iter,sparsey,,,,16285900.0,ns,93525
frag_iter,sparsey,,,,17434400.0,ns,99760
frag_iter,sparsey,,,,18429300.0,ns,105995
frag_iter,sparsey,,,,17258200.0,ns,112230
frag_iter,sparsey,,,,18053000.0,ns,118465
frag_iter,sparsey,,,,19048300.0,ns,124700
frag_iter,sparsey,,,,22839600.0,ns,130935
frag_iter,sparsey,,,,23970100.0,ns,137170
frag_iter,sparsey,,,,22120300.0,ns,143405
frag_iter,sparsey,,,,23141700.0,ns,149640
frag_iter,sparsey,,,,26986500.0,ns,155875
frag_iter,sparsey,,,,24639200.0,ns,162110
frag_iter,sparsey,,,,29399200.0,ns,168345
frag_iter,sparsey,,,,30410800.0,ns,174580
frag_iter,sparsey,,,,31303500.0,ns,180815
frag_iter,sparsey,,,,28541300.0,ns,187050
frag_iter,sparsey,,,,33573600.0,ns,193285
frag_iter,sparsey,,,,30755600.0,ns,199520
frag_iter,sparsey,,,,31759300.0,ns,205755
frag_iter,sparsey,,,,32592600.0,ns,211990
frag_iter,sparsey,,,,33390400.0,ns,218225
frag_iter,sparsey,,,,34309400.0,ns,224460
frag_iter,sparsey,,,,35475100.0,ns,230695
frag_iter,sparsey,,,,36438200.0,ns,236930
frag_iter,sparsey,,,,37577600.0,ns,243165
frag_iter,sparsey,,,,43602400.0,ns,249400
frag_iter,sparsey,,,,39332500.0,ns,255635
frag_iter,sparsey,,,,40133500.0,ns,261870
frag_iter,sparsey,,,,41329000.0,ns,268105
frag_iter,sparsey,,,,42200800.0,ns,274340
frag_iter,sparsey,,,,43101300.0,ns,280575
frag_iter,sparsey,,,,49673900.0,ns,286810
frag_iter,sparsey,,,,50960100.0,ns,293045
frag_iter,sparsey,,,,46227800.0,ns,299280
frag_iter,sparsey,,,,53653900.0,ns,305515
frag_iter,sparsey,,,,47585700.0,ns,311750
frag_iter,sparsey,,,,55042700.0,ns,317985
frag_iter,sparsey,,,,49872800.0,ns,324220
frag_iter,sparsey,,,,57257800.0,ns,330455
frag_iter,sparsey,,,,58371200.0,ns,336690
frag_iter,sparsey,,,,52496700.0,ns,342925
frag_iter,sparsey,,,,53378600.0,ns,349160
frag_iter,sparsey,,,,54275900.0,ns,355395
frag_iter,sparsey,,,,55743000.0,ns,361630
frag_iter,sparsey,,,,63748300.0,ns,367865
frag_iter,sparsey,,,,65522300.0,ns,374100
frag_iter,sparsey,,,,66422400.0,ns,380335
frag_iter,sparsey,,,,67075600.0,ns,386570
frag_iter,sparsey,,,,60626300.0,ns,392805
frag_iter,sparsey,,,,69169000.0,ns,399040
frag_iter,sparsey,,,,70189800.0,ns,405275
frag_iter,sparsey,,,,72081500.0,ns,411510
frag_iter,sparsey,,,,64333000.0,ns,417745
frag_iter,sparsey,,,,65261700.0,ns,423980
frag_iter,sparsey,,,,74520100.0,ns,430215
frag_iter,sparsey,,,,75960800.0,ns,436450
frag_iter,sparsey,,,,76817800.0,ns,442685
frag_iter,sparsey,,,,68774100.0,ns,448920
frag_iter,sparsey,,,,79345900.0,ns,455155
frag_iter,sparsey,,,,79995300.0,ns,461390
frag_iter,sparsey,,,,72120000.0,ns,467625
frag_iter,sparsey,,,,82169200.0,ns,473860
frag_iter,sparsey,,,,72939500.0,ns,480095
frag_iter,sparsey,,,,85047900.0,ns,486330
frag_iter,sparsey,,,,86080400.0,ns,492565
frag_iter,sparsey,,,,76292800.0,ns,498800
frag_iter,sparsey,,,,87696900.0,ns,505035
frag_iter,sparsey,,,,88588000.0,ns,511270
frag_iter,sparsey,,,,78733400.0,ns,517505
frag_iter,sparsey,,,,90619000.0,ns,523740
frag_iter,sparsey,,,,81498700.0,ns,529975
frag_iter,sparsey,,,,82686800.0,ns,536210
frag_iter,sparsey,,,,83492300.0,ns,542445
frag_iter,sparsey,,,,95869100.0,ns,548680
frag_iter,sparsey,,,,97040900.0,ns,554915
frag_iter,sparsey,,,,97999100.0,ns,561150
frag_iter,sparsey,,,,86854300.0,ns,567385
frag_iter,sparsey,,,,100456300.0,ns,573620
frag_iter,sparsey,,,,89440600.0,ns,579855
frag_iter,sparsey,,,,89274000.0,ns,586090
frag_iter,sparsey,,,,90428800.0,ns,592325
frag_iter,sparsey,,,,91361100.0,ns,598560
frag_iter,sparsey,,,,93249400.0,ns,604795
frag_iter,sparsey,,,,106724000.0,ns,611030
frag_iter,sparsey,,,,95059400.0,ns,617265
frag_iter,sparsey,,,,95954300.0,ns,623500
