group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,sparsey,,,,991000.0,ns,5740
frag_iter,sparsey,,,,2013200.0,ns,11480
frag_iter,sparsey,,,,2705800.0,ns,17220
frag_iter,sparsey,,,,3986400.0,ns,22960
frag_iter,sparsey,,,,4986800.0,ns,28700
frag_iter,sparsey,,,,6009300.0,ns,34440
frag_iter,sparsey,,,,6971300.0,ns,40180
frag_iter,sparsey,,,,7941600.0,ns,45920
frag_iter,sparsey,,,,8929800.0,ns,51660
frag_iter,sparsey,,,,9889000.0,ns,57400
frag_iter,sparsey,,,,10918300.0,ns,63140
frag_iter,sparsey,,,,11835800.0,ns,68880
frag_iter,sparsey,,,,12851200.0,ns,74620
frag_iter,sparsey,,,,12252200.0,ns,80360
frag_iter,sparsey,,,,13088500.0,ns,86100
frag_iter,sparsey,,,,15884700.0,ns,91840
frag_iter,sparsey,,,,16968500.0,ns,97580
frag_iter,sparsey,,,,19933700.0,ns,103320
frag_iter,sparsey,,,,16640700.0,ns,109060
frag_iter,sparsey,,,,19846400.0,ns,114800
frag_iter,sparsey,,,,18385700.0,ns,120540
frag_iter,sparsey,,,,19913000.0,ns,126280
frag_iter,sparsey,,,,22909600.0,ns,132020
frag_iter,sparsey,,,,23974900.0,ns,137760
frag_iter,sparsey,,,,24783200.0,ns,143500
frag_iter,sparsey,,,,25712100.0,ns,149240
frag_iter,sparsey,,,,25404500.0,ns,154980
frag_iter,sparsey,,,,24501400.0,ns,160720
frag_iter,sparsey,,,,28697300.0,ns,166460
frag_iter,sparsey,,,,26227000.0,ns,172200
frag_iter,sparsey,,,,27136500.0,ns,177940
frag_iter,sparsey,,,,31950600.0,ns,183680
frag_iter,sparsey,,,,32671100.0,ns,189420
frag_iter,sparsey,,,,29764100.0,ns,195160
frag_iter,sparsey,,,,30674900.0,ns,200900
frag_iter,sparsey,,,,31412000.0,ns,206640
frag_iter,sparsey,,,,36737200.0,ns,212380
frag_iter,sparsey,,,,37609700.0,ns,218120
frag_iter,sparsey,,,,34022200.0,ns,223860
frag_iter,sparsey,,,,39777000.0,ns,229600
frag_iter,sparsey,,,,36016800.0,ns,235340
frag_iter,sparsey,,,,36724900.0,ns,241080
frag_iter,sparsey,,,,37616300.0,ns,246820
frag_iter,sparsey,,,,38591500.0,ns,252560
frag_iter,sparsey,,,,44609800.0,ns,258300
frag_iter,sparsey,,,,40249900.0,ns,264040
frag_iter,sparsey,,,,46875400.0,ns,269780
frag_iter,sparsey,,,,47610300.0,ns,275520
frag_iter,sparsey,,,,42862300.0,ns,281260
frag_iter,sparsey,,,,49545900.0,ns,287000
frag_iter,sparsey,,,,50523500.0,ns,292740
frag_iter,sparsey,,,,51816400.0,ns,298480
frag_iter,sparsey,,,,46392000.0,ns,304220
frag_iter,sparsey,,,,53354300.0,ns,309960
frag_iter,sparsey,,,,54461700.0,ns,315700
frag_iter,sparsey,,,,55694900.0,ns,321440
frag_iter,sparsey,,,,56801500.0,ns,327180
frag_iter,sparsey,,,,57481400.0,ns,332920
frag_iter,sparsey,,,,58411700.0,ns,338660
frag_iter,sparsey,,,,60107700.0,ns,344400
frag_iter,sparsey,,,,53440600.0,ns,350140
frag_iter,sparsey,,,,61445300.0,ns,355880
frag_iter,sparsey,,,,55205900.0,ns,361620
frag_iter,sparsey,,,,63431700.0,ns,367360
frag_iter,sparsey,,,,57012100.0,ns,373100
frag_iter,sparsey,,,,65294500.0,ns,378840
frag_iter,sparsey,,,,58410600.0,ns,384580
frag_iter,sparsey,,,,59562800.0,ns,390320
frag_iter,sparsey,,,,60526400.0,ns,396060
frag_iter,sparsey,,,,61296200.0,ns,401800
frag_iter,sparsey,,,,70837500.0,ns,407540
frag_iter,sparsey,,,,71605200.0,ns,413280
frag_iter,sparsey,,,,72386700.0,ns,419020
frag_iter,sparsey,,,,73208600.0,ns,424760
frag_iter,sparsey,,,,74456300.0,ns,430500
frag_iter,sparsey,,,,75245400.0,ns,436240
frag_iter,sparsey,,,,67322400.0,ns,441980
frag_iter,sparsey,,,,77564700.0,ns,447720
frag_iter,sparsey,,,,78227800.0,ns,453460
frag_iter,sparsey,,,,79902900.0,ns,459200
frag_iter,sparsey,,,,70992700.0,ns,464940
frag_iter,sparsey,,,,92039500.0,ns,470680
frag_iter,sparsey,,,,73047300.0,ns,476420
frag_iter,sparsey,,,,83346800.0,ns,482160
frag_iter,sparsey,,,,84119800.0,ns,487900
frag_iter,sparsey,,,,84926700.0,ns,493640
frag_iter,sparsey,,,,76080600.0,ns,499380
frag_iter,sparsey,,,,87227300.0,ns,505120
frag_iter,sparsey,,,,88924500.0,ns,510860
frag_iter,sparsey,,,,78945700.0,ns,516600
frag_iter,sparsey,,,,90148100.0,ns,522340
frag_iter,sparsey,,,,80618700.0,ns,528080
frag_iter,sparsey,,,,81311500.0,ns,533820
frag_iter,sparsey,,,,82473900.0,ns,539560
frag_iter,sparsey,,,,83355500.0,ns,545300
frag_iter,sparsey,,,,84204800.0,ns,551040
frag_iter,sparsey,,,,85650200.0,ns,556780
frag_iter,sparsey,,,,85731400.0,ns,562520
frag_iter,sparsey,,,,97926300.0,ns,568260
frag_iter,sparsey,,,,87543900.0,ns,574000
