group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,specs,,,,992600.0,ns,133
frag_iter,specs,,,,1984100.0,ns,266
frag_iter,specs,,,,3006400.0,ns,399
frag_iter,specs,,,,3967900.0,ns,532
frag_iter,specs,,,,4967100.0,ns,665
frag_iter,specs,,,,5972200.0,ns,798
frag_iter,specs,,,,6958700.0,ns,931
frag_iter,specs,,,,7951700.0,ns,1064
frag_iter,specs,,,,8926700.0,ns,1197
frag_iter,specs,,,,9924600.0,ns,1330
frag_iter,specs,,,,10947400.0,ns,1463
frag_iter,specs,,,,11965400.0,ns,1596
frag_iter,specs,,,,12964100.0,ns,1729
frag_iter,specs,,,,13979800.0,ns,1862
frag_iter,specs,,,,14996500.0,ns,1995
frag_iter,specs,,,,16025300.0,ns,2128
frag_iter,specs,,,,17230100.0,ns,2261
frag_iter,specs,,,,18000400.0,ns,2394
frag_iter,specs,,,,19010400.0,ns,2527
frag_iter,specs,,,,19976900.0,ns,2660
frag_iter,specs,,,,21080300.0,ns,2793
frag_iter,specs,,,,22059200.0,ns,2926
frag_iter,specs,,,,23641200.0,ns,3059
frag_iter,specs,,,,23737300.0,ns,3192
frag_iter,specs,,,,24691800.0,ns,3325
frag_iter,specs,,,,25745500.0,ns,3458
frag_iter,specs,,,,26656100.0,ns,3591
frag_iter,specs,,,,27616300.0,ns,3724
frag_iter,specs,,,,28625500.0,ns,3857
frag_iter,specs,,,,29593300.0,ns,3990
frag_iter,specs,,,,30647000.0,ns,4123
frag_iter,specs,,,,31582700.0,ns,4256
frag_iter,specs,,,,32587800.0,ns,4389
frag_iter,specs,,,,34059500.0,ns,4522
frag_iter,specs,,,,34510900.0,ns,4655
frag_iter,specs,,,,35479800.0,ns,4788
frag_iter,specs,,,,36726400.0,ns,4921
frag_iter,specs,,,,38237700.0,ns,5054
frag_iter,specs,,,,38445700.0,ns,5187
frag_iter,specs,,,,39481400.0,ns,5320
frag_iter,specs,,,,40424700.0,ns,5453
frag_iter,specs,,,,41432500.0,ns,5586
frag_iter,specs,,,,42433000.0,ns,5719
frag_iter,specs,,,,43589800.0,ns,5852
frag_iter,specs,,,,44396600.0,ns,5985
frag_iter,specs,,,,45473600.0,ns,6118
frag_iter,specs,,,,46339600.0,ns,6251
frag_iter,specs,,,,47442300.0,ns,6384
frag_iter,specs,,,,48587200.0,ns,6517
frag_iter,specs,,,,49535500.0,ns,6650
frag_iter,specs,,,,50320900.0,ns,6783
frag_iter,specs,,,,51471500.0,ns,6916
frag_iter,specs,,,,53127100.0,ns,7049
frag_iter,specs,,,,53298300.0,ns,7182
frag_iter,specs,,,,54267400.0,ns,7315
frag_iter,specs,,,,55260800.0,ns,7448
frag_iter,specs,,,,56265300.0,ns,7581
frag_iter,specs,,,,57254900.0,ns,7714
frag_iter,specs,,,,58224400.0,ns,7847
frag_iter,specs,,,,59237700.0,ns,7980
frag_iter,specs,,,,59980300.0,ns,8113
frag_iter,specs,,,,61177300.0,ns,8246
frag_iter,specs,,,,63146300.0,ns,8379
frag_iter,specs,,,,63219500.0,ns,8512
frag_iter,specs,,,,64230000.0,ns,8645
frag_iter,specs,,,,65116000.0,ns,8778
frag_iter,specs,,,,66178000.0,ns,8911
frag_iter,specs,,,,67101100.0,ns,9044
frag_iter,specs,,,,68134400.0,ns,9177
frag_iter,specs,,,,69354100.0,ns,9310
frag_iter,specs,,,,70306100.0,ns,9443
frag_iter,specs,,,,71040300.0,ns,9576
frag_iter,specs,,,,72087000.0,ns,9709
frag_iter,specs,,,,73048700.0,ns,9842
frag_iter,specs,,,,74316200.0,ns,9975
frag_iter,specs,,,,75009500.0,ns,10108
frag_iter,specs,,,,76170400.0,ns,10241
frag_iter,specs,,,,76993300.0,ns,10374
frag_iter,specs,,,,77940200.0,ns,10507
frag_iter,specs,,,,78997400.0,ns,10640
frag_iter,specs,,,,80031600.0,ns,10773
frag_iter,specs,,,,80938000.0,ns,10906
frag_iter,specs,,,,81934400.0,ns,11039
frag_iter,specs,,,,83266900.0,ns,11172
frag_iter,specs,,,,84013300.0,ns,11305
frag_iter,specs,,,,85003100.0,ns,11438
frag_iter,specs,,,,85830000.0,ns,11571
frag_iter,specs,,,,86829700.0,ns,11704
frag_iter,specs,,,,87787200.0,ns,11837
frag_iter,specs,,,,88780700.0,ns,11970
frag_iter,specs,,,,90199000.0,ns,12103
frag_iter,specs,,,,91377400.0,ns,12236
frag_iter,specs,,,,91854500.0,ns,12369
frag_iter,specs,,,,92739700.0,ns,12502
frag_iter,specs,,,,93708700.0,ns,12635
frag_iter,specs,,,,94742600.0,ns,12768
frag_iter,specs,,,,95735600.0,ns,12901
frag_iter,specs,,,,96712700.0,ns,13034
frag_iter,specs,,,,97661700.0,ns,13167
frag_iter,specs,,,,98940100.0,ns,13300
