group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
frag_iter,specs,,,,995900.0,ns,689
frag_iter,specs,,,,1969800.0,ns,1378
frag_iter,specs,,,,2975700.0,ns,2067
frag_iter,specs,,,,3969900.0,ns,2756
frag_iter,specs,,,,4987000.0,ns,3445
frag_iter,specs,,,,5938700.0,ns,4134
frag_iter,specs,,,,7061600.0,ns,4823
frag_iter,specs,,,,7929600.0,ns,5512
frag_iter,specs,,,,9039600.0,ns,6201
frag_iter,specs,,,,9883100.0,ns,6890
frag_iter,specs,,,,11232800.0,ns,7579
frag_iter,specs,,,,11979200.0,ns,8268
frag_iter,specs,,,,12885500.0,ns,8957
frag_iter,specs,,,,13879800.0,ns,9646
frag_iter,specs,,,,14873500.0,ns,10335
frag_iter,specs,,,,15907600.0,ns,11024
frag_iter,specs,,,,16921800.0,ns,11713
frag_iter,specs,,,,17834900.0,ns,12402
frag_iter,specs,,,,18895300.0,ns,13091
frag_iter,specs,,,,19776900.0,ns,13780
frag_iter,specs,,,,20849000.0,ns,14469
frag_iter,specs,,,,21868500.0,ns,15158
frag_iter,specs,,,,23367100.0,ns,15847
frag_iter,specs,,,,23811500.0,ns,16536
frag_iter,specs,,,,24834600.0,ns,17225
frag_iter,specs,,,,25781000.0,ns,17914
frag_iter,specs,,,,26758900.0,ns,18603
frag_iter,specs,,,,27799300.0,ns,19292
frag_iter,specs,,,,28776300.0,ns,19981
frag_iter,specs,,,,29878800.0,ns,20670
frag_iter,specs,,,,30748600.0,ns,21359
frag_iter,specs,,,,31767400.0,ns,22048
frag_iter,specs,,,,32701100.0,ns,22737
frag_iter,specs,,,,33735700.0,ns,23426
frag_iter,specs,,,,34666700.0,ns,24115
frag_iter,specs,,,,36920900.0,ns,24804
frag_iter,specs,,,,36694100.0,ns,25493
frag_iter,specs,,,,38662900.0,ns,26182
frag_iter,specs,,,,38762800.0,ns,26871
frag_iter,specs,,,,40669300.0,ns,27560
frag_iter,specs,,,,40707600.0,ns,28249
frag_iter,specs,,,,41769900.0,ns,28938
frag_iter,specs,,,,44101400.0,ns,29627
frag_iter,specs,,,,44031600.0,ns,30316
frag_iter,specs,,,,45783300.0,ns,31005
frag_iter,specs,,,,45622100.0,ns,31694
frag_iter,specs,,,,46722700.0,ns,32383
frag_iter,specs,,,,47602800.0,ns,33072
frag_iter,specs,,,,48636600.0,ns,33761
frag_iter,specs,,,,49703900.0,ns,34450
frag_iter,specs,,,,50543700.0,ns,35139
frag_iter,specs,,,,52754300.0,ns,35828
frag_iter,specs,,,,52667500.0,ns,36517
frag_iter,specs,,,,53563100.0,ns,37206
frag_iter,specs,,,,54721700.0,ns,37895
frag_iter,specs,,,,55505400.0,ns,38584
frag_iter,specs,,,,56671600.0,ns,39273
frag_iter,specs,,,,57775000.0,ns,39962
frag_iter,specs,,,,58831100.0,ns,40651
frag_iter,specs,,,,59587000.0,ns,41340
frag_iter,specs,,,,62158500.0,ns,42029
frag_iter,specs,,,,61618100.0,ns,42718
frag_iter,specs,,,,62787900.0,ns,43407
frag_iter,specs,,,,63792500.0,ns,44096
frag_iter,specs,,,,64545200.0,ns,44785
frag_iter,specs,,,,65517100.0,ns,45474
frag_iter,specs,,,,66550900.0,ns,46163
frag_iter,specs,,,,69261200.0,ns,46852
frag_iter,specs,,,,68672700.0,ns,47541
frag_iter,specs,,,,69492300.0,ns,48230
frag_iter,specs,,,,70477100.0,ns,48919
frag_iter,specs,,,,71458900.0,ns,49608
frag_iter,specs,,,,72488000.0,ns,50297
frag_iter,specs,,,,73476500.0,ns,50986
frag_iter,specs,,,,74494300.0,ns,51675
frag_iter,specs,,,,75504400.0,ns,52364
frag_iter,specs,,,,76743000.0,ns,53053
frag_iter,specs,,,,77412800.0,ns,53742
frag_iter,specs,,,,78523800.0,ns,54431
frag_iter,specs,,,,79525000.0,ns,55120
frag_iter,specs,,,,82748500.0,ns,55809
frag_iter,specs,,,,81243200.0,ns,56498
frag_iter,specs,,,,82458900.0,ns,57187
frag_iter,specs,,,,83360400.0,ns,57876
frag_iter,specs,,,,84378300.0,ns,58565
frag_iter,specs,,,,85397200.0,ns,59254
frag_iter,specs,,,,86377100.0,ns,59943
frag_iter,specs,,,,87579600.0,ns,60632
frag_iter,specs,,,,91602400.0,ns,61321
frag_iter,specs,,,,89357200.0,ns,62010
frag_iter,specs,,,,90353100.0,ns,62699
frag_iter,specs,,,,91365100.0,ns,63388
frag_iter,specs,,,,92216100.0,ns,64077
frag_iter,specs,,,,93448500.0,ns,64766
frag_iter,specs,,,,94285000.0,ns,65455
frag_iter,specs,,,,95289800.0,ns,66144
frag_iter,specs,,,,96240100.0,ns,66833
frag_iter,specs,,,,97268100.0,ns,67522
frag_iter,specs,,,,100732400.0,ns,68211
frag_iter,specs,,,,99793500.0,ns,68900
