group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,bevy,,,,1018400.0,ns,346
fragmented_iter,bevy,,,,2011100.0,ns,692
fragmented_iter,bevy,,,,2981400.0,ns,1038
fragmented_iter,bevy,,,,3960200.0,ns,1384
fragmented_iter,bevy,,,,4914100.0,ns,1730
fragmented_iter,bevy,,,,5971800.0,ns,2076
fragmented_iter,bevy,,,,6903300.0,ns,2422
fragmented_iter,bevy,,,,7917500.0,ns,2768
fragmented_iter,bevy,,,,8885400.0,ns,3114
fragmented_iter,bevy,,,,9842700.0,ns,3460
fragmented_iter,bevy,,,,10808700.0,ns,3806
fragmented_iter,bevy,,,,11943700.0,ns,4152
fragmented_iter,bevy,,,,12853500.0,ns,4498
fragmented_iter,bevy,,,,13897900.0,ns,4844
fragmented_iter,bevy,,,,14834800.0,ns,5190
fragmented_iter,bevy,,,,16317500.0,ns,5536
fragmented_iter,bevy,,,,16860500.0,ns,5882
fragmented_iter,bevy,,,,17958600.0,ns,6228
fragmented_iter,bevy,,,,18572900.0,ns,6574
fragmented_iter,bevy,,,,19741300.0,ns,6920
fragmented_iter,bevy,,,,20833400.0,ns,7266
fragmented_iter,bevy,,,,21652000.0,ns,7612
fragmented_iter,bevy,,,,22675200.0,ns,7958
fragmented_iter,bevy,,,,24754200.0,ns,8304
fragmented_iter,bevy,,,,24670100.0,ns,8650
fragmented_iter,bevy,,,,25424500.0,ns,8996
fragmented_iter,bevy,,,,26845000.0,ns,9342
fragmented_iter,bevy,,,,27610000.0,ns,9688
fragmented_iter,bevy,,,,28449000.0,ns,10034
fragmented_iter,bevy,,,,29547800.0,ns,10380
fragmented_iter,bevy,,,,31176500.0,ns,10726
fragmented_iter,bevy,,,,32067500.0,ns,11072
fragmented_iter,bevy,,,,32517300.0,ns,11418
fragmented_iter,bevy,,,,33502500.0,ns,11764
fragmented_iter,bevy,,,,34398500.0,ns,12110
fragmented_iter,bevy,,,,35703400.0,ns,12456
fragmented_iter,bevy,,,,36755100.0,ns,12802
fragmented_iter,bevy,,,,37829200.0,ns,13148
fragmented_iter,bevy,,,,38562800.0,ns,13494
fragmented_iter,bevy,,,,40039600.0,ns,13840
fragmented_iter,bevy,,,,41216500.0,ns,14186
fragmented_iter,bevy,,,,41800500.0,ns,14532
fragmented_iter,bevy,,,,42096400.0,ns,14878
fragmented_iter,bevy,,,,43356700.0,ns,15224
fragmented_iter,bevy,,,,44295500.0,ns,15570
fragmented_iter,bevy,,,,39493900.0,ns,15916
fragmented_iter,bevy,,,,45919200.0,ns,16262
fragmented_iter,bevy,,,,47608900.0,ns,16608
fragmented_iter,bevy,,,,48264200.0,ns,16954
fragmented_iter,bevy,,,,49719000.0,ns,17300
fragmented_iter,bevy,,,,50377300.0,ns,17646
fragmented_iter,bevy,,,,51175700.0,ns,17992
fragmented_iter,bevy,,,,53304000.0,ns,18338
fragmented_iter,bevy,,,,53673000.0,ns,18684
fragmented_iter,bevy,,,,54410900.0,ns,19030
fragmented_iter,bevy,,,,54891200.0,ns,19376
fragmented_iter,bevy,,,,56109300.0,ns,19722
fragmented_iter,bevy,,,,58425500.0,ns,20068
fragmented_iter,bevy,,,,58170100.0,ns,20414
fragmented_iter,bevy,,,,59064400.0,ns,20760
fragmented_iter,bevy,,,,61436500.0,ns,21106
fragmented_iter,bevy,,,,60935600.0,ns,21452
fragmented_iter,bevy,,,,63224200.0,ns,21798
fragmented_iter,bevy,,,,63837300.0,ns,22144
fragmented_iter,bevy,,,,64293400.0,ns,22490
fragmented_iter,bevy,,,,65391500.0,ns,22836
fragmented_iter,bevy,,,,66389400.0,ns,23182
fragmented_iter,bevy,,,,66564400.0,ns,23528
fragmented_iter,bevy,,,,69939400.0,ns,23874
fragmented_iter,bevy,,,,69067000.0,ns,24220
fragmented_iter,bevy,,,,69598800.0,ns,24566
fragmented_iter,bevy,,,,71487800.0,ns,24912
fragmented_iter,bevy,,,,73053500.0,ns,25258
fragmented_iter,bevy,,,,73895400.0,ns,25604
fragmented_iter,bevy,,,,74010000.0,ns,25950
fragmented_iter,bevy,,,,74873300.0,ns,26296
fragmented_iter,bevy,,,,78915900.0,ns,26642
fragmented_iter,bevy,,,,77657100.0,ns,26988
fragmented_iter,bevy,,,,78564200.0,ns,27334
fragmented_iter,bevy,,,,79273400.0,ns,27680
fragmented_iter,bevy,,,,80088800.0,ns,28026
fragmented_iter,bevy,,,,82002200.0,ns,28372
fragmented_iter,bevy,,,,82191000.0,ns,28718
fragmented_iter,bevy,,,,82236100.0,ns,29064
fragmented_iter,bevy,,,,84365800.0,ns,29410
fragmented_iter,bevy,,,,85462200.0,ns,29756
fragmented_iter,bevy,,,,85878500.0,ns,30102
fragmented_iter,bevy,,,,87447100.0,ns,30448
fragmented_iter,bevy,,,,88015500.0,ns,30794
fragmented_iter,bevy,,,,89101900.0,ns,31140
fragmented_iter,bevy,,,,89484900.0,ns,31486
fragmented_iter,bevy,,,,90631300.0,ns,31832
fragmented_iter,bevy,,,,91546600.0,ns,32178
fragmented_iter,bevy,,,,92776900.0,ns,32524
fragmented_iter,bevy,,,,93857900.0,ns,32870
fragmented_iter,bevy,,,,96619800.0,ns,33216
fragmented_iter,bevy,,,,98964000.0,ns,33562
fragmented_iter,bevy,,,,98126800.0,ns,33908
fragmented_iter,bevy,,,,100338900.0,ns,34254
fragmented_iter,bevy,,,,100554000.0,ns,34600
