group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,legion,,,,996700.0,ns,1488
fragmented_iter,legion,,,,1987900.0,ns,2976
fragmented_iter,legion,,,,2949000.0,ns,4464
fragmented_iter,legion,,,,3957100.0,ns,5952
fragmented_iter,legion,,,,4957300.0,ns,7440
fragmented_iter,legion,,,,5871200.0,ns,8928
fragmented_iter,legion,,,,6900800.0,ns,10416
fragmented_iter,legion,,,,7818700.0,ns,11904
fragmented_iter,legion,,,,8845700.0,ns,13392
fragmented_iter,legion,,,,9749800.0,ns,14880
fragmented_iter,legion,,,,10830100.0,ns,16368
fragmented_iter,legion,,,,11789400.0,ns,17856
fragmented_iter,legion,,,,12678800.0,ns,19344
fragmented_iter,legion,,,,13702600.0,ns,20832
fragmented_iter,legion,,,,14800100.0,ns,22320
fragmented_iter,legion,,,,15803900.0,ns,23808
fragmented_iter,legion,,,,16750700.0,ns,25296
fragmented_iter,legion,,,,17703100.0,ns,26784
fragmented_iter,legion,,,,18633500.0,ns,28272
fragmented_iter,legion,,,,19595700.0,ns,29760
fragmented_iter,legion,,,,20517100.0,ns,31248
fragmented_iter,legion,,,,21559400.0,ns,32736
fragmented_iter,legion,,,,22613800.0,ns,34224
fragmented_iter,legion,,,,23592000.0,ns,35712
fragmented_iter,legion,,,,24434300.0,ns,37200
fragmented_iter,legion,,,,25650200.0,ns,38688
fragmented_iter,legion,,,,26586700.0,ns,40176
fragmented_iter,legion,,,,27265700.0,ns,41664
fragmented_iter,legion,,,,28365800.0,ns,43152
fragmented_iter,legion,,,,29502700.0,ns,44640
fragmented_iter,legion,,,,30200500.0,ns,46128
fragmented_iter,legion,,,,31434700.0,ns,47616
fragmented_iter,legion,,,,32358400.0,ns,49104
fragmented_iter,legion,,,,33455500.0,ns,50592
fragmented_iter,legion,,,,34317200.0,ns,52080
fragmented_iter,legion,,,,35296900.0,ns,53568
fragmented_iter,legion,,,,36233800.0,ns,55056
fragmented_iter,legion,,,,37272700.0,ns,56544
fragmented_iter,legion,,,,38260800.0,ns,58032
fragmented_iter,legion,,,,39495000.0,ns,59520
fragmented_iter,legion,,,,40221700.0,ns,61008
fragmented_iter,legion,,,,41183000.0,ns,62496
fragmented_iter,legion,,,,42088100.0,ns,63984
fragmented_iter,legion,,,,43281700.0,ns,65472
fragmented_iter,legion,,,,44170000.0,ns,66960
fragmented_iter,legion,,,,44963400.0,ns,68448
fragmented_iter,legion,,,,46112900.0,ns,69936
fragmented_iter,legion,,,,46909300.0,ns,71424
fragmented_iter,legion,,,,48024100.0,ns,72912
fragmented_iter,legion,,,,49003700.0,ns,74400
fragmented_iter,legion,,,,50334700.0,ns,75888
fragmented_iter,legion,,,,50987500.0,ns,77376
fragmented_iter,legion,,,,51905800.0,ns,78864
fragmented_iter,legion,,,,53046300.0,ns,80352
fragmented_iter,legion,,,,53905100.0,ns,81840
fragmented_iter,legion,,,,55118800.0,ns,83328
fragmented_iter,legion,,,,55928700.0,ns,84816
fragmented_iter,legion,,,,56708100.0,ns,86304
fragmented_iter,legion,,,,57999000.0,ns,87792
fragmented_iter,legion,,,,58401700.0,ns,89280
fragmented_iter,legion,,,,59852800.0,ns,90768
fragmented_iter,legion,,,,60837100.0,ns,92256
fragmented_iter,legion,,,,61469200.0,ns,93744
fragmented_iter,legion,,,,62767400.0,ns,95232
fragmented_iter,legion,,,,63822800.0,ns,96720
fragmented_iter,legion,,,,64690800.0,ns,98208
fragmented_iter,legion,,,,65701900.0,ns,99696
fragmented_iter,legion,,,,66833700.0,ns,101184
fragmented_iter,legion,,,,67671000.0,ns,102672
fragmented_iter,legion,,,,68568500.0,ns,104160
fragmented_iter,legion,,,,69799200.0,ns,105648
fragmented_iter,legion,,,,70721700.0,ns,107136
fragmented_iter,legion,,,,71714000.0,ns,108624
fragmented_iter,legion,,,,72523500.0,ns,110112
fragmented_iter,legion,,,,73446000.0,ns,111600
fragmented_iter,legion,,,,74533200.0,ns,113088
fragmented_iter,legion,,,,75368300.0,ns,114576
fragmented_iter,legion,,,,76340600.0,ns,116064
fragmented_iter,legion,,,,77398100.0,ns,117552
fragmented_iter,legion,,,,78627900.0,ns,119040
fragmented_iter,legion,,,,80172100.0,ns,120528
fragmented_iter,legion,,,,80491700.0,ns,122016
fragmented_iter,legion,,,,81148300.0,ns,123504
fragmented_iter,legion,,,,82110600.0,ns,124992
fragmented_iter,legion,,,,83567100.0,ns,126480
fragmented_iter,legion,,,,84414600.0,ns,127968
fragmented_iter,legion,,,,85736900.0,ns,129456
fragmented_iter,legion,,,,86419900.0,ns,130944
fragmented_iter,legion,,,,87253900.0,ns,132432
fragmented_iter,legion,,,,88169300.0,ns,133920
fragmented_iter,legion,,,,90051300.0,ns,135408
fragmented_iter,legion,,,,90035200.0,ns,136896
fragmented_iter,legion,,,,92690000.0,ns,138384
fragmented_iter,legion,,,,92220300.0,ns,139872
fragmented_iter,legion,,,,93122100.0,ns,141360
fragmented_iter,legion,,,,94841300.0,ns,142848
fragmented_iter,legion,,,,95042100.0,ns,144336
fragmented_iter,legion,,,,96139500.0,ns,145824
fragmented_iter,legion,,,,97071800.0,ns,147312
fragmented_iter,legion,,,,97735300.0,ns,148800
