group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,planck_ecs,,,,987600.0,ns,1426
fragmented_iter,planck_ecs,,,,1987900.0,ns,2852
fragmented_iter,planck_ecs,,,,2974900.0,ns,4278
fragmented_iter,planck_ecs,,,,4277900.0,ns,5704
fragmented_iter,planck_ecs,,,,4946600.0,ns,7130
fragmented_iter,planck_ecs,,,,5993400.0,ns,8556
fragmented_iter,planck_ecs,,,,6927800.0,ns,9982
fragmented_iter,planck_ecs,,,,7953700.0,ns,11408
fragmented_iter,planck_ecs,,,,8897600.0,ns,12834
fragmented_iter,planck_ecs,,,,11123600.0,ns,14260
fragmented_iter,planck_ecs,,,,11745200.0,ns,15686
fragmented_iter,planck_ecs,,,,12954700.0,ns,17112
fragmented_iter,planck_ecs,,,,13063500.0,ns,18538
fragmented_iter,planck_ecs,,,,16574500.0,ns,19964
fragmented_iter,planck_ecs,,,,14797200.0,ns,21390
fragmented_iter,planck_ecs,,,,15783100.0,ns,22816
fragmented_iter,planck_ecs,,,,16773900.0,ns,24242
fragmented_iter,planck_ecs,,,,17985400.0,ns,25668
fragmented_iter,planck_ecs,,,,18925600.0,ns,27094
fragmented_iter,planck_ecs,,,,19919700.0,ns,28520
fragmented_iter,planck_ecs,,,,21063600.0,ns,29946
fragmented_iter,planck_ecs,,,,21704500.0,ns,31372
fragmented_iter,planck_ecs,,,,22704000.0,ns,32798
fragmented_iter,planck_ecs,,,,23676800.0,ns,34224
fragmented_iter,planck_ecs,,,,24659300.0,ns,35650
fragmented_iter,planck_ecs,,,,25617800.0,ns,37076
fragmented_iter,planck_ecs,,,,29064000.0,ns,38502
fragmented_iter,planck_ecs,,,,27603700.0,ns,39928
fragmented_iter,planck_ecs,,,,28659700.0,ns,41354
fragmented_iter,planck_ecs,,,,29619500.0,ns,42780
fragmented_iter,planck_ecs,,,,30586500.0,ns,44206
fragmented_iter,planck_ecs,,,,31548900.0,ns,45632
fragmented_iter,planck_ecs,,,,32513900.0,ns,47058
fragmented_iter,planck_ecs,,,,33726000.0,ns,48484
fragmented_iter,planck_ecs,,,,34520700.0,ns,49910
fragmented_iter,planck_ecs,,,,35546700.0,ns,51336
fragmented_iter,planck_ecs,,,,36469300.0,ns,52762
fragmented_iter,planck_ecs,,,,37488400.0,ns,54188
fragmented_iter,planck_ecs,,,,38839700.0,ns,55614
fragmented_iter,planck_ecs,,,,39400200.0,ns,57040
fragmented_iter,planck_ecs,,,,40629600.0,ns,58466
fragmented_iter,planck_ecs,,,,41546400.0,ns,59892
fragmented_iter,planck_ecs,,,,42639300.0,ns,61318
fragmented_iter,planck_ecs,,,,43361600.0,ns,62744
fragmented_iter,planck_ecs,,,,44356200.0,ns,64170
fragmented_iter,planck_ecs,,,,45607600.0,ns,65596
fragmented_iter,planck_ecs,,,,46707000.0,ns,67022
fragmented_iter,planck_ecs,,,,47325000.0,ns,68448
fragmented_iter,planck_ecs,,,,48350100.0,ns,69874
fragmented_iter,planck_ecs,,,,49364600.0,ns,71300
fragmented_iter,planck_ecs,,,,50329900.0,ns,72726
fragmented_iter,planck_ecs,,,,51908900.0,ns,74152
fragmented_iter,planck_ecs,,,,52253600.0,ns,75578
fragmented_iter,planck_ecs,,,,53650200.0,ns,77004
fragmented_iter,planck_ecs,,,,54272000.0,ns,78430
fragmented_iter,planck_ecs,,,,55409700.0,ns,79856
fragmented_iter,planck_ecs,,,,56384900.0,ns,81282
fragmented_iter,planck_ecs,,,,57171000.0,ns,82708
fragmented_iter,planck_ecs,,,,58423400.0,ns,84134
