group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fragmented_iter,specs,,,,1016200.0,ns,643
fragmented_iter,specs,,,,2000200.0,ns,1286
fragmented_iter,specs,,,,2977800.0,ns,1929
fragmented_iter,specs,,,,3982800.0,ns,2572
fragmented_iter,specs,,,,5044700.0,ns,3215
fragmented_iter,specs,,,,5976400.0,ns,3858
fragmented_iter,specs,,,,6961700.0,ns,4501
fragmented_iter,specs,,,,7979400.0,ns,5144
fragmented_iter,specs,,,,8970500.0,ns,5787
fragmented_iter,specs,,,,9929700.0,ns,6430
fragmented_iter,specs,,,,10983200.0,ns,7073
fragmented_iter,specs,,,,11948300.0,ns,7716
fragmented_iter,specs,,,,12933600.0,ns,8359
fragmented_iter,specs,,,,13954100.0,ns,9002
fragmented_iter,specs,,,,14957100.0,ns,9645
fragmented_iter,specs,,,,15958100.0,ns,10288
fragmented_iter,specs,,,,16916300.0,ns,10931
fragmented_iter,specs,,,,17953300.0,ns,11574
fragmented_iter,specs,,,,18929000.0,ns,12217
fragmented_iter,specs,,,,19892400.0,ns,12860
fragmented_iter,specs,,,,20900300.0,ns,13503
fragmented_iter,specs,,,,22616900.0,ns,14146
fragmented_iter,specs,,,,22906900.0,ns,14789
fragmented_iter,specs,,,,23922200.0,ns,15432
fragmented_iter,specs,,,,24884300.0,ns,16075
fragmented_iter,specs,,,,25899000.0,ns,16718
fragmented_iter,specs,,,,26915000.0,ns,17361
fragmented_iter,specs,,,,27850100.0,ns,18004
fragmented_iter,specs,,,,28867500.0,ns,18647
fragmented_iter,specs,,,,29900400.0,ns,19290
fragmented_iter,specs,,,,30948900.0,ns,19933
fragmented_iter,specs,,,,32681300.0,ns,20576
fragmented_iter,specs,,,,32839400.0,ns,21219
fragmented_iter,specs,,,,33827700.0,ns,21862
fragmented_iter,specs,,,,34857000.0,ns,22505
fragmented_iter,specs,,,,35811900.0,ns,23148
fragmented_iter,specs,,,,36841600.0,ns,23791
fragmented_iter,specs,,,,37836100.0,ns,24434
fragmented_iter,specs,,,,38849100.0,ns,25077
fragmented_iter,specs,,,,39876400.0,ns,25720
fragmented_iter,specs,,,,40866800.0,ns,26363
fragmented_iter,specs,,,,42204900.0,ns,27006
fragmented_iter,specs,,,,42876800.0,ns,27649
fragmented_iter,specs,,,,44836900.0,ns,28292
fragmented_iter,specs,,,,44829800.0,ns,28935
fragmented_iter,specs,,,,45757900.0,ns,29578
fragmented_iter,specs,,,,46799400.0,ns,30221
fragmented_iter,specs,,,,49115100.0,ns,30864
fragmented_iter,specs,,,,48854900.0,ns,31507
fragmented_iter,specs,,,,50089000.0,ns,32150
fragmented_iter,specs,,,,50561400.0,ns,32793
fragmented_iter,specs,,,,51474300.0,ns,33436
fragmented_iter,specs,,,,52667000.0,ns,34079
fragmented_iter,specs,,,,53439300.0,ns,34722
fragmented_iter,specs,,,,54427800.0,ns,35365
fragmented_iter,specs,,,,55426900.0,ns,36008
fragmented_iter,specs,,,,56451300.0,ns,36651
fragmented_iter,specs,,,,57523200.0,ns,37294
fragmented_iter,specs,,,,58430700.0,ns,37937
fragmented_iter,specs,,,,59488800.0,ns,38580
fragmented_iter,specs,,,,62107200.0,ns,39223
fragmented_iter,specs,,,,61426100.0,ns,39866
fragmented_iter,specs,,,,62392700.0,ns,40509
fragmented_iter,specs,,,,63381500.0,ns,41152
fragmented_iter,specs,,,,64360100.0,ns,41795
fragmented_iter,specs,,,,65416100.0,ns,42438
fragmented_iter,specs,,,,66429100.0,ns,43081
fragmented_iter,specs,,,,67280500.0,ns,43724
fragmented_iter,specs,,,,68443400.0,ns,44367
fragmented_iter,specs,,,,69296500.0,ns,45010
fragmented_iter,specs,,,,70208200.0,ns,45653
fragmented_iter,specs,,,,71241600.0,ns,46296
fragmented_iter,specs,,,,72247100.0,ns,46939
fragmented_iter,specs,,,,73353500.0,ns,47582
fragmented_iter,specs,,,,74563800.0,ns,48225
fragmented_iter,specs,,,,75421900.0,ns,48868
fragmented_iter,specs,,,,76275300.0,ns,49511
fragmented_iter,specs,,,,77381500.0,ns,50154
fragmented_iter,specs,,,,78197100.0,ns,50797
fragmented_iter,specs,,,,79380500.0,ns,51440
fragmented_iter,specs,,,,80491200.0,ns,52083
fragmented_iter,specs,,,,81182600.0,ns,52726
fragmented_iter,specs,,,,84450600.0,ns,53369
fragmented_iter,specs,,,,83278800.0,ns,54012
fragmented_iter,specs,,,,84273600.0,ns,54655
fragmented_iter,specs,,,,87446500.0,ns,55298
fragmented_iter,specs,,,,86217900.0,ns,55941
fragmented_iter,specs,,,,87862300.0,ns,56584
fragmented_iter,specs,,,,88197400.0,ns,57227
fragmented_iter,specs,,,,89164000.0,ns,57870
fragmented_iter,specs,,,,90063200.0,ns,58513
fragmented_iter,specs,,,,91236400.0,ns,59156
fragmented_iter,specs,,,,92157200.0,ns,59799
fragmented_iter,specs,,,,93088200.0,ns,60442
fragmented_iter,specs,,,,96681800.0,ns,61085
fragmented_iter,specs,,,,94983800.0,ns,61728
fragmented_iter,specs,,,,96164500.0,ns,62371
fragmented_iter,specs,,,,97223000.0,ns,63014
fragmented_iter,specs,,,,98163100.0,ns,63657
fragmented_iter,specs,,,,101807600.0,ns,64300
