group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,50840700.0,ns,23
heavy_compute,bevy,,,,49847600.0,ns,23
heavy_compute,bevy,,,,50536500.0,ns,23
heavy_compute,bevy,,,,51266100.0,ns,23
heavy_compute,bevy,,,,51274400.0,ns,23
heavy_compute,bevy,,,,51014700.0,ns,23
heavy_compute,bevy,,,,50786600.0,ns,23
heavy_compute,bevy,,,,51323800.0,ns,23
heavy_compute,bevy,,,,50578000.0,ns,23
heavy_compute,bevy,,,,51536900.0,ns,23
heavy_compute,bevy,,,,51885700.0,ns,23
heavy_compute,bevy,,,,57193900.0,ns,23
heavy_compute,bevy,,,,58535500.0,ns,23
heavy_compute,bevy,,,,50675400.0,ns,23
heavy_compute,bevy,,,,50629700.0,ns,23
heavy_compute,bevy,,,,50016700.0,ns,23
heavy_compute,bevy,,,,50992200.0,ns,23
heavy_compute,bevy,,,,50594600.0,ns,23
heavy_compute,bevy,,,,50244100.0,ns,23
heavy_compute,bevy,,,,50942900.0,ns,23
heavy_compute,bevy,,,,50543700.0,ns,23
heavy_compute,bevy,,,,50850000.0,ns,23
heavy_compute,bevy,,,,50457300.0,ns,23
heavy_compute,bevy,,,,50611100.0,ns,23
heavy_compute,bevy,,,,50636900.0,ns,23
heavy_compute,bevy,,,,50617500.0,ns,23
heavy_compute,bevy,,,,50271900.0,ns,23
heavy_compute,bevy,,,,51595600.0,ns,23
heavy_compute,bevy,,,,51426700.0,ns,23
heavy_compute,bevy,,,,50850500.0,ns,23
heavy_compute,bevy,,,,53687800.0,ns,23
heavy_compute,bevy,,,,60415900.0,ns,23
heavy_compute,bevy,,,,52084900.0,ns,23
heavy_compute,bevy,,,,50837600.0,ns,23
heavy_compute,bevy,,,,50035600.0,ns,23
heavy_compute,bevy,,,,51732100.0,ns,23
heavy_compute,bevy,,,,52126500.0,ns,23
heavy_compute,bevy,,,,50508800.0,ns,23
heavy_compute,bevy,,,,50692600.0,ns,23
heavy_compute,bevy,,,,52091600.0,ns,23
heavy_compute,bevy,,,,50865600.0,ns,23
heavy_compute,bevy,,,,50313700.0,ns,23
heavy_compute,bevy,,,,52029300.0,ns,23
heavy_compute,bevy,,,,52006800.0,ns,23
heavy_compute,bevy,,,,52206100.0,ns,23
heavy_compute,bevy,,,,51354200.0,ns,23
heavy_compute,bevy,,,,51121200.0,ns,23
heavy_compute,bevy,,,,50694900.0,ns,23
heavy_compute,bevy,,,,50975000.0,ns,23
heavy_compute,bevy,,,,50678100.0,ns,23
heavy_compute,bevy,,,,60482500.0,ns,23
heavy_compute,bevy,,,,53703600.0,ns,23
heavy_compute,bevy,,,,50574100.0,ns,23
heavy_compute,bevy,,,,50885900.0,ns,23
heavy_compute,bevy,,,,50565500.0,ns,23
heavy_compute,bevy,,,,50292800.0,ns,23
heavy_compute,bevy,,,,50341600.0,ns,23
heavy_compute,bevy,,,,50497400.0,ns,23
heavy_compute,bevy,,,,49910800.0,ns,23
heavy_compute,bevy,,,,50416000.0,ns,23
heavy_compute,bevy,,,,49904400.0,ns,23
heavy_compute,bevy,,,,49736000.0,ns,23
heavy_compute,bevy,,,,51405200.0,ns,23
heavy_compute,bevy,,,,50591600.0,ns,23
heavy_compute,bevy,,,,50648400.0,ns,23
heavy_compute,bevy,,,,51129200.0,ns,23
heavy_compute,bevy,,,,51039600.0,ns,23
heavy_compute,bevy,,,,50810700.0,ns,23
heavy_compute,bevy,,,,51142500.0,ns,23
heavy_compute,bevy,,,,57023300.0,ns,23
heavy_compute,bevy,,,,60833300.0,ns,23
heavy_compute,bevy,,,,50868600.0,ns,23
heavy_compute,bevy,,,,50667500.0,ns,23
heavy_compute,bevy,,,,50133600.0,ns,23
heavy_compute,bevy,,,,51010100.0,ns,23
heavy_compute,bevy,,,,50435600.0,ns,23
heavy_compute,bevy,,,,50166100.0,ns,23
heavy_compute,bevy,,,,50222500.0,ns,23
heavy_compute,bevy,,,,49539600.0,ns,23
heavy_compute,bevy,,,,50784100.0,ns,23
heavy_compute,bevy,,,,50146100.0,ns,23
heavy_compute,bevy,,,,49211500.0,ns,23
heavy_compute,bevy,,,,50975900.0,ns,23
heavy_compute,bevy,,,,50419900.0,ns,23
heavy_compute,bevy,,,,50612800.0,ns,23
heavy_compute,bevy,,,,50763300.0,ns,23
heavy_compute,bevy,,,,51232600.0,ns,23
heavy_compute,bevy,,,,52495900.0,ns,23
heavy_compute,bevy,,,,51390500.0,ns,23
heavy_compute,bevy,,,,60339600.0,ns,23
heavy_compute,bevy,,,,53985800.0,ns,23
heavy_compute,bevy,,,,50431600.0,ns,23
heavy_compute,bevy,,,,50360000.0,ns,23
heavy_compute,bevy,,,,50016200.0,ns,23
heavy_compute,bevy,,,,50583800.0,ns,23
heavy_compute,bevy,,,,52422000.0,ns,23
heavy_compute,bevy,,,,51677900.0,ns,23
heavy_compute,bevy,,,,49699800.0,ns,23
heavy_compute,bevy,,,,49799100.0,ns,23
heavy_compute,bevy,,,,51209300.0,ns,23
