group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,bevy,,,,52447200.0,ns,23
heavy_compute,bevy,,,,51679900.0,ns,23
heavy_compute,bevy,,,,51897900.0,ns,23
heavy_compute,bevy,,,,51477800.0,ns,23
heavy_compute,bevy,,,,51571000.0,ns,23
heavy_compute,bevy,,,,50340600.0,ns,23
heavy_compute,bevy,,,,52358600.0,ns,23
heavy_compute,bevy,,,,54316900.0,ns,23
heavy_compute,bevy,,,,60724400.0,ns,23
heavy_compute,bevy,,,,52852000.0,ns,23
heavy_compute,bevy,,,,51182700.0,ns,23
heavy_compute,bevy,,,,50408100.0,ns,23
heavy_compute,bevy,,,,50137100.0,ns,23
heavy_compute,bevy,,,,50112900.0,ns,23
heavy_compute,bevy,,,,51908000.0,ns,23
heavy_compute,bevy,,,,51822700.0,ns,23
heavy_compute,bevy,,,,50073800.0,ns,23
heavy_compute,bevy,,,,50351600.0,ns,23
heavy_compute,bevy,,,,50430000.0,ns,23
heavy_compute,bevy,,,,50261500.0,ns,23
heavy_compute,bevy,,,,49809300.0,ns,23
heavy_compute,bevy,,,,51520700.0,ns,23
heavy_compute,bevy,,,,50584500.0,ns,23
heavy_compute,bevy,,,,50594700.0,ns,23
heavy_compute,bevy,,,,50818000.0,ns,23
heavy_compute,bevy,,,,50333200.0,ns,23
heavy_compute,bevy,,,,50283100.0,ns,23
heavy_compute,bevy,,,,58671300.0,ns,23
heavy_compute,bevy,,,,57420600.0,ns,23
heavy_compute,bevy,,,,51354500.0,ns,23
heavy_compute,bevy,,,,50957200.0,ns,23
heavy_compute,bevy,,,,50264700.0,ns,23
heavy_compute,bevy,,,,51120900.0,ns,23
heavy_compute,bevy,,,,50908000.0,ns,23
heavy_compute,bevy,,,,49980900.0,ns,23
heavy_compute,bevy,,,,50373200.0,ns,23
heavy_compute,bevy,,,,51003200.0,ns,23
heavy_compute,bevy,,,,49934400.0,ns,23
heavy_compute,bevy,,,,50136600.0,ns,23
heavy_compute,bevy,,,,50081500.0,ns,23
heavy_compute,bevy,,,,51154100.0,ns,23
heavy_compute,bevy,,,,50911100.0,ns,23
heavy_compute,bevy,,,,52508700.0,ns,23
heavy_compute,bevy,,,,51210100.0,ns,23
heavy_compute,bevy,,,,50569700.0,ns,23
heavy_compute,bevy,,,,50237500.0,ns,23
heavy_compute,bevy,,,,55755700.0,ns,23
heavy_compute,bevy,,,,60316600.0,ns,23
heavy_compute,bevy,,,,52674900.0,ns,23
heavy_compute,bevy,,,,50858200.0,ns,23
heavy_compute,bevy,,,,50519500.0,ns,23
heavy_compute,bevy,,,,50364900.0,ns,23
heavy_compute,bevy,,,,50605600.0,ns,23
heavy_compute,bevy,,,,49733700.0,ns,23
heavy_compute,bevy,,,,50775900.0,ns,23
heavy_compute,bevy,,,,50107400.0,ns,23
heavy_compute,bevy,,,,48848400.0,ns,23
heavy_compute,bevy,,,,51601700.0,ns,23
heavy_compute,bevy,,,,52478400.0,ns,23
heavy_compute,bevy,,,,50123800.0,ns,23
heavy_compute,bevy,,,,51034300.0,ns,23
heavy_compute,bevy,,,,52817500.0,ns,23
heavy_compute,bevy,,,,51483000.0,ns,23
heavy_compute,bevy,,,,51416500.0,ns,23
heavy_compute,bevy,,,,52451700.0,ns,23
heavy_compute,bevy,,,,53358500.0,ns,23
heavy_compute,bevy,,,,61269700.0,ns,23
heavy_compute,bevy,,,,56520800.0,ns,23
heavy_compute,bevy,,,,50804200.0,ns,23
heavy_compute,bevy,,,,50616100.0,ns,23
heavy_compute,bevy,,,,50385400.0,ns,23
heavy_compute,bevy,,,,50181900.0,ns,23
heavy_compute,bevy,,,,50215100.0,ns,23
heavy_compute,bevy,,,,50549500.0,ns,23
heavy_compute,bevy,,,,50937300.0,ns,23
heavy_compute,bevy,,,,49977600.0,ns,23
heavy_compute,bevy,,,,51333400.0,ns,23
heavy_compute,bevy,,,,52271800.0,ns,23
heavy_compute,bevy,,,,50021200.0,ns,23
heavy_compute,bevy,,,,50413000.0,ns,23
heavy_compute,bevy,,,,50638400.0,ns,23
heavy_compute,bevy,,,,50179000.0,ns,23
heavy_compute,bevy,,,,50493300.0,ns,23
heavy_compute,bevy,,,,51281800.0,ns,23
heavy_compute,bevy,,,,50437900.0,ns,23
heavy_compute,bevy,,,,59405300.0,ns,23
heavy_compute,bevy,,,,56988400.0,ns,23
heavy_compute,bevy,,,,50367500.0,ns,23
heavy_compute,bevy,,,,50454400.0,ns,23
heavy_compute,bevy,,,,51180700.0,ns,23
heavy_compute,bevy,,,,50428600.0,ns,23
heavy_compute,bevy,,,,49753100.0,ns,23
heavy_compute,bevy,,,,50083300.0,ns,23
heavy_compute,bevy,,,,50483500.0,ns,23
heavy_compute,bevy,,,,50053700.0,ns,23
heavy_compute,bevy,,,,51382800.0,ns,23
heavy_compute,bevy,,,,49571700.0,ns,23
heavy_compute,bevy,,,,50846600.0,ns,23
heavy_compute,bevy,,,,52161200.0,ns,23
heavy_compute,bevy,,,,51814000.0,ns,23
