group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1046400.0,ns,2
heavy_compute,hecs,,,,2072300.0,ns,4
heavy_compute,hecs,,,,3023400.0,ns,6
heavy_compute,hecs,,,,4277000.0,ns,8
heavy_compute,hecs,,,,5404700.0,ns,10
heavy_compute,hecs,,,,6169100.0,ns,12
heavy_compute,hecs,,,,7210100.0,ns,14
heavy_compute,hecs,,,,8072600.0,ns,16
heavy_compute,hecs,,,,9120200.0,ns,18
heavy_compute,hecs,,,,10647400.0,ns,20
heavy_compute,hecs,,,,11288700.0,ns,22
heavy_compute,hecs,,,,12149800.0,ns,24
heavy_compute,hecs,,,,13266000.0,ns,26
heavy_compute,hecs,,,,14212300.0,ns,28
heavy_compute,hecs,,,,15278600.0,ns,30
heavy_compute,hecs,,,,16597000.0,ns,32
heavy_compute,hecs,,,,17340400.0,ns,34
heavy_compute,hecs,,,,18270000.0,ns,36
heavy_compute,hecs,,,,19283800.0,ns,38
heavy_compute,hecs,,,,20572400.0,ns,40
heavy_compute,hecs,,,,21329000.0,ns,42
heavy_compute,hecs,,,,22237900.0,ns,44
heavy_compute,hecs,,,,23621100.0,ns,46
heavy_compute,hecs,,,,25049600.0,ns,48
heavy_compute,hecs,,,,25562900.0,ns,50
heavy_compute,hecs,,,,26771200.0,ns,52
heavy_compute,hecs,,,,28195500.0,ns,54
heavy_compute,hecs,,,,28576300.0,ns,56
heavy_compute,hecs,,,,29104900.0,ns,58
heavy_compute,hecs,,,,30903000.0,ns,60
heavy_compute,hecs,,,,31616100.0,ns,62
heavy_compute,hecs,,,,32839900.0,ns,64
heavy_compute,hecs,,,,33298600.0,ns,66
heavy_compute,hecs,,,,34930100.0,ns,68
heavy_compute,hecs,,,,35625600.0,ns,70
heavy_compute,hecs,,,,36469900.0,ns,72
heavy_compute,hecs,,,,37890400.0,ns,74
heavy_compute,hecs,,,,38742100.0,ns,76
heavy_compute,hecs,,,,39536800.0,ns,78
heavy_compute,hecs,,,,40829000.0,ns,80
heavy_compute,hecs,,,,42100100.0,ns,82
heavy_compute,hecs,,,,42655300.0,ns,84
heavy_compute,hecs,,,,43785600.0,ns,86
heavy_compute,hecs,,,,44826500.0,ns,88
heavy_compute,hecs,,,,45664500.0,ns,90
heavy_compute,hecs,,,,46548500.0,ns,92
heavy_compute,hecs,,,,48122300.0,ns,94
heavy_compute,hecs,,,,48890800.0,ns,96
heavy_compute,hecs,,,,49989100.0,ns,98
heavy_compute,hecs,,,,51106900.0,ns,100
heavy_compute,hecs,,,,52178700.0,ns,102
heavy_compute,hecs,,,,53113300.0,ns,104
heavy_compute,hecs,,,,54248200.0,ns,106
heavy_compute,hecs,,,,55184500.0,ns,108
heavy_compute,hecs,,,,56296900.0,ns,110
heavy_compute,hecs,,,,57372600.0,ns,112
heavy_compute,hecs,,,,58066100.0,ns,114
heavy_compute,hecs,,,,58691100.0,ns,116
heavy_compute,hecs,,,,60166400.0,ns,118
heavy_compute,hecs,,,,61497700.0,ns,120
heavy_compute,hecs,,,,62399100.0,ns,122
heavy_compute,hecs,,,,62966000.0,ns,124
heavy_compute,hecs,,,,64257400.0,ns,126
heavy_compute,hecs,,,,65933800.0,ns,128
heavy_compute,hecs,,,,66016600.0,ns,130
heavy_compute,hecs,,,,67687100.0,ns,132
heavy_compute,hecs,,,,69207600.0,ns,134
heavy_compute,hecs,,,,69295600.0,ns,136
heavy_compute,hecs,,,,71544900.0,ns,138
heavy_compute,hecs,,,,71123300.0,ns,140
heavy_compute,hecs,,,,72688600.0,ns,142
heavy_compute,hecs,,,,72804900.0,ns,144
heavy_compute,hecs,,,,74500700.0,ns,146
heavy_compute,hecs,,,,75012100.0,ns,148
heavy_compute,hecs,,,,76154500.0,ns,150
heavy_compute,hecs,,,,78603700.0,ns,152
heavy_compute,hecs,,,,78557500.0,ns,154
heavy_compute,hecs,,,,79861300.0,ns,156
heavy_compute,hecs,,,,80607300.0,ns,158
heavy_compute,hecs,,,,81591800.0,ns,160
heavy_compute,hecs,,,,82751300.0,ns,162
heavy_compute,hecs,,,,84264100.0,ns,164
heavy_compute,hecs,,,,84748300.0,ns,166
heavy_compute,hecs,,,,86107200.0,ns,168
heavy_compute,hecs,,,,87214500.0,ns,170
heavy_compute,hecs,,,,87442600.0,ns,172
heavy_compute,hecs,,,,88999100.0,ns,174
heavy_compute,hecs,,,,89791500.0,ns,176
heavy_compute,hecs,,,,90217500.0,ns,178
heavy_compute,hecs,,,,92138000.0,ns,180
heavy_compute,hecs,,,,93128300.0,ns,182
heavy_compute,hecs,,,,94333100.0,ns,184
heavy_compute,hecs,,,,95125800.0,ns,186
heavy_compute,hecs,,,,96332300.0,ns,188
heavy_compute,hecs,,,,97296700.0,ns,190
heavy_compute,hecs,,,,98331600.0,ns,192
heavy_compute,hecs,,,,99216900.0,ns,194
heavy_compute,hecs,,,,101008100.0,ns,196
heavy_compute,hecs,,,,100911300.0,ns,198
heavy_compute,hecs,,,,102178700.0,ns,200
