group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,hecs,,,,1035600.0,ns,2
heavy_compute,hecs,,,,2057800.0,ns,4
heavy_compute,hecs,,,,3272800.0,ns,6
heavy_compute,hecs,,,,4113800.0,ns,8
heavy_compute,hecs,,,,5007200.0,ns,10
heavy_compute,hecs,,,,6238300.0,ns,12
heavy_compute,hecs,,,,7108200.0,ns,14
heavy_compute,hecs,,,,8169000.0,ns,16
heavy_compute,hecs,,,,9077900.0,ns,18
heavy_compute,hecs,,,,10257200.0,ns,20
heavy_compute,hecs,,,,11175100.0,ns,22
heavy_compute,hecs,,,,12323100.0,ns,24
heavy_compute,hecs,,,,13159200.0,ns,26
heavy_compute,hecs,,,,14394200.0,ns,28
heavy_compute,hecs,,,,15161200.0,ns,30
heavy_compute,hecs,,,,16205700.0,ns,32
heavy_compute,hecs,,,,17343700.0,ns,34
heavy_compute,hecs,,,,18203600.0,ns,36
heavy_compute,hecs,,,,19514400.0,ns,38
heavy_compute,hecs,,,,20334500.0,ns,40
heavy_compute,hecs,,,,21651100.0,ns,42
heavy_compute,hecs,,,,22757100.0,ns,44
heavy_compute,hecs,,,,23308000.0,ns,46
heavy_compute,hecs,,,,24393100.0,ns,48
heavy_compute,hecs,,,,25373800.0,ns,50
heavy_compute,hecs,,,,27187000.0,ns,52
heavy_compute,hecs,,,,27594400.0,ns,54
heavy_compute,hecs,,,,28576100.0,ns,56
heavy_compute,hecs,,,,29667700.0,ns,58
heavy_compute,hecs,,,,30394200.0,ns,60
heavy_compute,hecs,,,,31547700.0,ns,62
heavy_compute,hecs,,,,32562200.0,ns,64
heavy_compute,hecs,,,,34088400.0,ns,66
heavy_compute,hecs,,,,35057900.0,ns,68
heavy_compute,hecs,,,,41114100.0,ns,70
heavy_compute,hecs,,,,38029200.0,ns,72
heavy_compute,hecs,,,,37982100.0,ns,74
heavy_compute,hecs,,,,38500700.0,ns,76
heavy_compute,hecs,,,,39952700.0,ns,78
heavy_compute,hecs,,,,40545300.0,ns,80
heavy_compute,hecs,,,,41555200.0,ns,82
heavy_compute,hecs,,,,43093100.0,ns,84
heavy_compute,hecs,,,,43821400.0,ns,86
heavy_compute,hecs,,,,44912100.0,ns,88
heavy_compute,hecs,,,,45953700.0,ns,90
heavy_compute,hecs,,,,46898200.0,ns,92
heavy_compute,hecs,,,,49592900.0,ns,94
heavy_compute,hecs,,,,49064700.0,ns,96
heavy_compute,hecs,,,,49913900.0,ns,98
heavy_compute,hecs,,,,51103600.0,ns,100
heavy_compute,hecs,,,,53964200.0,ns,102
heavy_compute,hecs,,,,53033200.0,ns,104
heavy_compute,hecs,,,,53756700.0,ns,106
heavy_compute,hecs,,,,54793400.0,ns,108
heavy_compute,hecs,,,,56039200.0,ns,110
heavy_compute,hecs,,,,57528500.0,ns,112
heavy_compute,hecs,,,,58638100.0,ns,114
heavy_compute,hecs,,,,58838200.0,ns,116
heavy_compute,hecs,,,,60026400.0,ns,118
heavy_compute,hecs,,,,61217600.0,ns,120
heavy_compute,hecs,,,,63325900.0,ns,122
heavy_compute,hecs,,,,63279200.0,ns,124
heavy_compute,hecs,,,,63828400.0,ns,126
heavy_compute,hecs,,,,64818400.0,ns,128
heavy_compute,hecs,,,,66313500.0,ns,130
heavy_compute,hecs,,,,67504500.0,ns,132
heavy_compute,hecs,,,,68271900.0,ns,134
heavy_compute,hecs,,,,70335200.0,ns,136
heavy_compute,hecs,,,,69973700.0,ns,138
heavy_compute,hecs,,,,71131400.0,ns,140
heavy_compute,hecs,,,,73212900.0,ns,142
heavy_compute,hecs,,,,73314500.0,ns,144
heavy_compute,hecs,,,,74654500.0,ns,146
heavy_compute,hecs,,,,75132600.0,ns,148
heavy_compute,hecs,,,,76060800.0,ns,150
heavy_compute,hecs,,,,77795700.0,ns,152
heavy_compute,hecs,,,,78279200.0,ns,154
heavy_compute,hecs,,,,79199300.0,ns,156
heavy_compute,hecs,,,,80409200.0,ns,158
heavy_compute,hecs,,,,81033600.0,ns,160
heavy_compute,hecs,,,,82556400.0,ns,162
heavy_compute,hecs,,,,83596500.0,ns,164
heavy_compute,hecs,,,,84580300.0,ns,166
heavy_compute,hecs,,,,85627600.0,ns,168
heavy_compute,hecs,,,,86319300.0,ns,170
heavy_compute,hecs,,,,88553200.0,ns,172
heavy_compute,hecs,,,,88501700.0,ns,174
heavy_compute,hecs,,,,89807700.0,ns,176
heavy_compute,hecs,,,,90744900.0,ns,178
heavy_compute,hecs,,,,91712700.0,ns,180
heavy_compute,hecs,,,,91968100.0,ns,182
heavy_compute,hecs,,,,95548300.0,ns,184
heavy_compute,hecs,,,,94258000.0,ns,186
heavy_compute,hecs,,,,96327500.0,ns,188
heavy_compute,hecs,,,,97106000.0,ns,190
heavy_compute,hecs,,,,97684100.0,ns,192
heavy_compute,hecs,,,,99036200.0,ns,194
heavy_compute,hecs,,,,100455800.0,ns,196
heavy_compute,hecs,,,,100761000.0,ns,198
heavy_compute,hecs,,,,102539700.0,ns,200
