group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion (packed),,,,1125000.0,ns,4
heavy_compute,legion (packed),,,,2195200.0,ns,8
heavy_compute,legion (packed),,,,3739900.0,ns,12
heavy_compute,legion (packed),,,,4436200.0,ns,16
heavy_compute,legion (packed),,,,5342700.0,ns,20
heavy_compute,legion (packed),,,,6963700.0,ns,24
heavy_compute,legion (packed),,,,8116700.0,ns,28
heavy_compute,legion (packed),,,,8722400.0,ns,32
heavy_compute,legion (packed),,,,9695700.0,ns,36
heavy_compute,legion (packed),,,,11359000.0,ns,40
heavy_compute,legion (packed),,,,12315700.0,ns,44
heavy_compute,legion (packed),,,,13087200.0,ns,48
heavy_compute,legion (packed),,,,13982000.0,ns,52
heavy_compute,legion (packed),,,,15110800.0,ns,56
heavy_compute,legion (packed),,,,16162100.0,ns,60
heavy_compute,legion (packed),,,,17388800.0,ns,64
heavy_compute,legion (packed),,,,18683400.0,ns,68
heavy_compute,legion (packed),,,,19741100.0,ns,72
heavy_compute,legion (packed),,,,20806500.0,ns,76
heavy_compute,legion (packed),,,,21987800.0,ns,80
heavy_compute,legion (packed),,,,23234400.0,ns,84
heavy_compute,legion (packed),,,,24196300.0,ns,88
heavy_compute,legion (packed),,,,25241100.0,ns,92
heavy_compute,legion (packed),,,,27014600.0,ns,96
heavy_compute,legion (packed),,,,28412000.0,ns,100
heavy_compute,legion (packed),,,,29389100.0,ns,104
heavy_compute,legion (packed),,,,29466100.0,ns,108
heavy_compute,legion (packed),,,,30234000.0,ns,112
heavy_compute,legion (packed),,,,32088000.0,ns,116
heavy_compute,legion (packed),,,,32667600.0,ns,120
heavy_compute,legion (packed),,,,33700400.0,ns,124
heavy_compute,legion (packed),,,,34803500.0,ns,128
heavy_compute,legion (packed),,,,36108400.0,ns,132
heavy_compute,legion (packed),,,,36890100.0,ns,136
heavy_compute,legion (packed),,,,38078700.0,ns,140
heavy_compute,legion (packed),,,,39890600.0,ns,144
heavy_compute,legion (packed),,,,40329300.0,ns,148
heavy_compute,legion (packed),,,,41414600.0,ns,152
heavy_compute,legion (packed),,,,42544300.0,ns,156
heavy_compute,legion (packed),,,,44017900.0,ns,160
heavy_compute,legion (packed),,,,44620400.0,ns,164
heavy_compute,legion (packed),,,,47038500.0,ns,168
heavy_compute,legion (packed),,,,48836400.0,ns,172
heavy_compute,legion (packed),,,,48811500.0,ns,176
heavy_compute,legion (packed),,,,50981200.0,ns,180
heavy_compute,legion (packed),,,,52368700.0,ns,184
heavy_compute,legion (packed),,,,53024500.0,ns,188
heavy_compute,legion (packed),,,,53200200.0,ns,192
heavy_compute,legion (packed),,,,53664100.0,ns,196
heavy_compute,legion (packed),,,,55376400.0,ns,200
heavy_compute,legion (packed),,,,55120000.0,ns,204
heavy_compute,legion (packed),,,,56893300.0,ns,208
heavy_compute,legion (packed),,,,57523500.0,ns,212
heavy_compute,legion (packed),,,,58414100.0,ns,216
heavy_compute,legion (packed),,,,60156800.0,ns,220
heavy_compute,legion (packed),,,,62834000.0,ns,224
heavy_compute,legion (packed),,,,61899100.0,ns,228
heavy_compute,legion (packed),,,,63551100.0,ns,232
heavy_compute,legion (packed),,,,65140600.0,ns,236
heavy_compute,legion (packed),,,,66009100.0,ns,240
heavy_compute,legion (packed),,,,67007300.0,ns,244
heavy_compute,legion (packed),,,,67579400.0,ns,248
heavy_compute,legion (packed),,,,68121000.0,ns,252
heavy_compute,legion (packed),,,,69476600.0,ns,256
heavy_compute,legion (packed),,,,70656700.0,ns,260
heavy_compute,legion (packed),,,,72285000.0,ns,264
heavy_compute,legion (packed),,,,73585600.0,ns,268
heavy_compute,legion (packed),,,,75151300.0,ns,272
heavy_compute,legion (packed),,,,76993300.0,ns,276
heavy_compute,legion (packed),,,,76336800.0,ns,280
heavy_compute,legion (packed),,,,77033600.0,ns,284
heavy_compute,legion (packed),,,,77457900.0,ns,288
heavy_compute,legion (packed),,,,79531400.0,ns,292
heavy_compute,legion (packed),,,,80791700.0,ns,296
heavy_compute,legion (packed),,,,81497600.0,ns,300
heavy_compute,legion (packed),,,,84257700.0,ns,304
heavy_compute,legion (packed),,,,83445500.0,ns,308
heavy_compute,legion (packed),,,,84650600.0,ns,312
heavy_compute,legion (packed),,,,88292700.0,ns,316
heavy_compute,legion (packed),,,,88286100.0,ns,320
heavy_compute,legion (packed),,,,88957400.0,ns,324
heavy_compute,legion (packed),,,,91043700.0,ns,328
heavy_compute,legion (packed),,,,89851500.0,ns,332
heavy_compute,legion (packed),,,,91110200.0,ns,336
heavy_compute,legion (packed),,,,95047100.0,ns,340
heavy_compute,legion (packed),,,,96053100.0,ns,344
heavy_compute,legion (packed),,,,97636000.0,ns,348
heavy_compute,legion (packed),,,,95476800.0,ns,352
heavy_compute,legion (packed),,,,100092300.0,ns,356
heavy_compute,legion (packed),,,,99521600.0,ns,360
heavy_compute,legion (packed),,,,99549800.0,ns,364
heavy_compute,legion (packed),,,,101059000.0,ns,368
heavy_compute,legion (packed),,,,100830200.0,ns,372
heavy_compute,legion (packed),,,,101582400.0,ns,376
heavy_compute,legion (packed),,,,103170500.0,ns,380
heavy_compute,legion (packed),,,,106422900.0,ns,384
heavy_compute,legion (packed),,,,109913600.0,ns,388
heavy_compute,legion (packed),,,,108691700.0,ns,392
heavy_compute,legion (packed),,,,112153000.0,ns,396
heavy_compute,legion (packed),,,,109070200.0,ns,400
