group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion,,,,1410500.0,ns,4
heavy_compute,legion,,,,2685800.0,ns,8
heavy_compute,legion,,,,4446200.0,ns,12
heavy_compute,legion,,,,5145200.0,ns,16
heavy_compute,legion,,,,7108300.0,ns,20
heavy_compute,legion,,,,8337000.0,ns,24
heavy_compute,legion,,,,9994500.0,ns,28
heavy_compute,legion,,,,10827300.0,ns,32
heavy_compute,legion,,,,12038800.0,ns,36
heavy_compute,legion,,,,13319800.0,ns,40
heavy_compute,legion,,,,14355000.0,ns,44
heavy_compute,legion,,,,15909400.0,ns,48
heavy_compute,legion,,,,18457100.0,ns,52
heavy_compute,legion,,,,18173300.0,ns,56
heavy_compute,legion,,,,19539300.0,ns,60
heavy_compute,legion,,,,22007500.0,ns,64
heavy_compute,legion,,,,22003400.0,ns,68
heavy_compute,legion,,,,22944100.0,ns,72
heavy_compute,legion,,,,24112400.0,ns,76
heavy_compute,legion,,,,25293200.0,ns,80
heavy_compute,legion,,,,25891600.0,ns,84
heavy_compute,legion,,,,27194700.0,ns,88
heavy_compute,legion,,,,28629900.0,ns,92
heavy_compute,legion,,,,30209000.0,ns,96
heavy_compute,legion,,,,31108700.0,ns,100
heavy_compute,legion,,,,31852100.0,ns,104
heavy_compute,legion,,,,33090800.0,ns,108
heavy_compute,legion,,,,34319900.0,ns,112
heavy_compute,legion,,,,35424500.0,ns,116
heavy_compute,legion,,,,37955500.0,ns,120
heavy_compute,legion,,,,39841500.0,ns,124
heavy_compute,legion,,,,41873000.0,ns,128
heavy_compute,legion,,,,43436600.0,ns,132
heavy_compute,legion,,,,48274600.0,ns,136
heavy_compute,legion,,,,46227900.0,ns,140
heavy_compute,legion,,,,46895500.0,ns,144
heavy_compute,legion,,,,49306900.0,ns,148
heavy_compute,legion,,,,52816100.0,ns,152
heavy_compute,legion,,,,52298500.0,ns,156
heavy_compute,legion,,,,52880600.0,ns,160
heavy_compute,legion,,,,55331900.0,ns,164
heavy_compute,legion,,,,56116400.0,ns,168
heavy_compute,legion,,,,55294500.0,ns,172
heavy_compute,legion,,,,56696800.0,ns,176
heavy_compute,legion,,,,57231000.0,ns,180
heavy_compute,legion,,,,57363700.0,ns,184
heavy_compute,legion,,,,59712400.0,ns,188
heavy_compute,legion,,,,59879700.0,ns,192
heavy_compute,legion,,,,62256500.0,ns,196
heavy_compute,legion,,,,64040500.0,ns,200
heavy_compute,legion,,,,64705000.0,ns,204
heavy_compute,legion,,,,65570800.0,ns,208
heavy_compute,legion,,,,65128800.0,ns,212
heavy_compute,legion,,,,67783300.0,ns,216
heavy_compute,legion,,,,68013500.0,ns,220
heavy_compute,legion,,,,68887100.0,ns,224
heavy_compute,legion,,,,70183100.0,ns,228
heavy_compute,legion,,,,72659900.0,ns,232
heavy_compute,legion,,,,72811100.0,ns,236
heavy_compute,legion,,,,74518400.0,ns,240
heavy_compute,legion,,,,78295200.0,ns,244
heavy_compute,legion,,,,77617400.0,ns,248
heavy_compute,legion,,,,80052900.0,ns,252
heavy_compute,legion,,,,81618900.0,ns,256
heavy_compute,legion,,,,81399100.0,ns,260
heavy_compute,legion,,,,82315400.0,ns,264
heavy_compute,legion,,,,81954500.0,ns,268
heavy_compute,legion,,,,82995000.0,ns,272
heavy_compute,legion,,,,86721100.0,ns,276
heavy_compute,legion,,,,86418100.0,ns,280
heavy_compute,legion,,,,89142400.0,ns,284
heavy_compute,legion,,,,95895800.0,ns,288
heavy_compute,legion,,,,95139500.0,ns,292
heavy_compute,legion,,,,92940300.0,ns,296
heavy_compute,legion,,,,93236500.0,ns,300
heavy_compute,legion,,,,94540100.0,ns,304
heavy_compute,legion,,,,95392300.0,ns,308
heavy_compute,legion,,,,97069200.0,ns,312
heavy_compute,legion,,,,98752800.0,ns,316
heavy_compute,legion,,,,100219800.0,ns,320
heavy_compute,legion,,,,100328700.0,ns,324
heavy_compute,legion,,,,101054900.0,ns,328
heavy_compute,legion,,,,103199800.0,ns,332
heavy_compute,legion,,,,115035100.0,ns,336
heavy_compute,legion,,,,116237500.0,ns,340
heavy_compute,legion,,,,115782700.0,ns,344
heavy_compute,legion,,,,115315900.0,ns,348
heavy_compute,legion,,,,118962500.0,ns,352
heavy_compute,legion,,,,113226700.0,ns,356
heavy_compute,legion,,,,113547000.0,ns,360
heavy_compute,legion,,,,110983400.0,ns,364
heavy_compute,legion,,,,117582400.0,ns,368
heavy_compute,legion,,,,120105000.0,ns,372
heavy_compute,legion,,,,124014100.0,ns,376
heavy_compute,legion,,,,126175800.0,ns,380
heavy_compute,legion,,,,128185700.0,ns,384
heavy_compute,legion,,,,129248400.0,ns,388
heavy_compute,legion,,,,130124000.0,ns,392
heavy_compute,legion,,,,128274900.0,ns,396
heavy_compute,legion,,,,125697400.0,ns,400
