group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion_packed,,,,1326700.0,ns,4
heavy_compute,legion_packed,,,,2424700.0,ns,8
heavy_compute,legion_packed,,,,3803400.0,ns,12
heavy_compute,legion_packed,,,,4775800.0,ns,16
heavy_compute,legion_packed,,,,6103800.0,ns,20
heavy_compute,legion_packed,,,,7133200.0,ns,24
heavy_compute,legion_packed,,,,8368100.0,ns,28
heavy_compute,legion_packed,,,,9497200.0,ns,32
heavy_compute,legion_packed,,,,10840200.0,ns,36
heavy_compute,legion_packed,,,,12068000.0,ns,40
heavy_compute,legion_packed,,,,13215900.0,ns,44
heavy_compute,legion_packed,,,,14183700.0,ns,48
heavy_compute,legion_packed,,,,15401700.0,ns,52
heavy_compute,legion_packed,,,,16643200.0,ns,56
heavy_compute,legion_packed,,,,18106500.0,ns,60
heavy_compute,legion_packed,,,,18841100.0,ns,64
heavy_compute,legion_packed,,,,20117000.0,ns,68
heavy_compute,legion_packed,,,,21751900.0,ns,72
heavy_compute,legion_packed,,,,22490600.0,ns,76
heavy_compute,legion_packed,,,,23745900.0,ns,80
heavy_compute,legion_packed,,,,24909100.0,ns,84
heavy_compute,legion_packed,,,,26031000.0,ns,88
heavy_compute,legion_packed,,,,27327800.0,ns,92
heavy_compute,legion_packed,,,,28379400.0,ns,96
heavy_compute,legion_packed,,,,30179500.0,ns,100
heavy_compute,legion_packed,,,,31022500.0,ns,104
heavy_compute,legion_packed,,,,32506300.0,ns,108
heavy_compute,legion_packed,,,,33635300.0,ns,112
heavy_compute,legion_packed,,,,34404200.0,ns,116
heavy_compute,legion_packed,,,,35578700.0,ns,120
heavy_compute,legion_packed,,,,37687200.0,ns,124
heavy_compute,legion_packed,,,,38441100.0,ns,128
heavy_compute,legion_packed,,,,39531100.0,ns,132
heavy_compute,legion_packed,,,,40847300.0,ns,136
heavy_compute,legion_packed,,,,41821500.0,ns,140
heavy_compute,legion_packed,,,,42860200.0,ns,144
heavy_compute,legion_packed,,,,44330700.0,ns,148
heavy_compute,legion_packed,,,,45296700.0,ns,152
heavy_compute,legion_packed,,,,46726500.0,ns,156
heavy_compute,legion_packed,,,,48346800.0,ns,160
heavy_compute,legion_packed,,,,48694600.0,ns,164
heavy_compute,legion_packed,,,,50322400.0,ns,168
heavy_compute,legion_packed,,,,51246900.0,ns,172
heavy_compute,legion_packed,,,,52284800.0,ns,176
heavy_compute,legion_packed,,,,53778100.0,ns,180
heavy_compute,legion_packed,,,,54468100.0,ns,184
heavy_compute,legion_packed,,,,55785000.0,ns,188
heavy_compute,legion_packed,,,,57273500.0,ns,192
heavy_compute,legion_packed,,,,58096800.0,ns,196
heavy_compute,legion_packed,,,,59612600.0,ns,200
heavy_compute,legion_packed,,,,60323000.0,ns,204
heavy_compute,legion_packed,,,,62209300.0,ns,208
heavy_compute,legion_packed,,,,63047700.0,ns,212
heavy_compute,legion_packed,,,,63941600.0,ns,216
heavy_compute,legion_packed,,,,66135900.0,ns,220
heavy_compute,legion_packed,,,,66215400.0,ns,224
heavy_compute,legion_packed,,,,67847100.0,ns,228
heavy_compute,legion_packed,,,,70090400.0,ns,232
heavy_compute,legion_packed,,,,70431900.0,ns,236
heavy_compute,legion_packed,,,,71790100.0,ns,240
heavy_compute,legion_packed,,,,72696300.0,ns,244
heavy_compute,legion_packed,,,,73839500.0,ns,248
heavy_compute,legion_packed,,,,74692100.0,ns,252
heavy_compute,legion_packed,,,,75926000.0,ns,256
heavy_compute,legion_packed,,,,78785000.0,ns,260
heavy_compute,legion_packed,,,,80479600.0,ns,264
heavy_compute,legion_packed,,,,81464500.0,ns,268
heavy_compute,legion_packed,,,,82343000.0,ns,272
heavy_compute,legion_packed,,,,83876100.0,ns,276
heavy_compute,legion_packed,,,,84690100.0,ns,280
heavy_compute,legion_packed,,,,85344100.0,ns,284
heavy_compute,legion_packed,,,,87549800.0,ns,288
heavy_compute,legion_packed,,,,88117300.0,ns,292
heavy_compute,legion_packed,,,,87896500.0,ns,296
heavy_compute,legion_packed,,,,89183600.0,ns,300
heavy_compute,legion_packed,,,,89805100.0,ns,304
heavy_compute,legion_packed,,,,90682200.0,ns,308
heavy_compute,legion_packed,,,,93546500.0,ns,312
heavy_compute,legion_packed,,,,93305700.0,ns,316
heavy_compute,legion_packed,,,,94572100.0,ns,320
heavy_compute,legion_packed,,,,95886500.0,ns,324
heavy_compute,legion_packed,,,,96839800.0,ns,328
heavy_compute,legion_packed,,,,98009600.0,ns,332
heavy_compute,legion_packed,,,,99512800.0,ns,336
heavy_compute,legion_packed,,,,100309700.0,ns,340
heavy_compute,legion_packed,,,,101826300.0,ns,344
heavy_compute,legion_packed,,,,103413100.0,ns,348
heavy_compute,legion_packed,,,,104593400.0,ns,352
heavy_compute,legion_packed,,,,106788100.0,ns,356
heavy_compute,legion_packed,,,,106125400.0,ns,360
heavy_compute,legion_packed,,,,107570700.0,ns,364
heavy_compute,legion_packed,,,,109665600.0,ns,368
heavy_compute,legion_packed,,,,110448800.0,ns,372
heavy_compute,legion_packed,,,,112025100.0,ns,376
heavy_compute,legion_packed,,,,112784800.0,ns,380
heavy_compute,legion_packed,,,,113830200.0,ns,384
heavy_compute,legion_packed,,,,115311300.0,ns,388
heavy_compute,legion_packed,,,,118747500.0,ns,392
heavy_compute,legion_packed,,,,118712200.0,ns,396
heavy_compute,legion_packed,,,,118215300.0,ns,400
