group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,legion_packed,,,,1367400.0,ns,4
heavy_compute,legion_packed,,,,2613900.0,ns,8
heavy_compute,legion_packed,,,,4049700.0,ns,12
heavy_compute,legion_packed,,,,5053500.0,ns,16
heavy_compute,legion_packed,,,,6512300.0,ns,20
heavy_compute,legion_packed,,,,7968100.0,ns,24
heavy_compute,legion_packed,,,,9161900.0,ns,28
heavy_compute,legion_packed,,,,10230200.0,ns,32
heavy_compute,legion_packed,,,,11467300.0,ns,36
heavy_compute,legion_packed,,,,12761900.0,ns,40
heavy_compute,legion_packed,,,,13866800.0,ns,44
heavy_compute,legion_packed,,,,14683700.0,ns,48
heavy_compute,legion_packed,,,,16361800.0,ns,52
heavy_compute,legion_packed,,,,18044100.0,ns,56
heavy_compute,legion_packed,,,,19196100.0,ns,60
heavy_compute,legion_packed,,,,20152700.0,ns,64
heavy_compute,legion_packed,,,,21358500.0,ns,68
heavy_compute,legion_packed,,,,22071600.0,ns,72
heavy_compute,legion_packed,,,,23024400.0,ns,76
heavy_compute,legion_packed,,,,24322800.0,ns,80
heavy_compute,legion_packed,,,,25989500.0,ns,84
heavy_compute,legion_packed,,,,27242000.0,ns,88
heavy_compute,legion_packed,,,,28118400.0,ns,92
heavy_compute,legion_packed,,,,29271900.0,ns,96
heavy_compute,legion_packed,,,,30944500.0,ns,100
heavy_compute,legion_packed,,,,32763300.0,ns,104
heavy_compute,legion_packed,,,,33092800.0,ns,108
heavy_compute,legion_packed,,,,34468300.0,ns,112
heavy_compute,legion_packed,,,,35178700.0,ns,116
heavy_compute,legion_packed,,,,37481800.0,ns,120
heavy_compute,legion_packed,,,,38609000.0,ns,124
heavy_compute,legion_packed,,,,40261200.0,ns,128
heavy_compute,legion_packed,,,,40667200.0,ns,132
heavy_compute,legion_packed,,,,42414300.0,ns,136
heavy_compute,legion_packed,,,,43675800.0,ns,140
heavy_compute,legion_packed,,,,44261200.0,ns,144
heavy_compute,legion_packed,,,,46754300.0,ns,148
heavy_compute,legion_packed,,,,50844600.0,ns,152
heavy_compute,legion_packed,,,,48105800.0,ns,156
heavy_compute,legion_packed,,,,49366900.0,ns,160
heavy_compute,legion_packed,,,,52185600.0,ns,164
heavy_compute,legion_packed,,,,51896700.0,ns,168
heavy_compute,legion_packed,,,,52615800.0,ns,172
heavy_compute,legion_packed,,,,53224000.0,ns,176
heavy_compute,legion_packed,,,,55408100.0,ns,180
heavy_compute,legion_packed,,,,56630800.0,ns,184
heavy_compute,legion_packed,,,,57864500.0,ns,188
heavy_compute,legion_packed,,,,60192400.0,ns,192
heavy_compute,legion_packed,,,,61182300.0,ns,196
heavy_compute,legion_packed,,,,63526400.0,ns,200
heavy_compute,legion_packed,,,,64228400.0,ns,204
heavy_compute,legion_packed,,,,67219000.0,ns,208
heavy_compute,legion_packed,,,,66374800.0,ns,212
heavy_compute,legion_packed,,,,67385400.0,ns,216
heavy_compute,legion_packed,,,,68912500.0,ns,220
heavy_compute,legion_packed,,,,70580200.0,ns,224
heavy_compute,legion_packed,,,,71906700.0,ns,228
heavy_compute,legion_packed,,,,71774800.0,ns,232
heavy_compute,legion_packed,,,,73314100.0,ns,236
heavy_compute,legion_packed,,,,74343400.0,ns,240
heavy_compute,legion_packed,,,,74103100.0,ns,244
heavy_compute,legion_packed,,,,78380000.0,ns,248
heavy_compute,legion_packed,,,,76765000.0,ns,252
heavy_compute,legion_packed,,,,78652100.0,ns,256
heavy_compute,legion_packed,,,,81512200.0,ns,260
heavy_compute,legion_packed,,,,82703300.0,ns,264
heavy_compute,legion_packed,,,,84797400.0,ns,268
heavy_compute,legion_packed,,,,86745100.0,ns,272
heavy_compute,legion_packed,,,,85873400.0,ns,276
heavy_compute,legion_packed,,,,86604900.0,ns,280
heavy_compute,legion_packed,,,,87932500.0,ns,284
heavy_compute,legion_packed,,,,90097100.0,ns,288
heavy_compute,legion_packed,,,,89775400.0,ns,292
heavy_compute,legion_packed,,,,90837000.0,ns,296
heavy_compute,legion_packed,,,,91878000.0,ns,300
heavy_compute,legion_packed,,,,93483600.0,ns,304
heavy_compute,legion_packed,,,,97185700.0,ns,308
heavy_compute,legion_packed,,,,100673900.0,ns,312
heavy_compute,legion_packed,,,,96447000.0,ns,316
heavy_compute,legion_packed,,,,97618900.0,ns,320
heavy_compute,legion_packed,,,,98972500.0,ns,324
heavy_compute,legion_packed,,,,104274800.0,ns,328
heavy_compute,legion_packed,,,,102655200.0,ns,332
heavy_compute,legion_packed,,,,103211400.0,ns,336
heavy_compute,legion_packed,,,,103844000.0,ns,340
heavy_compute,legion_packed,,,,104056800.0,ns,344
heavy_compute,legion_packed,,,,106734800.0,ns,348
heavy_compute,legion_packed,,,,112780000.0,ns,352
heavy_compute,legion_packed,,,,114095600.0,ns,356
heavy_compute,legion_packed,,,,113017200.0,ns,360
heavy_compute,legion_packed,,,,111248600.0,ns,364
heavy_compute,legion_packed,,,,113867900.0,ns,368
heavy_compute,legion_packed,,,,115666000.0,ns,372
heavy_compute,legion_packed,,,,115470000.0,ns,376
heavy_compute,legion_packed,,,,116705500.0,ns,380
heavy_compute,legion_packed,,,,125014400.0,ns,384
heavy_compute,legion_packed,,,,124835100.0,ns,388
heavy_compute,legion_packed,,,,122604900.0,ns,392
heavy_compute,legion_packed,,,,120684000.0,ns,396
heavy_compute,legion_packed,,,,122323500.0,ns,400
