group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1299500.0,ns,4
heavy_compute,shipyard,,,,2519200.0,ns,8
heavy_compute,shipyard,,,,3770800.0,ns,12
heavy_compute,shipyard,,,,5021000.0,ns,16
heavy_compute,shipyard,,,,6290500.0,ns,20
heavy_compute,shipyard,,,,7634800.0,ns,24
heavy_compute,shipyard,,,,8550300.0,ns,28
heavy_compute,shipyard,,,,9899200.0,ns,32
heavy_compute,shipyard,,,,11255700.0,ns,36
heavy_compute,shipyard,,,,12350100.0,ns,40
heavy_compute,shipyard,,,,13472800.0,ns,44
heavy_compute,shipyard,,,,14897200.0,ns,48
heavy_compute,shipyard,,,,16683100.0,ns,52
heavy_compute,shipyard,,,,17248400.0,ns,56
heavy_compute,shipyard,,,,19326800.0,ns,60
heavy_compute,shipyard,,,,20246900.0,ns,64
heavy_compute,shipyard,,,,21414000.0,ns,68
heavy_compute,shipyard,,,,22263400.0,ns,72
heavy_compute,shipyard,,,,23725100.0,ns,76
heavy_compute,shipyard,,,,24744600.0,ns,80
heavy_compute,shipyard,,,,26479700.0,ns,84
heavy_compute,shipyard,,,,27663600.0,ns,88
heavy_compute,shipyard,,,,28512100.0,ns,92
heavy_compute,shipyard,,,,29898700.0,ns,96
heavy_compute,shipyard,,,,31234200.0,ns,100
heavy_compute,shipyard,,,,32262700.0,ns,104
heavy_compute,shipyard,,,,33680400.0,ns,108
heavy_compute,shipyard,,,,35317100.0,ns,112
heavy_compute,shipyard,,,,35918700.0,ns,116
heavy_compute,shipyard,,,,37403600.0,ns,120
heavy_compute,shipyard,,,,39449200.0,ns,124
heavy_compute,shipyard,,,,39384100.0,ns,128
heavy_compute,shipyard,,,,41100300.0,ns,132
heavy_compute,shipyard,,,,42381400.0,ns,136
heavy_compute,shipyard,,,,43414900.0,ns,140
heavy_compute,shipyard,,,,44275600.0,ns,144
heavy_compute,shipyard,,,,46808500.0,ns,148
heavy_compute,shipyard,,,,47298400.0,ns,152
heavy_compute,shipyard,,,,49092000.0,ns,156
heavy_compute,shipyard,,,,49924100.0,ns,160
heavy_compute,shipyard,,,,50638800.0,ns,164
heavy_compute,shipyard,,,,53395800.0,ns,168
heavy_compute,shipyard,,,,54668600.0,ns,172
heavy_compute,shipyard,,,,55743800.0,ns,176
heavy_compute,shipyard,,,,57477700.0,ns,180
heavy_compute,shipyard,,,,58379400.0,ns,184
heavy_compute,shipyard,,,,59286600.0,ns,188
heavy_compute,shipyard,,,,60091500.0,ns,192
heavy_compute,shipyard,,,,61486200.0,ns,196
heavy_compute,shipyard,,,,63051300.0,ns,200
heavy_compute,shipyard,,,,63501800.0,ns,204
heavy_compute,shipyard,,,,64113100.0,ns,208
heavy_compute,shipyard,,,,66793500.0,ns,212
heavy_compute,shipyard,,,,66921900.0,ns,216
heavy_compute,shipyard,,,,67861800.0,ns,220
heavy_compute,shipyard,,,,71037100.0,ns,224
heavy_compute,shipyard,,,,69955100.0,ns,228
heavy_compute,shipyard,,,,73456900.0,ns,232
heavy_compute,shipyard,,,,76945700.0,ns,236
heavy_compute,shipyard,,,,76481400.0,ns,240
heavy_compute,shipyard,,,,77626000.0,ns,244
heavy_compute,shipyard,,,,77346700.0,ns,248
heavy_compute,shipyard,,,,78517200.0,ns,252
heavy_compute,shipyard,,,,79463200.0,ns,256
heavy_compute,shipyard,,,,81821900.0,ns,260
heavy_compute,shipyard,,,,87889600.0,ns,264
heavy_compute,shipyard,,,,86494100.0,ns,268
heavy_compute,shipyard,,,,84438700.0,ns,272
heavy_compute,shipyard,,,,86132800.0,ns,276
heavy_compute,shipyard,,,,87181400.0,ns,280
heavy_compute,shipyard,,,,88781500.0,ns,284
heavy_compute,shipyard,,,,92226500.0,ns,288
heavy_compute,shipyard,,,,92215100.0,ns,292
heavy_compute,shipyard,,,,92611400.0,ns,296
heavy_compute,shipyard,,,,93684700.0,ns,300
heavy_compute,shipyard,,,,93533600.0,ns,304
heavy_compute,shipyard,,,,96367300.0,ns,308
heavy_compute,shipyard,,,,97220100.0,ns,312
heavy_compute,shipyard,,,,98428500.0,ns,316
heavy_compute,shipyard,,,,99877700.0,ns,320
heavy_compute,shipyard,,,,101248300.0,ns,324
heavy_compute,shipyard,,,,101629100.0,ns,328
heavy_compute,shipyard,,,,103616300.0,ns,332
heavy_compute,shipyard,,,,103729800.0,ns,336
heavy_compute,shipyard,,,,106511300.0,ns,340
heavy_compute,shipyard,,,,106632400.0,ns,344
heavy_compute,shipyard,,,,109462000.0,ns,348
heavy_compute,shipyard,,,,108251300.0,ns,352
heavy_compute,shipyard,,,,111294900.0,ns,356
heavy_compute,shipyard,,,,111310300.0,ns,360
heavy_compute,shipyard,,,,116687400.0,ns,364
heavy_compute,shipyard,,,,117826300.0,ns,368
heavy_compute,shipyard,,,,115686600.0,ns,372
heavy_compute,shipyard,,,,116549900.0,ns,376
heavy_compute,shipyard,,,,119987400.0,ns,380
heavy_compute,shipyard,,,,124500500.0,ns,384
heavy_compute,shipyard,,,,125733900.0,ns,388
heavy_compute,shipyard,,,,121150700.0,ns,392
heavy_compute,shipyard,,,,125750800.0,ns,396
heavy_compute,shipyard,,,,128656600.0,ns,400
