group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard,,,,1460700.0,ns,4
heavy_compute,shipyard,,,,2684300.0,ns,8
heavy_compute,shipyard,,,,4192800.0,ns,12
heavy_compute,shipyard,,,,5244000.0,ns,16
heavy_compute,shipyard,,,,6597500.0,ns,20
heavy_compute,shipyard,,,,7873900.0,ns,24
heavy_compute,shipyard,,,,8854900.0,ns,28
heavy_compute,shipyard,,,,10237700.0,ns,32
heavy_compute,shipyard,,,,11629600.0,ns,36
heavy_compute,shipyard,,,,12772600.0,ns,40
heavy_compute,shipyard,,,,14091800.0,ns,44
heavy_compute,shipyard,,,,15158400.0,ns,48
heavy_compute,shipyard,,,,16707300.0,ns,52
heavy_compute,shipyard,,,,18367700.0,ns,56
heavy_compute,shipyard,,,,18864100.0,ns,60
heavy_compute,shipyard,,,,20024800.0,ns,64
heavy_compute,shipyard,,,,21681700.0,ns,68
heavy_compute,shipyard,,,,22639800.0,ns,72
heavy_compute,shipyard,,,,24446000.0,ns,76
heavy_compute,shipyard,,,,24776400.0,ns,80
heavy_compute,shipyard,,,,25652200.0,ns,84
heavy_compute,shipyard,,,,27076600.0,ns,88
heavy_compute,shipyard,,,,29182500.0,ns,92
heavy_compute,shipyard,,,,31433100.0,ns,96
heavy_compute,shipyard,,,,31075800.0,ns,100
heavy_compute,shipyard,,,,32469000.0,ns,104
heavy_compute,shipyard,,,,34230600.0,ns,108
heavy_compute,shipyard,,,,36766100.0,ns,112
heavy_compute,shipyard,,,,35730100.0,ns,116
heavy_compute,shipyard,,,,37052000.0,ns,120
heavy_compute,shipyard,,,,38250600.0,ns,124
heavy_compute,shipyard,,,,39550700.0,ns,128
heavy_compute,shipyard,,,,40607900.0,ns,132
heavy_compute,shipyard,,,,42901600.0,ns,136
heavy_compute,shipyard,,,,43215600.0,ns,140
heavy_compute,shipyard,,,,44003600.0,ns,144
heavy_compute,shipyard,,,,45370100.0,ns,148
heavy_compute,shipyard,,,,46462100.0,ns,152
heavy_compute,shipyard,,,,48461300.0,ns,156
heavy_compute,shipyard,,,,49240900.0,ns,160
heavy_compute,shipyard,,,,51275900.0,ns,164
heavy_compute,shipyard,,,,52263500.0,ns,168
heavy_compute,shipyard,,,,53320300.0,ns,172
heavy_compute,shipyard,,,,54206500.0,ns,176
heavy_compute,shipyard,,,,55471800.0,ns,180
heavy_compute,shipyard,,,,57513800.0,ns,184
heavy_compute,shipyard,,,,57508900.0,ns,188
heavy_compute,shipyard,,,,58705000.0,ns,192
heavy_compute,shipyard,,,,59594800.0,ns,196
heavy_compute,shipyard,,,,61472000.0,ns,200
heavy_compute,shipyard,,,,62742300.0,ns,204
heavy_compute,shipyard,,,,63454900.0,ns,208
heavy_compute,shipyard,,,,66026800.0,ns,212
heavy_compute,shipyard,,,,65974900.0,ns,216
heavy_compute,shipyard,,,,67250500.0,ns,220
heavy_compute,shipyard,,,,70102600.0,ns,224
heavy_compute,shipyard,,,,70981400.0,ns,228
heavy_compute,shipyard,,,,72283900.0,ns,232
heavy_compute,shipyard,,,,74766100.0,ns,236
heavy_compute,shipyard,,,,76626900.0,ns,240
heavy_compute,shipyard,,,,76662700.0,ns,244
heavy_compute,shipyard,,,,76567700.0,ns,248
heavy_compute,shipyard,,,,80422600.0,ns,252
heavy_compute,shipyard,,,,80233400.0,ns,256
heavy_compute,shipyard,,,,80293700.0,ns,260
heavy_compute,shipyard,,,,81688600.0,ns,264
heavy_compute,shipyard,,,,82700000.0,ns,268
heavy_compute,shipyard,,,,83835800.0,ns,272
heavy_compute,shipyard,,,,85653900.0,ns,276
heavy_compute,shipyard,,,,89357800.0,ns,280
heavy_compute,shipyard,,,,90720300.0,ns,284
heavy_compute,shipyard,,,,93368300.0,ns,288
heavy_compute,shipyard,,,,92687700.0,ns,292
heavy_compute,shipyard,,,,90893300.0,ns,296
heavy_compute,shipyard,,,,93236100.0,ns,300
heavy_compute,shipyard,,,,95710700.0,ns,304
heavy_compute,shipyard,,,,95608600.0,ns,308
heavy_compute,shipyard,,,,96730400.0,ns,312
heavy_compute,shipyard,,,,97265700.0,ns,316
heavy_compute,shipyard,,,,98536200.0,ns,320
heavy_compute,shipyard,,,,99751300.0,ns,324
heavy_compute,shipyard,,,,102146100.0,ns,328
heavy_compute,shipyard,,,,107157000.0,ns,332
heavy_compute,shipyard,,,,106423600.0,ns,336
heavy_compute,shipyard,,,,109875200.0,ns,340
heavy_compute,shipyard,,,,108634800.0,ns,344
heavy_compute,shipyard,,,,112066000.0,ns,348
heavy_compute,shipyard,,,,112562200.0,ns,352
heavy_compute,shipyard,,,,110641400.0,ns,356
heavy_compute,shipyard,,,,112990000.0,ns,360
heavy_compute,shipyard,,,,119898500.0,ns,364
heavy_compute,shipyard,,,,119966200.0,ns,368
heavy_compute,shipyard,,,,114887600.0,ns,372
heavy_compute,shipyard,,,,115376000.0,ns,376
heavy_compute,shipyard,,,,117164700.0,ns,380
heavy_compute,shipyard,,,,120925200.0,ns,384
heavy_compute,shipyard,,,,121176300.0,ns,388
heavy_compute,shipyard,,,,120747400.0,ns,392
heavy_compute,shipyard,,,,121412600.0,ns,396
heavy_compute,shipyard,,,,123931500.0,ns,400
