group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,shipyard_git,,,,1293400.0,ns,4
heavy_compute,shipyard_git,,,,2589700.0,ns,8
heavy_compute,shipyard_git,,,,4072500.0,ns,12
heavy_compute,shipyard_git,,,,5099200.0,ns,16
heavy_compute,shipyard_git,,,,6562500.0,ns,20
heavy_compute,shipyard_git,,,,7768000.0,ns,24
heavy_compute,shipyard_git,,,,8659400.0,ns,28
heavy_compute,shipyard_git,,,,10136000.0,ns,32
heavy_compute,shipyard_git,,,,10991100.0,ns,36
heavy_compute,shipyard_git,,,,12760400.0,ns,40
heavy_compute,shipyard_git,,,,14021200.0,ns,44
heavy_compute,shipyard_git,,,,14685500.0,ns,48
heavy_compute,shipyard_git,,,,16736600.0,ns,52
heavy_compute,shipyard_git,,,,17606600.0,ns,56
heavy_compute,shipyard_git,,,,18894900.0,ns,60
heavy_compute,shipyard_git,,,,20245200.0,ns,64
heavy_compute,shipyard_git,,,,21393100.0,ns,68
heavy_compute,shipyard_git,,,,22842000.0,ns,72
heavy_compute,shipyard_git,,,,24060400.0,ns,76
heavy_compute,shipyard_git,,,,25160300.0,ns,80
heavy_compute,shipyard_git,,,,25646800.0,ns,84
heavy_compute,shipyard_git,,,,26941900.0,ns,88
heavy_compute,shipyard_git,,,,29154900.0,ns,92
heavy_compute,shipyard_git,,,,29599100.0,ns,96
heavy_compute,shipyard_git,,,,31406500.0,ns,100
heavy_compute,shipyard_git,,,,32494100.0,ns,104
heavy_compute,shipyard_git,,,,33876800.0,ns,108
heavy_compute,shipyard_git,,,,34138800.0,ns,112
heavy_compute,shipyard_git,,,,36362800.0,ns,116
heavy_compute,shipyard_git,,,,37594200.0,ns,120
heavy_compute,shipyard_git,,,,38534600.0,ns,124
heavy_compute,shipyard_git,,,,39477600.0,ns,128
heavy_compute,shipyard_git,,,,41472200.0,ns,132
heavy_compute,shipyard_git,,,,41813600.0,ns,136
heavy_compute,shipyard_git,,,,43471800.0,ns,140
heavy_compute,shipyard_git,,,,44421700.0,ns,144
heavy_compute,shipyard_git,,,,46584000.0,ns,148
heavy_compute,shipyard_git,,,,47547100.0,ns,152
heavy_compute,shipyard_git,,,,48676300.0,ns,156
heavy_compute,shipyard_git,,,,51415400.0,ns,160
heavy_compute,shipyard_git,,,,51405500.0,ns,164
heavy_compute,shipyard_git,,,,52048900.0,ns,168
heavy_compute,shipyard_git,,,,53736500.0,ns,172
heavy_compute,shipyard_git,,,,55244800.0,ns,176
heavy_compute,shipyard_git,,,,55768000.0,ns,180
heavy_compute,shipyard_git,,,,57967100.0,ns,184
heavy_compute,shipyard_git,,,,58244400.0,ns,188
heavy_compute,shipyard_git,,,,59880900.0,ns,192
heavy_compute,shipyard_git,,,,61493900.0,ns,196
heavy_compute,shipyard_git,,,,62183300.0,ns,200
heavy_compute,shipyard_git,,,,62749200.0,ns,204
heavy_compute,shipyard_git,,,,63748900.0,ns,208
heavy_compute,shipyard_git,,,,65696400.0,ns,212
heavy_compute,shipyard_git,,,,65613100.0,ns,216
heavy_compute,shipyard_git,,,,67753100.0,ns,220
heavy_compute,shipyard_git,,,,69308600.0,ns,224
heavy_compute,shipyard_git,,,,70170300.0,ns,228
heavy_compute,shipyard_git,,,,71808300.0,ns,232
heavy_compute,shipyard_git,,,,73038700.0,ns,236
heavy_compute,shipyard_git,,,,73318700.0,ns,240
heavy_compute,shipyard_git,,,,76812900.0,ns,244
heavy_compute,shipyard_git,,,,78690600.0,ns,248
heavy_compute,shipyard_git,,,,80474600.0,ns,252
heavy_compute,shipyard_git,,,,80583600.0,ns,256
heavy_compute,shipyard_git,,,,80983500.0,ns,260
heavy_compute,shipyard_git,,,,81770700.0,ns,264
heavy_compute,shipyard_git,,,,82096600.0,ns,268
heavy_compute,shipyard_git,,,,83997600.0,ns,272
heavy_compute,shipyard_git,,,,85189400.0,ns,276
heavy_compute,shipyard_git,,,,85709600.0,ns,280
heavy_compute,shipyard_git,,,,89201900.0,ns,284
heavy_compute,shipyard_git,,,,89438100.0,ns,288
