group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,997300.0,ns,2
heavy_compute,specs,,,,1968100.0,ns,4
heavy_compute,specs,,,,3272800.0,ns,6
heavy_compute,specs,,,,3995900.0,ns,8
heavy_compute,specs,,,,4913500.0,ns,10
heavy_compute,specs,,,,6148600.0,ns,12
heavy_compute,specs,,,,6966400.0,ns,14
heavy_compute,specs,,,,8077900.0,ns,16
heavy_compute,specs,,,,8962900.0,ns,18
heavy_compute,specs,,,,9917800.0,ns,20
heavy_compute,specs,,,,10955900.0,ns,22
heavy_compute,specs,,,,11932900.0,ns,24
heavy_compute,specs,,,,13077600.0,ns,26
heavy_compute,specs,,,,14272100.0,ns,28
heavy_compute,specs,,,,14848900.0,ns,30
heavy_compute,specs,,,,15902000.0,ns,32
heavy_compute,specs,,,,17181700.0,ns,34
heavy_compute,specs,,,,17771000.0,ns,36
heavy_compute,specs,,,,19406600.0,ns,38
heavy_compute,specs,,,,19831500.0,ns,40
heavy_compute,specs,,,,21554700.0,ns,42
heavy_compute,specs,,,,21785600.0,ns,44
heavy_compute,specs,,,,22770900.0,ns,46
heavy_compute,specs,,,,24244500.0,ns,48
heavy_compute,specs,,,,24844700.0,ns,50
heavy_compute,specs,,,,25752300.0,ns,52
heavy_compute,specs,,,,26809500.0,ns,54
heavy_compute,specs,,,,27963300.0,ns,56
heavy_compute,specs,,,,28919100.0,ns,58
heavy_compute,specs,,,,29858400.0,ns,60
heavy_compute,specs,,,,31000800.0,ns,62
heavy_compute,specs,,,,31865000.0,ns,64
heavy_compute,specs,,,,32698600.0,ns,66
heavy_compute,specs,,,,33730900.0,ns,68
heavy_compute,specs,,,,34807700.0,ns,70
heavy_compute,specs,,,,36168500.0,ns,72
heavy_compute,specs,,,,36933500.0,ns,74
heavy_compute,specs,,,,37998100.0,ns,76
heavy_compute,specs,,,,39029300.0,ns,78
heavy_compute,specs,,,,39998700.0,ns,80
heavy_compute,specs,,,,40742800.0,ns,82
heavy_compute,specs,,,,42136400.0,ns,84
heavy_compute,specs,,,,42728600.0,ns,86
heavy_compute,specs,,,,43810100.0,ns,88
heavy_compute,specs,,,,44827900.0,ns,90
heavy_compute,specs,,,,45975400.0,ns,92
heavy_compute,specs,,,,48234100.0,ns,94
heavy_compute,specs,,,,47702700.0,ns,96
heavy_compute,specs,,,,48931400.0,ns,98
heavy_compute,specs,,,,49880800.0,ns,100
heavy_compute,specs,,,,51007800.0,ns,102
heavy_compute,specs,,,,51574800.0,ns,104
heavy_compute,specs,,,,52847600.0,ns,106
heavy_compute,specs,,,,54164800.0,ns,108
heavy_compute,specs,,,,54731000.0,ns,110
heavy_compute,specs,,,,56024200.0,ns,112
heavy_compute,specs,,,,56622000.0,ns,114
heavy_compute,specs,,,,57591100.0,ns,116
heavy_compute,specs,,,,59506600.0,ns,118
heavy_compute,specs,,,,59919100.0,ns,120
heavy_compute,specs,,,,60995400.0,ns,122
heavy_compute,specs,,,,61894400.0,ns,124
heavy_compute,specs,,,,62412200.0,ns,126
heavy_compute,specs,,,,64046200.0,ns,128
heavy_compute,specs,,,,65029300.0,ns,130
heavy_compute,specs,,,,66899900.0,ns,132
heavy_compute,specs,,,,67012200.0,ns,134
heavy_compute,specs,,,,67794900.0,ns,136
heavy_compute,specs,,,,69398300.0,ns,138
heavy_compute,specs,,,,69660700.0,ns,140
heavy_compute,specs,,,,71014700.0,ns,142
heavy_compute,specs,,,,71423000.0,ns,144
heavy_compute,specs,,,,72580300.0,ns,146
heavy_compute,specs,,,,73600500.0,ns,148
heavy_compute,specs,,,,74578300.0,ns,150
heavy_compute,specs,,,,75699300.0,ns,152
heavy_compute,specs,,,,77101600.0,ns,154
heavy_compute,specs,,,,78301800.0,ns,156
heavy_compute,specs,,,,79407400.0,ns,158
heavy_compute,specs,,,,80900900.0,ns,160
heavy_compute,specs,,,,80907000.0,ns,162
heavy_compute,specs,,,,82341800.0,ns,164
heavy_compute,specs,,,,83096200.0,ns,166
heavy_compute,specs,,,,84703700.0,ns,168
heavy_compute,specs,,,,84755000.0,ns,170
heavy_compute,specs,,,,85770800.0,ns,172
heavy_compute,specs,,,,86628600.0,ns,174
heavy_compute,specs,,,,87823700.0,ns,176
heavy_compute,specs,,,,88852700.0,ns,178
heavy_compute,specs,,,,90549800.0,ns,180
heavy_compute,specs,,,,91079500.0,ns,182
heavy_compute,specs,,,,91947400.0,ns,184
heavy_compute,specs,,,,93350200.0,ns,186
heavy_compute,specs,,,,93774200.0,ns,188
heavy_compute,specs,,,,94286400.0,ns,190
heavy_compute,specs,,,,95532600.0,ns,192
heavy_compute,specs,,,,96586300.0,ns,194
heavy_compute,specs,,,,97952000.0,ns,196
heavy_compute,specs,,,,99082800.0,ns,198
heavy_compute,specs,,,,100065800.0,ns,200
