group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heavy_compute,specs,,,,1036600.0,ns,2
heavy_compute,specs,,,,2033800.0,ns,4
heavy_compute,specs,,,,3026700.0,ns,6
heavy_compute,specs,,,,4059300.0,ns,8
heavy_compute,specs,,,,5114200.0,ns,10
heavy_compute,specs,,,,6188600.0,ns,12
heavy_compute,specs,,,,7200600.0,ns,14
heavy_compute,specs,,,,8108000.0,ns,16
heavy_compute,specs,,,,9233200.0,ns,18
heavy_compute,specs,,,,10347500.0,ns,20
heavy_compute,specs,,,,11128900.0,ns,22
heavy_compute,specs,,,,12157700.0,ns,24
heavy_compute,specs,,,,13552900.0,ns,26
heavy_compute,specs,,,,14068400.0,ns,28
heavy_compute,specs,,,,15170100.0,ns,30
heavy_compute,specs,,,,16240200.0,ns,32
heavy_compute,specs,,,,17359300.0,ns,34
heavy_compute,specs,,,,18434500.0,ns,36
heavy_compute,specs,,,,19753800.0,ns,38
heavy_compute,specs,,,,20259600.0,ns,40
heavy_compute,specs,,,,21647400.0,ns,42
heavy_compute,specs,,,,22747000.0,ns,44
heavy_compute,specs,,,,23332300.0,ns,46
heavy_compute,specs,,,,24350700.0,ns,48
heavy_compute,specs,,,,25296700.0,ns,50
heavy_compute,specs,,,,26801400.0,ns,52
heavy_compute,specs,,,,27520600.0,ns,54
heavy_compute,specs,,,,28780900.0,ns,56
heavy_compute,specs,,,,29835500.0,ns,58
heavy_compute,specs,,,,30744400.0,ns,60
heavy_compute,specs,,,,32018800.0,ns,62
heavy_compute,specs,,,,32555100.0,ns,64
heavy_compute,specs,,,,33312500.0,ns,66
heavy_compute,specs,,,,34744300.0,ns,68
heavy_compute,specs,,,,35501500.0,ns,70
heavy_compute,specs,,,,36718100.0,ns,72
heavy_compute,specs,,,,37691300.0,ns,74
heavy_compute,specs,,,,38444100.0,ns,76
heavy_compute,specs,,,,39972400.0,ns,78
heavy_compute,specs,,,,40632800.0,ns,80
heavy_compute,specs,,,,41540700.0,ns,82
heavy_compute,specs,,,,43133700.0,ns,84
heavy_compute,specs,,,,43857700.0,ns,86
heavy_compute,specs,,,,44592900.0,ns,88
heavy_compute,specs,,,,45988100.0,ns,90
heavy_compute,specs,,,,47022400.0,ns,92
heavy_compute,specs,,,,48156000.0,ns,94
heavy_compute,specs,,,,48636500.0,ns,96
heavy_compute,specs,,,,50380700.0,ns,98
heavy_compute,specs,,,,50952100.0,ns,100
heavy_compute,specs,,,,51807400.0,ns,102
heavy_compute,specs,,,,53328200.0,ns,104
heavy_compute,specs,,,,54010400.0,ns,106
heavy_compute,specs,,,,55677800.0,ns,108
heavy_compute,specs,,,,56362900.0,ns,110
heavy_compute,specs,,,,56913000.0,ns,112
heavy_compute,specs,,,,58504800.0,ns,114
heavy_compute,specs,,,,59374100.0,ns,116
heavy_compute,specs,,,,59700200.0,ns,118
heavy_compute,specs,,,,61125300.0,ns,120
heavy_compute,specs,,,,62486800.0,ns,122
heavy_compute,specs,,,,62925400.0,ns,124
heavy_compute,specs,,,,64346200.0,ns,126
heavy_compute,specs,,,,65374600.0,ns,128
heavy_compute,specs,,,,66357100.0,ns,130
heavy_compute,specs,,,,67024900.0,ns,132
heavy_compute,specs,,,,68838300.0,ns,134
heavy_compute,specs,,,,68927800.0,ns,136
heavy_compute,specs,,,,70650000.0,ns,138
heavy_compute,specs,,,,71648400.0,ns,140
heavy_compute,specs,,,,72646400.0,ns,142
heavy_compute,specs,,,,73326300.0,ns,144
heavy_compute,specs,,,,74420800.0,ns,146
heavy_compute,specs,,,,75732700.0,ns,148
heavy_compute,specs,,,,76442100.0,ns,150
heavy_compute,specs,,,,77460300.0,ns,152
heavy_compute,specs,,,,79663800.0,ns,154
heavy_compute,specs,,,,79525200.0,ns,156
heavy_compute,specs,,,,80502300.0,ns,158
heavy_compute,specs,,,,81203500.0,ns,160
heavy_compute,specs,,,,82674000.0,ns,162
heavy_compute,specs,,,,84249200.0,ns,164
heavy_compute,specs,,,,84426800.0,ns,166
heavy_compute,specs,,,,85690700.0,ns,168
heavy_compute,specs,,,,86431000.0,ns,170
heavy_compute,specs,,,,87731200.0,ns,172
heavy_compute,specs,,,,88181300.0,ns,174
heavy_compute,specs,,,,89284500.0,ns,176
heavy_compute,specs,,,,90706900.0,ns,178
heavy_compute,specs,,,,91658500.0,ns,180
heavy_compute,specs,,,,92757500.0,ns,182
heavy_compute,specs,,,,93969400.0,ns,184
heavy_compute,specs,,,,95258300.0,ns,186
heavy_compute,specs,,,,95984300.0,ns,188
heavy_compute,specs,,,,96950200.0,ns,190
heavy_compute,specs,,,,97813400.0,ns,192
heavy_compute,specs,,,,98972200.0,ns,194
heavy_compute,specs,,,,100197600.0,ns,196
heavy_compute,specs,,,,100477000.0,ns,198
heavy_compute,specs,,,,102152200.0,ns,200
