group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,bevy,,,,1357100.0,ns,4
parallel_light_compute,bevy,,,,2690100.0,ns,8
parallel_light_compute,bevy,,,,4006700.0,ns,12
parallel_light_compute,bevy,,,,5149500.0,ns,16
parallel_light_compute,bevy,,,,7171100.0,ns,20
parallel_light_compute,bevy,,,,8144100.0,ns,24
parallel_light_compute,bevy,,,,8900600.0,ns,28
parallel_light_compute,bevy,,,,10475300.0,ns,32
parallel_light_compute,bevy,,,,11116000.0,ns,36
parallel_light_compute,bevy,,,,12313900.0,ns,40
parallel_light_compute,bevy,,,,13603900.0,ns,44
parallel_light_compute,bevy,,,,14607400.0,ns,48
parallel_light_compute,bevy,,,,15677500.0,ns,52
parallel_light_compute,bevy,,,,17388400.0,ns,56
parallel_light_compute,bevy,,,,18304900.0,ns,60
parallel_light_compute,bevy,,,,19751700.0,ns,64
parallel_light_compute,bevy,,,,20595300.0,ns,68
parallel_light_compute,bevy,,,,21805100.0,ns,72
parallel_light_compute,bevy,,,,22629600.0,ns,76
parallel_light_compute,bevy,,,,24341800.0,ns,80
parallel_light_compute,bevy,,,,24899400.0,ns,84
parallel_light_compute,bevy,,,,25899900.0,ns,88
parallel_light_compute,bevy,,,,28000200.0,ns,92
parallel_light_compute,bevy,,,,28735600.0,ns,96
parallel_light_compute,bevy,,,,30662800.0,ns,100
parallel_light_compute,bevy,,,,32249700.0,ns,104
parallel_light_compute,bevy,,,,33242600.0,ns,108
parallel_light_compute,bevy,,,,34618200.0,ns,112
parallel_light_compute,bevy,,,,35918100.0,ns,116
parallel_light_compute,bevy,,,,38140800.0,ns,120
parallel_light_compute,bevy,,,,37866300.0,ns,124
parallel_light_compute,bevy,,,,40298300.0,ns,128
parallel_light_compute,bevy,,,,40235800.0,ns,132
parallel_light_compute,bevy,,,,40106400.0,ns,136
parallel_light_compute,bevy,,,,41506900.0,ns,140
parallel_light_compute,bevy,,,,43755700.0,ns,144
parallel_light_compute,bevy,,,,44199400.0,ns,148
parallel_light_compute,bevy,,,,45110700.0,ns,152
parallel_light_compute,bevy,,,,46781900.0,ns,156
parallel_light_compute,bevy,,,,47331000.0,ns,160
parallel_light_compute,bevy,,,,48320100.0,ns,164
parallel_light_compute,bevy,,,,51290300.0,ns,168
parallel_light_compute,bevy,,,,52269600.0,ns,172
parallel_light_compute,bevy,,,,53933700.0,ns,176
parallel_light_compute,bevy,,,,54791700.0,ns,180
parallel_light_compute,bevy,,,,55685700.0,ns,184
parallel_light_compute,bevy,,,,55755500.0,ns,188
parallel_light_compute,bevy,,,,57179800.0,ns,192
parallel_light_compute,bevy,,,,60338300.0,ns,196
parallel_light_compute,bevy,,,,61714000.0,ns,200
parallel_light_compute,bevy,,,,62137900.0,ns,204
parallel_light_compute,bevy,,,,63587000.0,ns,208
parallel_light_compute,bevy,,,,63210000.0,ns,212
parallel_light_compute,bevy,,,,64370000.0,ns,216
parallel_light_compute,bevy,,,,65744200.0,ns,220
parallel_light_compute,bevy,,,,67672900.0,ns,224
parallel_light_compute,bevy,,,,68032600.0,ns,228
parallel_light_compute,bevy,,,,69301900.0,ns,232
parallel_light_compute,bevy,,,,70946400.0,ns,236
parallel_light_compute,bevy,,,,71211400.0,ns,240
parallel_light_compute,bevy,,,,73172800.0,ns,244
parallel_light_compute,bevy,,,,74640700.0,ns,248
parallel_light_compute,bevy,,,,76409400.0,ns,252
parallel_light_compute,bevy,,,,78944500.0,ns,256
parallel_light_compute,bevy,,,,79551200.0,ns,260
parallel_light_compute,bevy,,,,80267700.0,ns,264
parallel_light_compute,bevy,,,,79321500.0,ns,268
parallel_light_compute,bevy,,,,82351800.0,ns,272
parallel_light_compute,bevy,,,,83322000.0,ns,276
parallel_light_compute,bevy,,,,82954000.0,ns,280
parallel_light_compute,bevy,,,,86491200.0,ns,284
parallel_light_compute,bevy,,,,88772000.0,ns,288
parallel_light_compute,bevy,,,,88610900.0,ns,292
parallel_light_compute,bevy,,,,90998500.0,ns,296
parallel_light_compute,bevy,,,,90870900.0,ns,300
parallel_light_compute,bevy,,,,91061600.0,ns,304
parallel_light_compute,bevy,,,,91705900.0,ns,308
parallel_light_compute,bevy,,,,93435300.0,ns,312
parallel_light_compute,bevy,,,,95998700.0,ns,316
parallel_light_compute,bevy,,,,97948400.0,ns,320
parallel_light_compute,bevy,,,,97279300.0,ns,324
parallel_light_compute,bevy,,,,98518900.0,ns,328
parallel_light_compute,bevy,,,,100885800.0,ns,332
parallel_light_compute,bevy,,,,103759200.0,ns,336
parallel_light_compute,bevy,,,,105696900.0,ns,340
parallel_light_compute,bevy,,,,105965900.0,ns,344
parallel_light_compute,bevy,,,,104893300.0,ns,348
parallel_light_compute,bevy,,,,109291200.0,ns,352
parallel_light_compute,bevy,,,,110689300.0,ns,356
parallel_light_compute,bevy,,,,112872300.0,ns,360
parallel_light_compute,bevy,,,,113632500.0,ns,364
parallel_light_compute,bevy,,,,113213100.0,ns,368
parallel_light_compute,bevy,,,,114772500.0,ns,372
parallel_light_compute,bevy,,,,119567500.0,ns,376
parallel_light_compute,bevy,,,,117609400.0,ns,380
parallel_light_compute,bevy,,,,118936600.0,ns,384
parallel_light_compute,bevy,,,,121281600.0,ns,388
parallel_light_compute,bevy,,,,122025700.0,ns,392
parallel_light_compute,bevy,,,,125904100.0,ns,396
parallel_light_compute,bevy,,,,127951600.0,ns,400
