group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,bevy,,,,1018700.0,ns,8
parallel_light_compute,bevy,,,,2039600.0,ns,16
parallel_light_compute,bevy,,,,3099800.0,ns,24
parallel_light_compute,bevy,,,,4136800.0,ns,32
parallel_light_compute,bevy,,,,5206800.0,ns,40
parallel_light_compute,bevy,,,,6194600.0,ns,48
parallel_light_compute,bevy,,,,7532300.0,ns,56
parallel_light_compute,bevy,,,,9182000.0,ns,64
parallel_light_compute,bevy,,,,9256200.0,ns,72
parallel_light_compute,bevy,,,,10308800.0,ns,80
parallel_light_compute,bevy,,,,11342600.0,ns,88
parallel_light_compute,bevy,,,,12242900.0,ns,96
parallel_light_compute,bevy,,,,13443000.0,ns,104
parallel_light_compute,bevy,,,,14499700.0,ns,112
parallel_light_compute,bevy,,,,15497000.0,ns,120
parallel_light_compute,bevy,,,,16371100.0,ns,128
parallel_light_compute,bevy,,,,17539100.0,ns,136
parallel_light_compute,bevy,,,,18200200.0,ns,144
parallel_light_compute,bevy,,,,19554500.0,ns,152
parallel_light_compute,bevy,,,,20435800.0,ns,160
parallel_light_compute,bevy,,,,21963400.0,ns,168
parallel_light_compute,bevy,,,,23074600.0,ns,176
parallel_light_compute,bevy,,,,23704700.0,ns,184
parallel_light_compute,bevy,,,,24807600.0,ns,192
parallel_light_compute,bevy,,,,26191900.0,ns,200
parallel_light_compute,bevy,,,,26950200.0,ns,208
parallel_light_compute,bevy,,,,27986900.0,ns,216
parallel_light_compute,bevy,,,,29312100.0,ns,224
parallel_light_compute,bevy,,,,30010400.0,ns,232
parallel_light_compute,bevy,,,,30515300.0,ns,240
parallel_light_compute,bevy,,,,32553300.0,ns,248
parallel_light_compute,bevy,,,,32645800.0,ns,256
parallel_light_compute,bevy,,,,34182100.0,ns,264
parallel_light_compute,bevy,,,,35218300.0,ns,272
parallel_light_compute,bevy,,,,36266900.0,ns,280
parallel_light_compute,bevy,,,,37456400.0,ns,288
parallel_light_compute,bevy,,,,38299400.0,ns,296
parallel_light_compute,bevy,,,,38867700.0,ns,304
parallel_light_compute,bevy,,,,40027900.0,ns,312
parallel_light_compute,bevy,,,,40987800.0,ns,320
parallel_light_compute,bevy,,,,42768700.0,ns,328
parallel_light_compute,bevy,,,,42543900.0,ns,336
parallel_light_compute,bevy,,,,45389100.0,ns,344
parallel_light_compute,bevy,,,,45128600.0,ns,352
parallel_light_compute,bevy,,,,46752500.0,ns,360
parallel_light_compute,bevy,,,,48168700.0,ns,368
parallel_light_compute,bevy,,,,49690200.0,ns,376
parallel_light_compute,bevy,,,,49800900.0,ns,384
parallel_light_compute,bevy,,,,51067000.0,ns,392
parallel_light_compute,bevy,,,,52883300.0,ns,400
parallel_light_compute,bevy,,,,53049800.0,ns,408
parallel_light_compute,bevy,,,,53171300.0,ns,416
parallel_light_compute,bevy,,,,55582500.0,ns,424
parallel_light_compute,bevy,,,,55689800.0,ns,432
parallel_light_compute,bevy,,,,57231100.0,ns,440
parallel_light_compute,bevy,,,,58001600.0,ns,448
parallel_light_compute,bevy,,,,58950700.0,ns,456
parallel_light_compute,bevy,,,,60008400.0,ns,464
parallel_light_compute,bevy,,,,60531400.0,ns,472
parallel_light_compute,bevy,,,,62466900.0,ns,480
parallel_light_compute,bevy,,,,63666000.0,ns,488
parallel_light_compute,bevy,,,,63835200.0,ns,496
parallel_light_compute,bevy,,,,65140300.0,ns,504
parallel_light_compute,bevy,,,,66225300.0,ns,512
parallel_light_compute,bevy,,,,66919600.0,ns,520
parallel_light_compute,bevy,,,,69555600.0,ns,528
parallel_light_compute,bevy,,,,69253300.0,ns,536
parallel_light_compute,bevy,,,,69743500.0,ns,544
parallel_light_compute,bevy,,,,71478700.0,ns,552
parallel_light_compute,bevy,,,,72556400.0,ns,560
parallel_light_compute,bevy,,,,72870300.0,ns,568
parallel_light_compute,bevy,,,,74076100.0,ns,576
parallel_light_compute,bevy,,,,75404700.0,ns,584
parallel_light_compute,bevy,,,,77118500.0,ns,592
parallel_light_compute,bevy,,,,76978400.0,ns,600
parallel_light_compute,bevy,,,,78271100.0,ns,608
parallel_light_compute,bevy,,,,79172200.0,ns,616
parallel_light_compute,bevy,,,,81363600.0,ns,624
parallel_light_compute,bevy,,,,81655700.0,ns,632
parallel_light_compute,bevy,,,,82944500.0,ns,640
parallel_light_compute,bevy,,,,84263000.0,ns,648
parallel_light_compute,bevy,,,,85250600.0,ns,656
parallel_light_compute,bevy,,,,85886100.0,ns,664
parallel_light_compute,bevy,,,,86485500.0,ns,672
parallel_light_compute,bevy,,,,88195100.0,ns,680
parallel_light_compute,bevy,,,,89670600.0,ns,688
parallel_light_compute,bevy,,,,90811100.0,ns,696
parallel_light_compute,bevy,,,,91726800.0,ns,704
parallel_light_compute,bevy,,,,91850200.0,ns,712
parallel_light_compute,bevy,,,,94620100.0,ns,720
parallel_light_compute,bevy,,,,93648500.0,ns,728
parallel_light_compute,bevy,,,,94876000.0,ns,736
parallel_light_compute,bevy,,,,96073100.0,ns,744
parallel_light_compute,bevy,,,,96262000.0,ns,752
parallel_light_compute,bevy,,,,98326500.0,ns,760
parallel_light_compute,bevy,,,,99117200.0,ns,768
parallel_light_compute,bevy,,,,100750200.0,ns,776
parallel_light_compute,bevy,,,,101728100.0,ns,784
parallel_light_compute,bevy,,,,104832900.0,ns,792
parallel_light_compute,bevy,,,,104463200.0,ns,800
