group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,hecs,,,,1133800.0,ns,6
parallel_light_compute,hecs,,,,2258000.0,ns,12
parallel_light_compute,hecs,,,,3336100.0,ns,18
parallel_light_compute,hecs,,,,4516200.0,ns,24
parallel_light_compute,hecs,,,,5814800.0,ns,30
parallel_light_compute,hecs,,,,6408300.0,ns,36
parallel_light_compute,hecs,,,,7197900.0,ns,42
parallel_light_compute,hecs,,,,8670000.0,ns,48
parallel_light_compute,hecs,,,,10560700.0,ns,54
parallel_light_compute,hecs,,,,11105200.0,ns,60
parallel_light_compute,hecs,,,,12131400.0,ns,66
parallel_light_compute,hecs,,,,14028100.0,ns,72
parallel_light_compute,hecs,,,,14585900.0,ns,78
parallel_light_compute,hecs,,,,14760300.0,ns,84
parallel_light_compute,hecs,,,,16706200.0,ns,90
parallel_light_compute,hecs,,,,15870200.0,ns,96
parallel_light_compute,hecs,,,,19118800.0,ns,102
parallel_light_compute,hecs,,,,20192800.0,ns,108
parallel_light_compute,hecs,,,,21851300.0,ns,114
parallel_light_compute,hecs,,,,21855700.0,ns,120
parallel_light_compute,hecs,,,,24184900.0,ns,126
parallel_light_compute,hecs,,,,24228800.0,ns,132
parallel_light_compute,hecs,,,,26000300.0,ns,138
parallel_light_compute,hecs,,,,26181600.0,ns,144
parallel_light_compute,hecs,,,,28052200.0,ns,150
parallel_light_compute,hecs,,,,28439200.0,ns,156
parallel_light_compute,hecs,,,,28801700.0,ns,162
parallel_light_compute,hecs,,,,30117900.0,ns,168
parallel_light_compute,hecs,,,,30100100.0,ns,174
parallel_light_compute,hecs,,,,31815900.0,ns,180
parallel_light_compute,hecs,,,,33011500.0,ns,186
parallel_light_compute,hecs,,,,32063900.0,ns,192
parallel_light_compute,hecs,,,,35344000.0,ns,198
parallel_light_compute,hecs,,,,36019400.0,ns,204
parallel_light_compute,hecs,,,,39503800.0,ns,210
parallel_light_compute,hecs,,,,40132000.0,ns,216
parallel_light_compute,hecs,,,,40253700.0,ns,222
parallel_light_compute,hecs,,,,40571300.0,ns,228
parallel_light_compute,hecs,,,,44315600.0,ns,234
parallel_light_compute,hecs,,,,43685700.0,ns,240
parallel_light_compute,hecs,,,,45844900.0,ns,246
parallel_light_compute,hecs,,,,47447600.0,ns,252
parallel_light_compute,hecs,,,,47480000.0,ns,258
parallel_light_compute,hecs,,,,49393500.0,ns,264
parallel_light_compute,hecs,,,,49845000.0,ns,270
parallel_light_compute,hecs,,,,50918500.0,ns,276
parallel_light_compute,hecs,,,,46005100.0,ns,282
parallel_light_compute,hecs,,,,50289200.0,ns,288
parallel_light_compute,hecs,,,,51955900.0,ns,294
parallel_light_compute,hecs,,,,51120700.0,ns,300
parallel_light_compute,hecs,,,,54028200.0,ns,306
parallel_light_compute,hecs,,,,59349600.0,ns,312
parallel_light_compute,hecs,,,,58500400.0,ns,318
parallel_light_compute,hecs,,,,60554800.0,ns,324
parallel_light_compute,hecs,,,,61333700.0,ns,330
parallel_light_compute,hecs,,,,62713400.0,ns,336
parallel_light_compute,hecs,,,,64088700.0,ns,342
parallel_light_compute,hecs,,,,64329700.0,ns,348
parallel_light_compute,hecs,,,,65601700.0,ns,354
parallel_light_compute,hecs,,,,66603800.0,ns,360
parallel_light_compute,hecs,,,,64092500.0,ns,366
parallel_light_compute,hecs,,,,68828300.0,ns,372
parallel_light_compute,hecs,,,,68090700.0,ns,378
parallel_light_compute,hecs,,,,72140000.0,ns,384
parallel_light_compute,hecs,,,,72648200.0,ns,390
parallel_light_compute,hecs,,,,74048400.0,ns,396
parallel_light_compute,hecs,,,,72452800.0,ns,402
parallel_light_compute,hecs,,,,72655600.0,ns,408
parallel_light_compute,hecs,,,,73160500.0,ns,414
parallel_light_compute,hecs,,,,77060100.0,ns,420
parallel_light_compute,hecs,,,,79541300.0,ns,426
parallel_light_compute,hecs,,,,81954000.0,ns,432
parallel_light_compute,hecs,,,,81554500.0,ns,438
parallel_light_compute,hecs,,,,80521700.0,ns,444
parallel_light_compute,hecs,,,,83551300.0,ns,450
parallel_light_compute,hecs,,,,85467000.0,ns,456
parallel_light_compute,hecs,,,,86493300.0,ns,462
parallel_light_compute,hecs,,,,86917900.0,ns,468
parallel_light_compute,hecs,,,,85305500.0,ns,474
parallel_light_compute,hecs,,,,90966400.0,ns,480
parallel_light_compute,hecs,,,,90546600.0,ns,486
parallel_light_compute,hecs,,,,92775600.0,ns,492
parallel_light_compute,hecs,,,,92787900.0,ns,498
parallel_light_compute,hecs,,,,93973300.0,ns,504
parallel_light_compute,hecs,,,,94513100.0,ns,510
parallel_light_compute,hecs,,,,93532700.0,ns,516
parallel_light_compute,hecs,,,,91500100.0,ns,522
parallel_light_compute,hecs,,,,90893200.0,ns,528
parallel_light_compute,hecs,,,,94419800.0,ns,534
parallel_light_compute,hecs,,,,100701100.0,ns,540
parallel_light_compute,hecs,,,,100468100.0,ns,546
parallel_light_compute,hecs,,,,102238200.0,ns,552
parallel_light_compute,hecs,,,,102157200.0,ns,558
parallel_light_compute,hecs,,,,104385400.0,ns,564
parallel_light_compute,hecs,,,,103365100.0,ns,570
parallel_light_compute,hecs,,,,102868000.0,ns,576
parallel_light_compute,hecs,,,,108468100.0,ns,582
parallel_light_compute,hecs,,,,108142100.0,ns,588
parallel_light_compute,hecs,,,,110426600.0,ns,594
parallel_light_compute,hecs,,,,109036500.0,ns,600
