group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,hecs,,,,1072200.0,ns,6
parallel_light_compute,hecs,,,,1806400.0,ns,12
parallel_light_compute,hecs,,,,2933100.0,ns,18
parallel_light_compute,hecs,,,,4146500.0,ns,24
parallel_light_compute,hecs,,,,5181200.0,ns,30
parallel_light_compute,hecs,,,,5961500.0,ns,36
parallel_light_compute,hecs,,,,7152100.0,ns,42
parallel_light_compute,hecs,,,,7942500.0,ns,48
parallel_light_compute,hecs,,,,8883700.0,ns,54
parallel_light_compute,hecs,,,,10149000.0,ns,60
parallel_light_compute,hecs,,,,11192000.0,ns,66
parallel_light_compute,hecs,,,,11886900.0,ns,72
parallel_light_compute,hecs,,,,12823200.0,ns,78
parallel_light_compute,hecs,,,,14020700.0,ns,84
parallel_light_compute,hecs,,,,14266100.0,ns,90
parallel_light_compute,hecs,,,,15427100.0,ns,96
parallel_light_compute,hecs,,,,16684900.0,ns,102
parallel_light_compute,hecs,,,,18048600.0,ns,108
parallel_light_compute,hecs,,,,18954500.0,ns,114
parallel_light_compute,hecs,,,,19464100.0,ns,120
parallel_light_compute,hecs,,,,20643400.0,ns,126
parallel_light_compute,hecs,,,,21224600.0,ns,132
parallel_light_compute,hecs,,,,22481500.0,ns,138
parallel_light_compute,hecs,,,,23523600.0,ns,144
parallel_light_compute,hecs,,,,24420300.0,ns,150
parallel_light_compute,hecs,,,,26096700.0,ns,156
parallel_light_compute,hecs,,,,25649100.0,ns,162
parallel_light_compute,hecs,,,,26199800.0,ns,168
parallel_light_compute,hecs,,,,26935100.0,ns,174
parallel_light_compute,hecs,,,,27408500.0,ns,180
parallel_light_compute,hecs,,,,28252500.0,ns,186
parallel_light_compute,hecs,,,,29516800.0,ns,192
parallel_light_compute,hecs,,,,32413600.0,ns,198
parallel_light_compute,hecs,,,,33495600.0,ns,204
parallel_light_compute,hecs,,,,34675900.0,ns,210
parallel_light_compute,hecs,,,,35543200.0,ns,216
parallel_light_compute,hecs,,,,36540500.0,ns,222
parallel_light_compute,hecs,,,,37830100.0,ns,228
parallel_light_compute,hecs,,,,38274200.0,ns,234
parallel_light_compute,hecs,,,,38427900.0,ns,240
parallel_light_compute,hecs,,,,39881700.0,ns,246
parallel_light_compute,hecs,,,,41119400.0,ns,252
parallel_light_compute,hecs,,,,42967400.0,ns,258
parallel_light_compute,hecs,,,,43764000.0,ns,264
parallel_light_compute,hecs,,,,43882800.0,ns,270
parallel_light_compute,hecs,,,,45010000.0,ns,276
parallel_light_compute,hecs,,,,45740200.0,ns,282
parallel_light_compute,hecs,,,,47991000.0,ns,288
parallel_light_compute,hecs,,,,47869700.0,ns,294
parallel_light_compute,hecs,,,,49166000.0,ns,300
parallel_light_compute,hecs,,,,49850900.0,ns,306
parallel_light_compute,hecs,,,,51562200.0,ns,312
parallel_light_compute,hecs,,,,51631700.0,ns,318
parallel_light_compute,hecs,,,,53858600.0,ns,324
parallel_light_compute,hecs,,,,54767500.0,ns,330
parallel_light_compute,hecs,,,,54676900.0,ns,336
parallel_light_compute,hecs,,,,55682600.0,ns,342
parallel_light_compute,hecs,,,,58584700.0,ns,348
parallel_light_compute,hecs,,,,58601700.0,ns,354
parallel_light_compute,hecs,,,,59399100.0,ns,360
parallel_light_compute,hecs,,,,59776800.0,ns,366
parallel_light_compute,hecs,,,,61014300.0,ns,372
parallel_light_compute,hecs,,,,61890300.0,ns,378
parallel_light_compute,hecs,,,,62924600.0,ns,384
parallel_light_compute,hecs,,,,64246000.0,ns,390
parallel_light_compute,hecs,,,,64274400.0,ns,396
parallel_light_compute,hecs,,,,65515000.0,ns,402
parallel_light_compute,hecs,,,,66420500.0,ns,408
parallel_light_compute,hecs,,,,67679400.0,ns,414
parallel_light_compute,hecs,,,,69069500.0,ns,420
parallel_light_compute,hecs,,,,70694400.0,ns,426
parallel_light_compute,hecs,,,,70580900.0,ns,432
parallel_light_compute,hecs,,,,72533100.0,ns,438
parallel_light_compute,hecs,,,,72487400.0,ns,444
parallel_light_compute,hecs,,,,74063000.0,ns,450
parallel_light_compute,hecs,,,,75069600.0,ns,456
parallel_light_compute,hecs,,,,75913300.0,ns,462
parallel_light_compute,hecs,,,,75934400.0,ns,468
parallel_light_compute,hecs,,,,77415300.0,ns,474
parallel_light_compute,hecs,,,,79283600.0,ns,480
parallel_light_compute,hecs,,,,79705300.0,ns,486
parallel_light_compute,hecs,,,,79645300.0,ns,492
parallel_light_compute,hecs,,,,80758400.0,ns,498
parallel_light_compute,hecs,,,,82148500.0,ns,504
parallel_light_compute,hecs,,,,83436400.0,ns,510
parallel_light_compute,hecs,,,,84712500.0,ns,516
parallel_light_compute,hecs,,,,86283700.0,ns,522
parallel_light_compute,hecs,,,,86976700.0,ns,528
parallel_light_compute,hecs,,,,86763000.0,ns,534
parallel_light_compute,hecs,,,,89523600.0,ns,540
parallel_light_compute,hecs,,,,90104900.0,ns,546
parallel_light_compute,hecs,,,,91248900.0,ns,552
parallel_light_compute,hecs,,,,91826700.0,ns,558
parallel_light_compute,hecs,,,,89355000.0,ns,564
parallel_light_compute,hecs,,,,93495600.0,ns,570
parallel_light_compute,hecs,,,,94436900.0,ns,576
parallel_light_compute,hecs,,,,95611800.0,ns,582
parallel_light_compute,hecs,,,,96398000.0,ns,588
parallel_light_compute,hecs,,,,97561700.0,ns,594
parallel_light_compute,hecs,,,,98947000.0,ns,600
