group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion (packed),,,,1109000.0,ns,7
parallel_light_compute,legion (packed),,,,2116800.0,ns,14
parallel_light_compute,legion (packed),,,,3018300.0,ns,21
parallel_light_compute,legion (packed),,,,4131100.0,ns,28
parallel_light_compute,legion (packed),,,,5323600.0,ns,35
parallel_light_compute,legion (packed),,,,6455800.0,ns,42
parallel_light_compute,legion (packed),,,,6981000.0,ns,49
parallel_light_compute,legion (packed),,,,7953600.0,ns,56
parallel_light_compute,legion (packed),,,,9202200.0,ns,63
parallel_light_compute,legion (packed),,,,10147400.0,ns,70
parallel_light_compute,legion (packed),,,,11412200.0,ns,77
parallel_light_compute,legion (packed),,,,11713900.0,ns,84
parallel_light_compute,legion (packed),,,,13197000.0,ns,91
parallel_light_compute,legion (packed),,,,13675800.0,ns,98
parallel_light_compute,legion (packed),,,,14740000.0,ns,105
parallel_light_compute,legion (packed),,,,15958200.0,ns,112
parallel_light_compute,legion (packed),,,,16715300.0,ns,119
parallel_light_compute,legion (packed),,,,17630700.0,ns,126
parallel_light_compute,legion (packed),,,,19034500.0,ns,133
parallel_light_compute,legion (packed),,,,19815900.0,ns,140
parallel_light_compute,legion (packed),,,,21912400.0,ns,147
parallel_light_compute,legion (packed),,,,22029200.0,ns,154
parallel_light_compute,legion (packed),,,,23260400.0,ns,161
parallel_light_compute,legion (packed),,,,24607000.0,ns,168
parallel_light_compute,legion (packed),,,,25381400.0,ns,175
parallel_light_compute,legion (packed),,,,26453600.0,ns,182
parallel_light_compute,legion (packed),,,,27967200.0,ns,189
parallel_light_compute,legion (packed),,,,28949500.0,ns,196
parallel_light_compute,legion (packed),,,,30408200.0,ns,203
parallel_light_compute,legion (packed),,,,32218400.0,ns,210
parallel_light_compute,legion (packed),,,,31786500.0,ns,217
parallel_light_compute,legion (packed),,,,32959600.0,ns,224
parallel_light_compute,legion (packed),,,,33846300.0,ns,231
parallel_light_compute,legion (packed),,,,35490500.0,ns,238
parallel_light_compute,legion (packed),,,,36195500.0,ns,245
parallel_light_compute,legion (packed),,,,36900700.0,ns,252
parallel_light_compute,legion (packed),,,,38424700.0,ns,259
parallel_light_compute,legion (packed),,,,39856700.0,ns,266
parallel_light_compute,legion (packed),,,,39737300.0,ns,273
parallel_light_compute,legion (packed),,,,41105200.0,ns,280
parallel_light_compute,legion (packed),,,,42856600.0,ns,287
parallel_light_compute,legion (packed),,,,43108600.0,ns,294
parallel_light_compute,legion (packed),,,,44140100.0,ns,301
parallel_light_compute,legion (packed),,,,44148300.0,ns,308
parallel_light_compute,legion (packed),,,,45526500.0,ns,315
parallel_light_compute,legion (packed),,,,46820800.0,ns,322
parallel_light_compute,legion (packed),,,,48302200.0,ns,329
parallel_light_compute,legion (packed),,,,50503900.0,ns,336
parallel_light_compute,legion (packed),,,,50074900.0,ns,343
parallel_light_compute,legion (packed),,,,50584900.0,ns,350
parallel_light_compute,legion (packed),,,,52995600.0,ns,357
parallel_light_compute,legion (packed),,,,53222300.0,ns,364
parallel_light_compute,legion (packed),,,,54676700.0,ns,371
parallel_light_compute,legion (packed),,,,54197800.0,ns,378
parallel_light_compute,legion (packed),,,,55715100.0,ns,385
parallel_light_compute,legion (packed),,,,58541500.0,ns,392
parallel_light_compute,legion (packed),,,,58405200.0,ns,399
parallel_light_compute,legion (packed),,,,57769900.0,ns,406
parallel_light_compute,legion (packed),,,,60422200.0,ns,413
parallel_light_compute,legion (packed),,,,61805600.0,ns,420
parallel_light_compute,legion (packed),,,,62414100.0,ns,427
parallel_light_compute,legion (packed),,,,64519900.0,ns,434
parallel_light_compute,legion (packed),,,,64311300.0,ns,441
parallel_light_compute,legion (packed),,,,65471500.0,ns,448
parallel_light_compute,legion (packed),,,,66529600.0,ns,455
parallel_light_compute,legion (packed),,,,67843300.0,ns,462
parallel_light_compute,legion (packed),,,,68561300.0,ns,469
parallel_light_compute,legion (packed),,,,68968000.0,ns,476
parallel_light_compute,legion (packed),,,,73113400.0,ns,483
parallel_light_compute,legion (packed),,,,71742700.0,ns,490
parallel_light_compute,legion (packed),,,,71334900.0,ns,497
parallel_light_compute,legion (packed),,,,71788900.0,ns,504
parallel_light_compute,legion (packed),,,,73037800.0,ns,511
parallel_light_compute,legion (packed),,,,74593400.0,ns,518
parallel_light_compute,legion (packed),,,,73693300.0,ns,525
parallel_light_compute,legion (packed),,,,76011100.0,ns,532
parallel_light_compute,legion (packed),,,,76226000.0,ns,539
parallel_light_compute,legion (packed),,,,78065600.0,ns,546
parallel_light_compute,legion (packed),,,,79165800.0,ns,553
parallel_light_compute,legion (packed),,,,78979100.0,ns,560
parallel_light_compute,legion (packed),,,,80096700.0,ns,567
parallel_light_compute,legion (packed),,,,83148100.0,ns,574
parallel_light_compute,legion (packed),,,,82789700.0,ns,581
parallel_light_compute,legion (packed),,,,83058600.0,ns,588
parallel_light_compute,legion (packed),,,,83338100.0,ns,595
parallel_light_compute,legion (packed),,,,86276900.0,ns,602
parallel_light_compute,legion (packed),,,,86205900.0,ns,609
parallel_light_compute,legion (packed),,,,87234800.0,ns,616
parallel_light_compute,legion (packed),,,,87419000.0,ns,623
parallel_light_compute,legion (packed),,,,88458600.0,ns,630
parallel_light_compute,legion (packed),,,,91110900.0,ns,637
parallel_light_compute,legion (packed),,,,91458500.0,ns,644
parallel_light_compute,legion (packed),,,,91927700.0,ns,651
parallel_light_compute,legion (packed),,,,94109000.0,ns,658
parallel_light_compute,legion (packed),,,,94482700.0,ns,665
parallel_light_compute,legion (packed),,,,95933100.0,ns,672
parallel_light_compute,legion (packed),,,,96012700.0,ns,679
parallel_light_compute,legion (packed),,,,98152000.0,ns,686
parallel_light_compute,legion (packed),,,,97393900.0,ns,693
parallel_light_compute,legion (packed),,,,100392100.0,ns,700
