group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion,,,,1149500.0,ns,7
parallel_light_compute,legion,,,,2067600.0,ns,14
parallel_light_compute,legion,,,,3017200.0,ns,21
parallel_light_compute,legion,,,,4256600.0,ns,28
parallel_light_compute,legion,,,,5022400.0,ns,35
parallel_light_compute,legion,,,,6889300.0,ns,42
parallel_light_compute,legion,,,,7073500.0,ns,49
parallel_light_compute,legion,,,,8064900.0,ns,56
parallel_light_compute,legion,,,,9291300.0,ns,63
parallel_light_compute,legion,,,,10345400.0,ns,70
parallel_light_compute,legion,,,,11519200.0,ns,77
parallel_light_compute,legion,,,,12297000.0,ns,84
parallel_light_compute,legion,,,,12860100.0,ns,91
parallel_light_compute,legion,,,,14235500.0,ns,98
parallel_light_compute,legion,,,,14859200.0,ns,105
parallel_light_compute,legion,,,,16120400.0,ns,112
parallel_light_compute,legion,,,,17049600.0,ns,119
parallel_light_compute,legion,,,,17611200.0,ns,126
parallel_light_compute,legion,,,,19329200.0,ns,133
parallel_light_compute,legion,,,,19922500.0,ns,140
parallel_light_compute,legion,,,,21110700.0,ns,147
parallel_light_compute,legion,,,,22427000.0,ns,154
parallel_light_compute,legion,,,,22790700.0,ns,161
parallel_light_compute,legion,,,,24078700.0,ns,168
parallel_light_compute,legion,,,,25603600.0,ns,175
parallel_light_compute,legion,,,,25824400.0,ns,182
parallel_light_compute,legion,,,,26662900.0,ns,189
parallel_light_compute,legion,,,,27932900.0,ns,196
parallel_light_compute,legion,,,,29304700.0,ns,203
parallel_light_compute,legion,,,,30038700.0,ns,210
parallel_light_compute,legion,,,,30898600.0,ns,217
parallel_light_compute,legion,,,,31962300.0,ns,224
parallel_light_compute,legion,,,,33788700.0,ns,231
parallel_light_compute,legion,,,,34436600.0,ns,238
parallel_light_compute,legion,,,,35505900.0,ns,245
parallel_light_compute,legion,,,,36116700.0,ns,252
parallel_light_compute,legion,,,,37193800.0,ns,259
parallel_light_compute,legion,,,,37842400.0,ns,266
parallel_light_compute,legion,,,,38415100.0,ns,273
parallel_light_compute,legion,,,,39785500.0,ns,280
parallel_light_compute,legion,,,,42617600.0,ns,287
parallel_light_compute,legion,,,,45122000.0,ns,294
parallel_light_compute,legion,,,,43591800.0,ns,301
parallel_light_compute,legion,,,,43938500.0,ns,308
parallel_light_compute,legion,,,,45807900.0,ns,315
parallel_light_compute,legion,,,,46653900.0,ns,322
parallel_light_compute,legion,,,,47750200.0,ns,329
parallel_light_compute,legion,,,,47940900.0,ns,336
parallel_light_compute,legion,,,,48849800.0,ns,343
parallel_light_compute,legion,,,,50385000.0,ns,350
parallel_light_compute,legion,,,,50216900.0,ns,357
parallel_light_compute,legion,,,,52041000.0,ns,364
parallel_light_compute,legion,,,,52298300.0,ns,371
parallel_light_compute,legion,,,,53742400.0,ns,378
parallel_light_compute,legion,,,,53946600.0,ns,385
parallel_light_compute,legion,,,,55852500.0,ns,392
parallel_light_compute,legion,,,,57349300.0,ns,399
parallel_light_compute,legion,,,,57831900.0,ns,406
parallel_light_compute,legion,,,,58821700.0,ns,413
parallel_light_compute,legion,,,,59902100.0,ns,420
parallel_light_compute,legion,,,,61335800.0,ns,427
parallel_light_compute,legion,,,,62698300.0,ns,434
parallel_light_compute,legion,,,,62147300.0,ns,441
parallel_light_compute,legion,,,,66027700.0,ns,448
parallel_light_compute,legion,,,,65482700.0,ns,455
parallel_light_compute,legion,,,,65348500.0,ns,462
parallel_light_compute,legion,,,,67557300.0,ns,469
parallel_light_compute,legion,,,,67306700.0,ns,476
parallel_light_compute,legion,,,,68137700.0,ns,483
parallel_light_compute,legion,,,,69892200.0,ns,490
parallel_light_compute,legion,,,,70102400.0,ns,497
parallel_light_compute,legion,,,,72236500.0,ns,504
parallel_light_compute,legion,,,,73076800.0,ns,511
parallel_light_compute,legion,,,,73336300.0,ns,518
parallel_light_compute,legion,,,,74927200.0,ns,525
parallel_light_compute,legion,,,,76922900.0,ns,532
parallel_light_compute,legion,,,,76201600.0,ns,539
parallel_light_compute,legion,,,,78437600.0,ns,546
parallel_light_compute,legion,,,,79947800.0,ns,553
parallel_light_compute,legion,,,,79559800.0,ns,560
parallel_light_compute,legion,,,,80942200.0,ns,567
parallel_light_compute,legion,,,,81520400.0,ns,574
parallel_light_compute,legion,,,,82314000.0,ns,581
parallel_light_compute,legion,,,,84263500.0,ns,588
parallel_light_compute,legion,,,,85167700.0,ns,595
parallel_light_compute,legion,,,,84714100.0,ns,602
parallel_light_compute,legion,,,,87306900.0,ns,609
parallel_light_compute,legion,,,,89529500.0,ns,616
parallel_light_compute,legion,,,,89456800.0,ns,623
parallel_light_compute,legion,,,,90067800.0,ns,630
parallel_light_compute,legion,,,,91437200.0,ns,637
parallel_light_compute,legion,,,,92844700.0,ns,644
parallel_light_compute,legion,,,,93851200.0,ns,651
parallel_light_compute,legion,,,,93221500.0,ns,658
parallel_light_compute,legion,,,,94735700.0,ns,665
parallel_light_compute,legion,,,,95932500.0,ns,672
parallel_light_compute,legion,,,,96470100.0,ns,679
parallel_light_compute,legion,,,,98326800.0,ns,686
parallel_light_compute,legion,,,,98763700.0,ns,693
parallel_light_compute,legion,,,,99727900.0,ns,700
