group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion,,,,1133500.0,ns,8
parallel_light_compute,legion,,,,2183200.0,ns,16
parallel_light_compute,legion,,,,3160600.0,ns,24
parallel_light_compute,legion,,,,4244700.0,ns,32
parallel_light_compute,legion,,,,5500300.0,ns,40
parallel_light_compute,legion,,,,6696900.0,ns,48
parallel_light_compute,legion,,,,8003300.0,ns,56
parallel_light_compute,legion,,,,8986700.0,ns,64
parallel_light_compute,legion,,,,9658700.0,ns,72
parallel_light_compute,legion,,,,10718800.0,ns,80
parallel_light_compute,legion,,,,12151400.0,ns,88
parallel_light_compute,legion,,,,13161400.0,ns,96
parallel_light_compute,legion,,,,13789800.0,ns,104
parallel_light_compute,legion,,,,14720900.0,ns,112
parallel_light_compute,legion,,,,15967600.0,ns,120
parallel_light_compute,legion,,,,16967800.0,ns,128
parallel_light_compute,legion,,,,18015300.0,ns,136
parallel_light_compute,legion,,,,18907200.0,ns,144
parallel_light_compute,legion,,,,20263100.0,ns,152
parallel_light_compute,legion,,,,21016300.0,ns,160
parallel_light_compute,legion,,,,22055100.0,ns,168
parallel_light_compute,legion,,,,23604500.0,ns,176
parallel_light_compute,legion,,,,24478400.0,ns,184
parallel_light_compute,legion,,,,25558200.0,ns,192
parallel_light_compute,legion,,,,26557600.0,ns,200
parallel_light_compute,legion,,,,27556200.0,ns,208
parallel_light_compute,legion,,,,28879100.0,ns,216
parallel_light_compute,legion,,,,29708000.0,ns,224
parallel_light_compute,legion,,,,30541000.0,ns,232
parallel_light_compute,legion,,,,31955700.0,ns,240
parallel_light_compute,legion,,,,32387900.0,ns,248
parallel_light_compute,legion,,,,34085700.0,ns,256
parallel_light_compute,legion,,,,35168500.0,ns,264
parallel_light_compute,legion,,,,36366500.0,ns,272
parallel_light_compute,legion,,,,36826600.0,ns,280
parallel_light_compute,legion,,,,37947900.0,ns,288
parallel_light_compute,legion,,,,38766400.0,ns,296
parallel_light_compute,legion,,,,40111300.0,ns,304
parallel_light_compute,legion,,,,41504900.0,ns,312
parallel_light_compute,legion,,,,42811900.0,ns,320
parallel_light_compute,legion,,,,43811800.0,ns,328
parallel_light_compute,legion,,,,44410400.0,ns,336
parallel_light_compute,legion,,,,45181200.0,ns,344
parallel_light_compute,legion,,,,45988700.0,ns,352
parallel_light_compute,legion,,,,48472500.0,ns,360
parallel_light_compute,legion,,,,49410100.0,ns,368
parallel_light_compute,legion,,,,49692400.0,ns,376
parallel_light_compute,legion,,,,50910700.0,ns,384
parallel_light_compute,legion,,,,51775400.0,ns,392
parallel_light_compute,legion,,,,52246600.0,ns,400
parallel_light_compute,legion,,,,53851500.0,ns,408
parallel_light_compute,legion,,,,54971400.0,ns,416
parallel_light_compute,legion,,,,55817100.0,ns,424
parallel_light_compute,legion,,,,57012900.0,ns,432
parallel_light_compute,legion,,,,58421400.0,ns,440
parallel_light_compute,legion,,,,59922500.0,ns,448
parallel_light_compute,legion,,,,59556600.0,ns,456
parallel_light_compute,legion,,,,61371200.0,ns,464
parallel_light_compute,legion,,,,63442000.0,ns,472
parallel_light_compute,legion,,,,63563700.0,ns,480
parallel_light_compute,legion,,,,64912600.0,ns,488
parallel_light_compute,legion,,,,66376900.0,ns,496
parallel_light_compute,legion,,,,66802900.0,ns,504
parallel_light_compute,legion,,,,68708300.0,ns,512
parallel_light_compute,legion,,,,69313300.0,ns,520
parallel_light_compute,legion,,,,68950300.0,ns,528
parallel_light_compute,legion,,,,71010500.0,ns,536
parallel_light_compute,legion,,,,72499500.0,ns,544
parallel_light_compute,legion,,,,73293800.0,ns,552
parallel_light_compute,legion,,,,73786500.0,ns,560
parallel_light_compute,legion,,,,75397600.0,ns,568
parallel_light_compute,legion,,,,76564600.0,ns,576
parallel_light_compute,legion,,,,77500700.0,ns,584
parallel_light_compute,legion,,,,78849800.0,ns,592
parallel_light_compute,legion,,,,79557200.0,ns,600
parallel_light_compute,legion,,,,79593900.0,ns,608
parallel_light_compute,legion,,,,80863700.0,ns,616
parallel_light_compute,legion,,,,83999500.0,ns,624
parallel_light_compute,legion,,,,84017000.0,ns,632
parallel_light_compute,legion,,,,84383900.0,ns,640
parallel_light_compute,legion,,,,85672700.0,ns,648
parallel_light_compute,legion,,,,86679400.0,ns,656
parallel_light_compute,legion,,,,87337900.0,ns,664
parallel_light_compute,legion,,,,88903100.0,ns,672
parallel_light_compute,legion,,,,90344900.0,ns,680
parallel_light_compute,legion,,,,91114600.0,ns,688
parallel_light_compute,legion,,,,91803100.0,ns,696
parallel_light_compute,legion,,,,92769700.0,ns,704
parallel_light_compute,legion,,,,94184600.0,ns,712
parallel_light_compute,legion,,,,96009100.0,ns,720
parallel_light_compute,legion,,,,96751700.0,ns,728
parallel_light_compute,legion,,,,96827100.0,ns,736
parallel_light_compute,legion,,,,99247600.0,ns,744
parallel_light_compute,legion,,,,99768100.0,ns,752
parallel_light_compute,legion,,,,101168500.0,ns,760
parallel_light_compute,legion,,,,103180300.0,ns,768
parallel_light_compute,legion,,,,102924300.0,ns,776
parallel_light_compute,legion,,,,104714800.0,ns,784
parallel_light_compute,legion,,,,104295500.0,ns,792
parallel_light_compute,legion,,,,105461200.0,ns,800
