group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion_packed,,,,1236200.0,ns,8
parallel_light_compute,legion_packed,,,,2166000.0,ns,16
parallel_light_compute,legion_packed,,,,3545800.0,ns,24
parallel_light_compute,legion_packed,,,,4470000.0,ns,32
parallel_light_compute,legion_packed,,,,5894500.0,ns,40
parallel_light_compute,legion_packed,,,,6727400.0,ns,48
parallel_light_compute,legion_packed,,,,7952900.0,ns,56
parallel_light_compute,legion_packed,,,,8615900.0,ns,64
parallel_light_compute,legion_packed,,,,10116900.0,ns,72
parallel_light_compute,legion_packed,,,,11576700.0,ns,80
parallel_light_compute,legion_packed,,,,11936500.0,ns,88
parallel_light_compute,legion_packed,,,,12723400.0,ns,96
parallel_light_compute,legion_packed,,,,14519800.0,ns,104
parallel_light_compute,legion_packed,,,,15739000.0,ns,112
parallel_light_compute,legion_packed,,,,16649700.0,ns,120
parallel_light_compute,legion_packed,,,,17318400.0,ns,128
parallel_light_compute,legion_packed,,,,18398800.0,ns,136
parallel_light_compute,legion_packed,,,,20157200.0,ns,144
parallel_light_compute,legion_packed,,,,21722100.0,ns,152
parallel_light_compute,legion_packed,,,,21714700.0,ns,160
parallel_light_compute,legion_packed,,,,23330100.0,ns,168
parallel_light_compute,legion_packed,,,,23775700.0,ns,176
parallel_light_compute,legion_packed,,,,25436400.0,ns,184
parallel_light_compute,legion_packed,,,,27222500.0,ns,192
parallel_light_compute,legion_packed,,,,27222400.0,ns,200
parallel_light_compute,legion_packed,,,,29099500.0,ns,208
parallel_light_compute,legion_packed,,,,30269500.0,ns,216
parallel_light_compute,legion_packed,,,,30907700.0,ns,224
parallel_light_compute,legion_packed,,,,31695100.0,ns,232
parallel_light_compute,legion_packed,,,,32464800.0,ns,240
parallel_light_compute,legion_packed,,,,34192300.0,ns,248
parallel_light_compute,legion_packed,,,,36244700.0,ns,256
parallel_light_compute,legion_packed,,,,36470700.0,ns,264
parallel_light_compute,legion_packed,,,,38974600.0,ns,272
parallel_light_compute,legion_packed,,,,40225900.0,ns,280
parallel_light_compute,legion_packed,,,,40072200.0,ns,288
parallel_light_compute,legion_packed,,,,41297600.0,ns,296
parallel_light_compute,legion_packed,,,,42561600.0,ns,304
parallel_light_compute,legion_packed,,,,44147400.0,ns,312
parallel_light_compute,legion_packed,,,,45534700.0,ns,320
parallel_light_compute,legion_packed,,,,45022900.0,ns,328
parallel_light_compute,legion_packed,,,,45685100.0,ns,336
parallel_light_compute,legion_packed,,,,47160800.0,ns,344
parallel_light_compute,legion_packed,,,,48013800.0,ns,352
parallel_light_compute,legion_packed,,,,49478000.0,ns,360
parallel_light_compute,legion_packed,,,,51337700.0,ns,368
parallel_light_compute,legion_packed,,,,52791200.0,ns,376
parallel_light_compute,legion_packed,,,,52646900.0,ns,384
parallel_light_compute,legion_packed,,,,53783800.0,ns,392
parallel_light_compute,legion_packed,,,,55131600.0,ns,400
parallel_light_compute,legion_packed,,,,56064300.0,ns,408
parallel_light_compute,legion_packed,,,,56492500.0,ns,416
parallel_light_compute,legion_packed,,,,58866100.0,ns,424
parallel_light_compute,legion_packed,,,,59238700.0,ns,432
parallel_light_compute,legion_packed,,,,60916600.0,ns,440
parallel_light_compute,legion_packed,,,,61503900.0,ns,448
parallel_light_compute,legion_packed,,,,63282500.0,ns,456
parallel_light_compute,legion_packed,,,,63342300.0,ns,464
parallel_light_compute,legion_packed,,,,64719500.0,ns,472
parallel_light_compute,legion_packed,,,,66704400.0,ns,480
parallel_light_compute,legion_packed,,,,65888700.0,ns,488
parallel_light_compute,legion_packed,,,,68560200.0,ns,496
parallel_light_compute,legion_packed,,,,70508800.0,ns,504
parallel_light_compute,legion_packed,,,,70103300.0,ns,512
parallel_light_compute,legion_packed,,,,71417300.0,ns,520
parallel_light_compute,legion_packed,,,,72167700.0,ns,528
parallel_light_compute,legion_packed,,,,75033500.0,ns,536
parallel_light_compute,legion_packed,,,,76972300.0,ns,544
parallel_light_compute,legion_packed,,,,76614200.0,ns,552
parallel_light_compute,legion_packed,,,,77070700.0,ns,560
parallel_light_compute,legion_packed,,,,78992400.0,ns,568
parallel_light_compute,legion_packed,,,,78799700.0,ns,576
parallel_light_compute,legion_packed,,,,81595800.0,ns,584
parallel_light_compute,legion_packed,,,,80464100.0,ns,592
parallel_light_compute,legion_packed,,,,83374400.0,ns,600
parallel_light_compute,legion_packed,,,,83339000.0,ns,608
parallel_light_compute,legion_packed,,,,87194300.0,ns,616
parallel_light_compute,legion_packed,,,,84722200.0,ns,624
parallel_light_compute,legion_packed,,,,89308100.0,ns,632
parallel_light_compute,legion_packed,,,,88994500.0,ns,640
parallel_light_compute,legion_packed,,,,92209800.0,ns,648
parallel_light_compute,legion_packed,,,,93493900.0,ns,656
parallel_light_compute,legion_packed,,,,92548400.0,ns,664
parallel_light_compute,legion_packed,,,,92683000.0,ns,672
parallel_light_compute,legion_packed,,,,92746600.0,ns,680
parallel_light_compute,legion_packed,,,,94173900.0,ns,688
parallel_light_compute,legion_packed,,,,95455800.0,ns,696
parallel_light_compute,legion_packed,,,,97020500.0,ns,704
parallel_light_compute,legion_packed,,,,97357300.0,ns,712
parallel_light_compute,legion_packed,,,,97692700.0,ns,720
parallel_light_compute,legion_packed,,,,102387700.0,ns,728
parallel_light_compute,legion_packed,,,,100328300.0,ns,736
parallel_light_compute,legion_packed,,,,102827300.0,ns,744
parallel_light_compute,legion_packed,,,,103363100.0,ns,752
parallel_light_compute,legion_packed,,,,103085600.0,ns,760
parallel_light_compute,legion_packed,,,,106662400.0,ns,768
parallel_light_compute,legion_packed,,,,117985900.0,ns,776
parallel_light_compute,legion_packed,,,,107811400.0,ns,784
parallel_light_compute,legion_packed,,,,108540700.0,ns,792
parallel_light_compute,legion_packed,,,,111380600.0,ns,800
