group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,legion_packed,,,,1594200.0,ns,4
parallel_light_compute,legion_packed,,,,2487100.0,ns,8
parallel_light_compute,legion_packed,,,,3908600.0,ns,12
parallel_light_compute,legion_packed,,,,5031500.0,ns,16
parallel_light_compute,legion_packed,,,,6472200.0,ns,20
parallel_light_compute,legion_packed,,,,7472500.0,ns,24
parallel_light_compute,legion_packed,,,,8852700.0,ns,28
parallel_light_compute,legion_packed,,,,9685200.0,ns,32
parallel_light_compute,legion_packed,,,,11251100.0,ns,36
parallel_light_compute,legion_packed,,,,12366100.0,ns,40
parallel_light_compute,legion_packed,,,,13771300.0,ns,44
parallel_light_compute,legion_packed,,,,15377800.0,ns,48
parallel_light_compute,legion_packed,,,,16689700.0,ns,52
parallel_light_compute,legion_packed,,,,18310800.0,ns,56
parallel_light_compute,legion_packed,,,,18479400.0,ns,60
parallel_light_compute,legion_packed,,,,20999000.0,ns,64
parallel_light_compute,legion_packed,,,,21609200.0,ns,68
parallel_light_compute,legion_packed,,,,22579800.0,ns,72
parallel_light_compute,legion_packed,,,,23693000.0,ns,76
parallel_light_compute,legion_packed,,,,25867500.0,ns,80
parallel_light_compute,legion_packed,,,,26246300.0,ns,84
parallel_light_compute,legion_packed,,,,27851700.0,ns,88
parallel_light_compute,legion_packed,,,,28390400.0,ns,92
parallel_light_compute,legion_packed,,,,29931500.0,ns,96
parallel_light_compute,legion_packed,,,,31031500.0,ns,100
parallel_light_compute,legion_packed,,,,32527000.0,ns,104
parallel_light_compute,legion_packed,,,,33818500.0,ns,108
parallel_light_compute,legion_packed,,,,35116800.0,ns,112
parallel_light_compute,legion_packed,,,,36063900.0,ns,116
parallel_light_compute,legion_packed,,,,37893900.0,ns,120
parallel_light_compute,legion_packed,,,,38356100.0,ns,124
parallel_light_compute,legion_packed,,,,40955600.0,ns,128
parallel_light_compute,legion_packed,,,,41264200.0,ns,132
parallel_light_compute,legion_packed,,,,42704400.0,ns,136
parallel_light_compute,legion_packed,,,,43471600.0,ns,140
parallel_light_compute,legion_packed,,,,45070600.0,ns,144
parallel_light_compute,legion_packed,,,,45481200.0,ns,148
parallel_light_compute,legion_packed,,,,47164400.0,ns,152
parallel_light_compute,legion_packed,,,,49220600.0,ns,156
parallel_light_compute,legion_packed,,,,50139800.0,ns,160
parallel_light_compute,legion_packed,,,,51643000.0,ns,164
parallel_light_compute,legion_packed,,,,52972900.0,ns,168
parallel_light_compute,legion_packed,,,,53173700.0,ns,172
parallel_light_compute,legion_packed,,,,55109700.0,ns,176
parallel_light_compute,legion_packed,,,,56495800.0,ns,180
parallel_light_compute,legion_packed,,,,58347000.0,ns,184
parallel_light_compute,legion_packed,,,,59945100.0,ns,188
parallel_light_compute,legion_packed,,,,59151900.0,ns,192
parallel_light_compute,legion_packed,,,,60082700.0,ns,196
