group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,shipyard,,,,1016300.0,ns,7
parallel_light_compute,shipyard,,,,1911600.0,ns,14
parallel_light_compute,shipyard,,,,3196300.0,ns,21
parallel_light_compute,shipyard,,,,3822600.0,ns,28
parallel_light_compute,shipyard,,,,5095800.0,ns,35
parallel_light_compute,shipyard,,,,6275500.0,ns,42
parallel_light_compute,shipyard,,,,7039900.0,ns,49
parallel_light_compute,shipyard,,,,7749400.0,ns,56
parallel_light_compute,shipyard,,,,8800600.0,ns,63
parallel_light_compute,shipyard,,,,10034800.0,ns,70
parallel_light_compute,shipyard,,,,12321100.0,ns,77
parallel_light_compute,shipyard,,,,12044900.0,ns,84
parallel_light_compute,shipyard,,,,12426900.0,ns,91
parallel_light_compute,shipyard,,,,13536700.0,ns,98
parallel_light_compute,shipyard,,,,14919100.0,ns,105
parallel_light_compute,shipyard,,,,15275300.0,ns,112
parallel_light_compute,shipyard,,,,16747500.0,ns,119
parallel_light_compute,shipyard,,,,17241200.0,ns,126
parallel_light_compute,shipyard,,,,18833000.0,ns,133
parallel_light_compute,shipyard,,,,20174600.0,ns,140
parallel_light_compute,shipyard,,,,21731900.0,ns,147
parallel_light_compute,shipyard,,,,23370600.0,ns,154
parallel_light_compute,shipyard,,,,23110000.0,ns,161
parallel_light_compute,shipyard,,,,24270400.0,ns,168
parallel_light_compute,shipyard,,,,24949600.0,ns,175
parallel_light_compute,shipyard,,,,24693800.0,ns,182
parallel_light_compute,shipyard,,,,26319600.0,ns,189
parallel_light_compute,shipyard,,,,27479800.0,ns,196
parallel_light_compute,shipyard,,,,32772600.0,ns,203
parallel_light_compute,shipyard,,,,35361600.0,ns,210
parallel_light_compute,shipyard,,,,30996500.0,ns,217
parallel_light_compute,shipyard,,,,31274400.0,ns,224
parallel_light_compute,shipyard,,,,31876900.0,ns,231
parallel_light_compute,shipyard,,,,33270400.0,ns,238
parallel_light_compute,shipyard,,,,34260600.0,ns,245
parallel_light_compute,shipyard,,,,35525200.0,ns,252
parallel_light_compute,shipyard,,,,36343400.0,ns,259
parallel_light_compute,shipyard,,,,38265000.0,ns,266
parallel_light_compute,shipyard,,,,38177500.0,ns,273
parallel_light_compute,shipyard,,,,39682300.0,ns,280
parallel_light_compute,shipyard,,,,41941800.0,ns,287
parallel_light_compute,shipyard,,,,42322400.0,ns,294
parallel_light_compute,shipyard,,,,42984900.0,ns,301
parallel_light_compute,shipyard,,,,42527800.0,ns,308
parallel_light_compute,shipyard,,,,43647400.0,ns,315
parallel_light_compute,shipyard,,,,45245300.0,ns,322
parallel_light_compute,shipyard,,,,45660000.0,ns,329
parallel_light_compute,shipyard,,,,46402000.0,ns,336
parallel_light_compute,shipyard,,,,48480100.0,ns,343
parallel_light_compute,shipyard,,,,50398100.0,ns,350
parallel_light_compute,shipyard,,,,50296200.0,ns,357
parallel_light_compute,shipyard,,,,50297700.0,ns,364
parallel_light_compute,shipyard,,,,51660700.0,ns,371
parallel_light_compute,shipyard,,,,53565300.0,ns,378
parallel_light_compute,shipyard,,,,53520700.0,ns,385
parallel_light_compute,shipyard,,,,54227000.0,ns,392
parallel_light_compute,shipyard,,,,56305700.0,ns,399
parallel_light_compute,shipyard,,,,56097800.0,ns,406
parallel_light_compute,shipyard,,,,58758000.0,ns,413
parallel_light_compute,shipyard,,,,60759800.0,ns,420
parallel_light_compute,shipyard,,,,60186800.0,ns,427
parallel_light_compute,shipyard,,,,61230400.0,ns,434
parallel_light_compute,shipyard,,,,62642500.0,ns,441
parallel_light_compute,shipyard,,,,63368600.0,ns,448
parallel_light_compute,shipyard,,,,64585800.0,ns,455
parallel_light_compute,shipyard,,,,66241100.0,ns,462
parallel_light_compute,shipyard,,,,68468000.0,ns,469
parallel_light_compute,shipyard,,,,67819600.0,ns,476
parallel_light_compute,shipyard,,,,68330600.0,ns,483
parallel_light_compute,shipyard,,,,69303500.0,ns,490
parallel_light_compute,shipyard,,,,68795500.0,ns,497
parallel_light_compute,shipyard,,,,71425800.0,ns,504
parallel_light_compute,shipyard,,,,72017700.0,ns,511
parallel_light_compute,shipyard,,,,71807400.0,ns,518
parallel_light_compute,shipyard,,,,73122600.0,ns,525
parallel_light_compute,shipyard,,,,74390800.0,ns,532
parallel_light_compute,shipyard,,,,74533900.0,ns,539
parallel_light_compute,shipyard,,,,77822400.0,ns,546
parallel_light_compute,shipyard,,,,76725400.0,ns,553
parallel_light_compute,shipyard,,,,77792400.0,ns,560
parallel_light_compute,shipyard,,,,81218500.0,ns,567
parallel_light_compute,shipyard,,,,81561700.0,ns,574
parallel_light_compute,shipyard,,,,79856700.0,ns,581
parallel_light_compute,shipyard,,,,81774500.0,ns,588
parallel_light_compute,shipyard,,,,82738100.0,ns,595
parallel_light_compute,shipyard,,,,85806300.0,ns,602
parallel_light_compute,shipyard,,,,88732100.0,ns,609
parallel_light_compute,shipyard,,,,87376200.0,ns,616
parallel_light_compute,shipyard,,,,88746500.0,ns,623
parallel_light_compute,shipyard,,,,87119600.0,ns,630
parallel_light_compute,shipyard,,,,90522400.0,ns,637
parallel_light_compute,shipyard,,,,89645600.0,ns,644
parallel_light_compute,shipyard,,,,95594300.0,ns,651
parallel_light_compute,shipyard,,,,92444800.0,ns,658
parallel_light_compute,shipyard,,,,94814900.0,ns,665
parallel_light_compute,shipyard,,,,97378900.0,ns,672
parallel_light_compute,shipyard,,,,94612900.0,ns,679
parallel_light_compute,shipyard,,,,107115000.0,ns,686
parallel_light_compute,shipyard,,,,106941600.0,ns,693
parallel_light_compute,shipyard,,,,111585000.0,ns,700
