group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,shipyard,,,,1237500.0,ns,8
parallel_light_compute,shipyard,,,,2309600.0,ns,16
parallel_light_compute,shipyard,,,,3538800.0,ns,24
parallel_light_compute,shipyard,,,,4460000.0,ns,32
parallel_light_compute,shipyard,,,,5608800.0,ns,40
parallel_light_compute,shipyard,,,,6790700.0,ns,48
parallel_light_compute,shipyard,,,,8077300.0,ns,56
parallel_light_compute,shipyard,,,,9116200.0,ns,64
parallel_light_compute,shipyard,,,,10626800.0,ns,72
parallel_light_compute,shipyard,,,,11070500.0,ns,80
parallel_light_compute,shipyard,,,,12301100.0,ns,88
parallel_light_compute,shipyard,,,,13377700.0,ns,96
parallel_light_compute,shipyard,,,,13993900.0,ns,104
parallel_light_compute,shipyard,,,,16256500.0,ns,112
parallel_light_compute,shipyard,,,,16698100.0,ns,120
parallel_light_compute,shipyard,,,,18254600.0,ns,128
parallel_light_compute,shipyard,,,,18359700.0,ns,136
parallel_light_compute,shipyard,,,,21326400.0,ns,144
parallel_light_compute,shipyard,,,,21093400.0,ns,152
parallel_light_compute,shipyard,,,,22469000.0,ns,160
parallel_light_compute,shipyard,,,,23798900.0,ns,168
parallel_light_compute,shipyard,,,,23716400.0,ns,176
parallel_light_compute,shipyard,,,,25860500.0,ns,184
parallel_light_compute,shipyard,,,,26332900.0,ns,192
parallel_light_compute,shipyard,,,,27177400.0,ns,200
parallel_light_compute,shipyard,,,,28473100.0,ns,208
parallel_light_compute,shipyard,,,,29180000.0,ns,216
parallel_light_compute,shipyard,,,,31711400.0,ns,224
parallel_light_compute,shipyard,,,,32001400.0,ns,232
parallel_light_compute,shipyard,,,,33663800.0,ns,240
parallel_light_compute,shipyard,,,,33375300.0,ns,248
parallel_light_compute,shipyard,,,,35074500.0,ns,256
parallel_light_compute,shipyard,,,,37334100.0,ns,264
parallel_light_compute,shipyard,,,,37924700.0,ns,272
parallel_light_compute,shipyard,,,,38943800.0,ns,280
parallel_light_compute,shipyard,,,,39517200.0,ns,288
parallel_light_compute,shipyard,,,,41524900.0,ns,296
parallel_light_compute,shipyard,,,,43773100.0,ns,304
parallel_light_compute,shipyard,,,,43162200.0,ns,312
parallel_light_compute,shipyard,,,,43534300.0,ns,320
parallel_light_compute,shipyard,,,,47160200.0,ns,328
parallel_light_compute,shipyard,,,,46872800.0,ns,336
parallel_light_compute,shipyard,,,,48624200.0,ns,344
parallel_light_compute,shipyard,,,,49528100.0,ns,352
parallel_light_compute,shipyard,,,,49802100.0,ns,360
parallel_light_compute,shipyard,,,,50343500.0,ns,368
parallel_light_compute,shipyard,,,,51261300.0,ns,376
parallel_light_compute,shipyard,,,,53153900.0,ns,384
parallel_light_compute,shipyard,,,,53230700.0,ns,392
parallel_light_compute,shipyard,,,,55863900.0,ns,400
parallel_light_compute,shipyard,,,,57674700.0,ns,408
parallel_light_compute,shipyard,,,,56839200.0,ns,416
parallel_light_compute,shipyard,,,,58601800.0,ns,424
parallel_light_compute,shipyard,,,,59524900.0,ns,432
parallel_light_compute,shipyard,,,,60925200.0,ns,440
parallel_light_compute,shipyard,,,,62648300.0,ns,448
parallel_light_compute,shipyard,,,,63827300.0,ns,456
parallel_light_compute,shipyard,,,,66445900.0,ns,464
parallel_light_compute,shipyard,,,,66051000.0,ns,472
parallel_light_compute,shipyard,,,,66974100.0,ns,480
parallel_light_compute,shipyard,,,,68923000.0,ns,488
parallel_light_compute,shipyard,,,,68540600.0,ns,496
parallel_light_compute,shipyard,,,,71173600.0,ns,504
parallel_light_compute,shipyard,,,,71461600.0,ns,512
parallel_light_compute,shipyard,,,,73403200.0,ns,520
parallel_light_compute,shipyard,,,,73621400.0,ns,528
parallel_light_compute,shipyard,,,,75283900.0,ns,536
parallel_light_compute,shipyard,,,,74824300.0,ns,544
parallel_light_compute,shipyard,,,,78285900.0,ns,552
parallel_light_compute,shipyard,,,,76285600.0,ns,560
parallel_light_compute,shipyard,,,,80731700.0,ns,568
parallel_light_compute,shipyard,,,,79940800.0,ns,576
parallel_light_compute,shipyard,,,,81996400.0,ns,584
parallel_light_compute,shipyard,,,,82742900.0,ns,592
parallel_light_compute,shipyard,,,,82944900.0,ns,600
parallel_light_compute,shipyard,,,,84469700.0,ns,608
parallel_light_compute,shipyard,,,,84161400.0,ns,616
parallel_light_compute,shipyard,,,,87438000.0,ns,624
parallel_light_compute,shipyard,,,,88185800.0,ns,632
parallel_light_compute,shipyard,,,,88061400.0,ns,640
parallel_light_compute,shipyard,,,,89532300.0,ns,648
parallel_light_compute,shipyard,,,,90723800.0,ns,656
parallel_light_compute,shipyard,,,,92075000.0,ns,664
parallel_light_compute,shipyard,,,,91450700.0,ns,672
parallel_light_compute,shipyard,,,,95678100.0,ns,680
parallel_light_compute,shipyard,,,,95191900.0,ns,688
parallel_light_compute,shipyard,,,,94526200.0,ns,696
parallel_light_compute,shipyard,,,,96769000.0,ns,704
parallel_light_compute,shipyard,,,,97726400.0,ns,712
parallel_light_compute,shipyard,,,,98759200.0,ns,720
parallel_light_compute,shipyard,,,,100765400.0,ns,728
parallel_light_compute,shipyard,,,,101541200.0,ns,736
parallel_light_compute,shipyard,,,,105254000.0,ns,744
parallel_light_compute,shipyard,,,,104968200.0,ns,752
parallel_light_compute,shipyard,,,,105388500.0,ns,760
parallel_light_compute,shipyard,,,,108090200.0,ns,768
parallel_light_compute,shipyard,,,,109222100.0,ns,776
parallel_light_compute,shipyard,,,,107278000.0,ns,784
parallel_light_compute,shipyard,,,,108968100.0,ns,792
parallel_light_compute,shipyard,,,,110250500.0,ns,800
