group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,shipyard_git,,,,1157000.0,ns,16
parallel_light_compute,shipyard_git,,,,1965600.0,ns,32
parallel_light_compute,shipyard_git,,,,3395400.0,ns,48
parallel_light_compute,shipyard_git,,,,4234300.0,ns,64
parallel_light_compute,shipyard_git,,,,5122200.0,ns,80
parallel_light_compute,shipyard_git,,,,6355700.0,ns,96
parallel_light_compute,shipyard_git,,,,7283200.0,ns,112
parallel_light_compute,shipyard_git,,,,8184700.0,ns,128
parallel_light_compute,shipyard_git,,,,9622900.0,ns,144
parallel_light_compute,shipyard_git,,,,10628500.0,ns,160
parallel_light_compute,shipyard_git,,,,11504100.0,ns,176
parallel_light_compute,shipyard_git,,,,11870100.0,ns,192
parallel_light_compute,shipyard_git,,,,13268900.0,ns,208
parallel_light_compute,shipyard_git,,,,14425900.0,ns,224
parallel_light_compute,shipyard_git,,,,14744900.0,ns,240
parallel_light_compute,shipyard_git,,,,16929700.0,ns,256
parallel_light_compute,shipyard_git,,,,17119600.0,ns,272
parallel_light_compute,shipyard_git,,,,17469000.0,ns,288
parallel_light_compute,shipyard_git,,,,18710200.0,ns,304
parallel_light_compute,shipyard_git,,,,20717100.0,ns,320
parallel_light_compute,shipyard_git,,,,21197500.0,ns,336
parallel_light_compute,shipyard_git,,,,23160900.0,ns,352
parallel_light_compute,shipyard_git,,,,23322900.0,ns,368
parallel_light_compute,shipyard_git,,,,23991800.0,ns,384
parallel_light_compute,shipyard_git,,,,25335000.0,ns,400
parallel_light_compute,shipyard_git,,,,25698500.0,ns,416
parallel_light_compute,shipyard_git,,,,28097600.0,ns,432
parallel_light_compute,shipyard_git,,,,28421700.0,ns,448
parallel_light_compute,shipyard_git,,,,29634000.0,ns,464
parallel_light_compute,shipyard_git,,,,30334900.0,ns,480
parallel_light_compute,shipyard_git,,,,30908300.0,ns,496
parallel_light_compute,shipyard_git,,,,31663400.0,ns,512
parallel_light_compute,shipyard_git,,,,33418200.0,ns,528
parallel_light_compute,shipyard_git,,,,34631500.0,ns,544
parallel_light_compute,shipyard_git,,,,35545000.0,ns,560
parallel_light_compute,shipyard_git,,,,36196000.0,ns,576
parallel_light_compute,shipyard_git,,,,36439700.0,ns,592
parallel_light_compute,shipyard_git,,,,39287900.0,ns,608
parallel_light_compute,shipyard_git,,,,38611700.0,ns,624
parallel_light_compute,shipyard_git,,,,39972300.0,ns,640
parallel_light_compute,shipyard_git,,,,42011900.0,ns,656
parallel_light_compute,shipyard_git,,,,42150800.0,ns,672
parallel_light_compute,shipyard_git,,,,43667600.0,ns,688
parallel_light_compute,shipyard_git,,,,43143800.0,ns,704
parallel_light_compute,shipyard_git,,,,44745500.0,ns,720
parallel_light_compute,shipyard_git,,,,46310400.0,ns,736
parallel_light_compute,shipyard_git,,,,46708500.0,ns,752
parallel_light_compute,shipyard_git,,,,48057500.0,ns,768
parallel_light_compute,shipyard_git,,,,49074000.0,ns,784
parallel_light_compute,shipyard_git,,,,49874800.0,ns,800
parallel_light_compute,shipyard_git,,,,51393400.0,ns,816
parallel_light_compute,shipyard_git,,,,52768600.0,ns,832
parallel_light_compute,shipyard_git,,,,53046000.0,ns,848
parallel_light_compute,shipyard_git,,,,54673600.0,ns,864
parallel_light_compute,shipyard_git,,,,54787100.0,ns,880
parallel_light_compute,shipyard_git,,,,56865200.0,ns,896
parallel_light_compute,shipyard_git,,,,56459900.0,ns,912
parallel_light_compute,shipyard_git,,,,57731300.0,ns,928
parallel_light_compute,shipyard_git,,,,58821100.0,ns,944
parallel_light_compute,shipyard_git,,,,60956900.0,ns,960
parallel_light_compute,shipyard_git,,,,61404700.0,ns,976
parallel_light_compute,shipyard_git,,,,61451400.0,ns,992
parallel_light_compute,shipyard_git,,,,63518500.0,ns,1008
parallel_light_compute,shipyard_git,,,,63951900.0,ns,1024
parallel_light_compute,shipyard_git,,,,65516100.0,ns,1040
parallel_light_compute,shipyard_git,,,,66042700.0,ns,1056
parallel_light_compute,shipyard_git,,,,68203000.0,ns,1072
parallel_light_compute,shipyard_git,,,,68526800.0,ns,1088
parallel_light_compute,shipyard_git,,,,68794100.0,ns,1104
parallel_light_compute,shipyard_git,,,,70227200.0,ns,1120
parallel_light_compute,shipyard_git,,,,72200900.0,ns,1136
parallel_light_compute,shipyard_git,,,,71891800.0,ns,1152
parallel_light_compute,shipyard_git,,,,73616900.0,ns,1168
parallel_light_compute,shipyard_git,,,,79089300.0,ns,1184
parallel_light_compute,shipyard_git,,,,77271900.0,ns,1200
parallel_light_compute,shipyard_git,,,,76630400.0,ns,1216
parallel_light_compute,shipyard_git,,,,76612600.0,ns,1232
parallel_light_compute,shipyard_git,,,,78337300.0,ns,1248
parallel_light_compute,shipyard_git,,,,79092500.0,ns,1264
parallel_light_compute,shipyard_git,,,,81308700.0,ns,1280
parallel_light_compute,shipyard_git,,,,80477900.0,ns,1296
parallel_light_compute,shipyard_git,,,,82417900.0,ns,1312
parallel_light_compute,shipyard_git,,,,82746300.0,ns,1328
parallel_light_compute,shipyard_git,,,,83340800.0,ns,1344
parallel_light_compute,shipyard_git,,,,85001500.0,ns,1360
parallel_light_compute,shipyard_git,,,,86566800.0,ns,1376
parallel_light_compute,shipyard_git,,,,87103400.0,ns,1392
parallel_light_compute,shipyard_git,,,,88194900.0,ns,1408
parallel_light_compute,shipyard_git,,,,87713200.0,ns,1424
parallel_light_compute,shipyard_git,,,,89887300.0,ns,1440
parallel_light_compute,shipyard_git,,,,91657300.0,ns,1456
parallel_light_compute,shipyard_git,,,,93188300.0,ns,1472
parallel_light_compute,shipyard_git,,,,94078800.0,ns,1488
parallel_light_compute,shipyard_git,,,,94100700.0,ns,1504
parallel_light_compute,shipyard_git,,,,94960000.0,ns,1520
parallel_light_compute,shipyard_git,,,,95250200.0,ns,1536
parallel_light_compute,shipyard_git,,,,97269100.0,ns,1552
parallel_light_compute,shipyard_git,,,,98416200.0,ns,1568
parallel_light_compute,shipyard_git,,,,98646600.0,ns,1584
parallel_light_compute,shipyard_git,,,,101857700.0,ns,1600
