group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,specs,,,,1049300.0,ns,14
parallel_light_compute,specs,,,,2048600.0,ns,28
parallel_light_compute,specs,,,,3219000.0,ns,42
parallel_light_compute,specs,,,,4001300.0,ns,56
parallel_light_compute,specs,,,,5754900.0,ns,70
parallel_light_compute,specs,,,,6251000.0,ns,84
parallel_light_compute,specs,,,,7158300.0,ns,98
parallel_light_compute,specs,,,,8110500.0,ns,112
parallel_light_compute,specs,,,,9283100.0,ns,126
parallel_light_compute,specs,,,,10006800.0,ns,140
parallel_light_compute,specs,,,,10862400.0,ns,154
parallel_light_compute,specs,,,,12000700.0,ns,168
parallel_light_compute,specs,,,,12652800.0,ns,182
parallel_light_compute,specs,,,,13756700.0,ns,196
parallel_light_compute,specs,,,,14896500.0,ns,210
parallel_light_compute,specs,,,,15705900.0,ns,224
parallel_light_compute,specs,,,,16913600.0,ns,238
parallel_light_compute,specs,,,,17499700.0,ns,252
parallel_light_compute,specs,,,,19237900.0,ns,266
parallel_light_compute,specs,,,,19804500.0,ns,280
parallel_light_compute,specs,,,,21379600.0,ns,294
parallel_light_compute,specs,,,,22078800.0,ns,308
parallel_light_compute,specs,,,,22577800.0,ns,322
parallel_light_compute,specs,,,,23810500.0,ns,336
parallel_light_compute,specs,,,,24256300.0,ns,350
parallel_light_compute,specs,,,,26462400.0,ns,364
parallel_light_compute,specs,,,,27345100.0,ns,378
parallel_light_compute,specs,,,,27702700.0,ns,392
parallel_light_compute,specs,,,,28778300.0,ns,406
parallel_light_compute,specs,,,,29370300.0,ns,420
parallel_light_compute,specs,,,,30990500.0,ns,434
parallel_light_compute,specs,,,,32323300.0,ns,448
parallel_light_compute,specs,,,,32916800.0,ns,462
parallel_light_compute,specs,,,,33774100.0,ns,476
parallel_light_compute,specs,,,,34862100.0,ns,490
parallel_light_compute,specs,,,,35872900.0,ns,504
parallel_light_compute,specs,,,,37404800.0,ns,518
parallel_light_compute,specs,,,,37844000.0,ns,532
parallel_light_compute,specs,,,,38388700.0,ns,546
parallel_light_compute,specs,,,,41008600.0,ns,560
parallel_light_compute,specs,,,,40543200.0,ns,574
parallel_light_compute,specs,,,,41776300.0,ns,588
parallel_light_compute,specs,,,,43289100.0,ns,602
parallel_light_compute,specs,,,,43560400.0,ns,616
parallel_light_compute,specs,,,,44515400.0,ns,630
parallel_light_compute,specs,,,,45881500.0,ns,644
parallel_light_compute,specs,,,,46993600.0,ns,658
parallel_light_compute,specs,,,,47192700.0,ns,672
parallel_light_compute,specs,,,,49716200.0,ns,686
parallel_light_compute,specs,,,,50786500.0,ns,700
parallel_light_compute,specs,,,,51948900.0,ns,714
parallel_light_compute,specs,,,,52435500.0,ns,728
parallel_light_compute,specs,,,,53603200.0,ns,742
parallel_light_compute,specs,,,,52999900.0,ns,756
parallel_light_compute,specs,,,,55729100.0,ns,770
parallel_light_compute,specs,,,,55097100.0,ns,784
parallel_light_compute,specs,,,,55940600.0,ns,798
parallel_light_compute,specs,,,,58157900.0,ns,812
parallel_light_compute,specs,,,,59658000.0,ns,826
parallel_light_compute,specs,,,,59305200.0,ns,840
parallel_light_compute,specs,,,,60785300.0,ns,854
parallel_light_compute,specs,,,,62065700.0,ns,868
parallel_light_compute,specs,,,,63052500.0,ns,882
parallel_light_compute,specs,,,,63523400.0,ns,896
parallel_light_compute,specs,,,,65637600.0,ns,910
parallel_light_compute,specs,,,,66264600.0,ns,924
parallel_light_compute,specs,,,,65761300.0,ns,938
parallel_light_compute,specs,,,,68523500.0,ns,952
parallel_light_compute,specs,,,,67802700.0,ns,966
parallel_light_compute,specs,,,,69239300.0,ns,980
parallel_light_compute,specs,,,,71309300.0,ns,994
parallel_light_compute,specs,,,,71125600.0,ns,1008
parallel_light_compute,specs,,,,72892700.0,ns,1022
parallel_light_compute,specs,,,,76224700.0,ns,1036
parallel_light_compute,specs,,,,78272800.0,ns,1050
parallel_light_compute,specs,,,,75035600.0,ns,1064
parallel_light_compute,specs,,,,74743800.0,ns,1078
parallel_light_compute,specs,,,,75405600.0,ns,1092
parallel_light_compute,specs,,,,78828600.0,ns,1106
parallel_light_compute,specs,,,,79242800.0,ns,1120
parallel_light_compute,specs,,,,79589900.0,ns,1134
parallel_light_compute,specs,,,,82449900.0,ns,1148
parallel_light_compute,specs,,,,81366000.0,ns,1162
parallel_light_compute,specs,,,,83153000.0,ns,1176
parallel_light_compute,specs,,,,84889500.0,ns,1190
parallel_light_compute,specs,,,,85279200.0,ns,1204
parallel_light_compute,specs,,,,89378200.0,ns,1218
parallel_light_compute,specs,,,,90185900.0,ns,1232
parallel_light_compute,specs,,,,90200300.0,ns,1246
parallel_light_compute,specs,,,,94010100.0,ns,1260
parallel_light_compute,specs,,,,93309200.0,ns,1274
parallel_light_compute,specs,,,,94699400.0,ns,1288
parallel_light_compute,specs,,,,95922600.0,ns,1302
parallel_light_compute,specs,,,,98586100.0,ns,1316
parallel_light_compute,specs,,,,100785600.0,ns,1330
parallel_light_compute,specs,,,,103121500.0,ns,1344
parallel_light_compute,specs,,,,103410600.0,ns,1358
parallel_light_compute,specs,,,,99419500.0,ns,1372
parallel_light_compute,specs,,,,97811500.0,ns,1386
parallel_light_compute,specs,,,,101865900.0,ns,1400
