group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
parallel_light_compute,specs,,,,1090500.0,ns,16
parallel_light_compute,specs,,,,2119500.0,ns,32
parallel_light_compute,specs,,,,3187100.0,ns,48
parallel_light_compute,specs,,,,4522100.0,ns,64
parallel_light_compute,specs,,,,5244000.0,ns,80
parallel_light_compute,specs,,,,6622700.0,ns,96
parallel_light_compute,specs,,,,7658500.0,ns,112
parallel_light_compute,specs,,,,8647700.0,ns,128
parallel_light_compute,specs,,,,9263100.0,ns,144
parallel_light_compute,specs,,,,10409300.0,ns,160
parallel_light_compute,specs,,,,11442900.0,ns,176
parallel_light_compute,specs,,,,12800500.0,ns,192
parallel_light_compute,specs,,,,13961700.0,ns,208
parallel_light_compute,specs,,,,14632300.0,ns,224
parallel_light_compute,specs,,,,15625500.0,ns,240
parallel_light_compute,specs,,,,16729700.0,ns,256
parallel_light_compute,specs,,,,17781500.0,ns,272
parallel_light_compute,specs,,,,18476100.0,ns,288
parallel_light_compute,specs,,,,19685100.0,ns,304
parallel_light_compute,specs,,,,20610400.0,ns,320
parallel_light_compute,specs,,,,22709400.0,ns,336
parallel_light_compute,specs,,,,23067900.0,ns,352
parallel_light_compute,specs,,,,24692100.0,ns,368
parallel_light_compute,specs,,,,25261700.0,ns,384
parallel_light_compute,specs,,,,26642000.0,ns,400
parallel_light_compute,specs,,,,27663800.0,ns,416
parallel_light_compute,specs,,,,28101400.0,ns,432
parallel_light_compute,specs,,,,29156800.0,ns,448
parallel_light_compute,specs,,,,30079800.0,ns,464
parallel_light_compute,specs,,,,30939100.0,ns,480
parallel_light_compute,specs,,,,32764200.0,ns,496
parallel_light_compute,specs,,,,34053900.0,ns,512
parallel_light_compute,specs,,,,34584500.0,ns,528
parallel_light_compute,specs,,,,34983200.0,ns,544
parallel_light_compute,specs,,,,36345800.0,ns,560
parallel_light_compute,specs,,,,37401000.0,ns,576
parallel_light_compute,specs,,,,40096200.0,ns,592
parallel_light_compute,specs,,,,40788100.0,ns,608
parallel_light_compute,specs,,,,40666600.0,ns,624
parallel_light_compute,specs,,,,41980400.0,ns,640
parallel_light_compute,specs,,,,42325700.0,ns,656
parallel_light_compute,specs,,,,43929800.0,ns,672
parallel_light_compute,specs,,,,45253600.0,ns,688
parallel_light_compute,specs,,,,45972300.0,ns,704
parallel_light_compute,specs,,,,45799000.0,ns,720
parallel_light_compute,specs,,,,47186600.0,ns,736
parallel_light_compute,specs,,,,49076800.0,ns,752
parallel_light_compute,specs,,,,50718700.0,ns,768
parallel_light_compute,specs,,,,51526400.0,ns,784
parallel_light_compute,specs,,,,51576200.0,ns,800
parallel_light_compute,specs,,,,53060200.0,ns,816
parallel_light_compute,specs,,,,53933900.0,ns,832
parallel_light_compute,specs,,,,54555500.0,ns,848
parallel_light_compute,specs,,,,56037600.0,ns,864
parallel_light_compute,specs,,,,57221000.0,ns,880
parallel_light_compute,specs,,,,57450500.0,ns,896
parallel_light_compute,specs,,,,61914500.0,ns,912
parallel_light_compute,specs,,,,60115500.0,ns,928
parallel_light_compute,specs,,,,60393400.0,ns,944
parallel_light_compute,specs,,,,62297600.0,ns,960
parallel_light_compute,specs,,,,63148000.0,ns,976
parallel_light_compute,specs,,,,64784100.0,ns,992
parallel_light_compute,specs,,,,66571400.0,ns,1008
parallel_light_compute,specs,,,,67344300.0,ns,1024
parallel_light_compute,specs,,,,70054600.0,ns,1040
parallel_light_compute,specs,,,,69375200.0,ns,1056
parallel_light_compute,specs,,,,70386800.0,ns,1072
parallel_light_compute,specs,,,,71246900.0,ns,1088
parallel_light_compute,specs,,,,71992200.0,ns,1104
parallel_light_compute,specs,,,,72235000.0,ns,1120
parallel_light_compute,specs,,,,74090600.0,ns,1136
parallel_light_compute,specs,,,,77434300.0,ns,1152
parallel_light_compute,specs,,,,76687800.0,ns,1168
parallel_light_compute,specs,,,,77116200.0,ns,1184
parallel_light_compute,specs,,,,78322000.0,ns,1200
parallel_light_compute,specs,,,,80489800.0,ns,1216
parallel_light_compute,specs,,,,80576900.0,ns,1232
parallel_light_compute,specs,,,,82438300.0,ns,1248
parallel_light_compute,specs,,,,83110100.0,ns,1264
parallel_light_compute,specs,,,,81523000.0,ns,1280
parallel_light_compute,specs,,,,82925600.0,ns,1296
parallel_light_compute,specs,,,,86222900.0,ns,1312
parallel_light_compute,specs,,,,86718100.0,ns,1328
parallel_light_compute,specs,,,,87711300.0,ns,1344
parallel_light_compute,specs,,,,91247000.0,ns,1360
parallel_light_compute,specs,,,,90112500.0,ns,1376
parallel_light_compute,specs,,,,91004100.0,ns,1392
parallel_light_compute,specs,,,,92283400.0,ns,1408
parallel_light_compute,specs,,,,92156400.0,ns,1424
parallel_light_compute,specs,,,,95001600.0,ns,1440
parallel_light_compute,specs,,,,95054800.0,ns,1456
parallel_light_compute,specs,,,,96025900.0,ns,1472
parallel_light_compute,specs,,,,100016900.0,ns,1488
parallel_light_compute,specs,,,,97906200.0,ns,1504
parallel_light_compute,specs,,,,100005900.0,ns,1520
parallel_light_compute,specs,,,,100797600.0,ns,1536
parallel_light_compute,specs,,,,100211400.0,ns,1552
parallel_light_compute,specs,,,,102497000.0,ns,1568
parallel_light_compute,specs,,,,101913300.0,ns,1584
parallel_light_compute,specs,,,,104027900.0,ns,1600
