group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1679300.0,ns,16
schedule,bevy,,,,2708300.0,ns,32
schedule,bevy,,,,3602900.0,ns,48
schedule,bevy,,,,4659900.0,ns,64
schedule,bevy,,,,5919500.0,ns,80
schedule,bevy,,,,6614500.0,ns,96
schedule,bevy,,,,8096400.0,ns,112
schedule,bevy,,,,9025900.0,ns,128
schedule,bevy,,,,9558800.0,ns,144
schedule,bevy,,,,11061200.0,ns,160
schedule,bevy,,,,12517500.0,ns,176
schedule,bevy,,,,13164500.0,ns,192
schedule,bevy,,,,13553900.0,ns,208
schedule,bevy,,,,15098400.0,ns,224
schedule,bevy,,,,16345400.0,ns,240
schedule,bevy,,,,17898000.0,ns,256
schedule,bevy,,,,18942300.0,ns,272
schedule,bevy,,,,18353600.0,ns,288
schedule,bevy,,,,19562900.0,ns,304
schedule,bevy,,,,21319600.0,ns,320
schedule,bevy,,,,21724000.0,ns,336
schedule,bevy,,,,23947600.0,ns,352
schedule,bevy,,,,25432100.0,ns,368
schedule,bevy,,,,24302800.0,ns,384
schedule,bevy,,,,27220100.0,ns,400
schedule,bevy,,,,26102700.0,ns,416
schedule,bevy,,,,28840300.0,ns,432
schedule,bevy,,,,29697400.0,ns,448
schedule,bevy,,,,29336700.0,ns,464
schedule,bevy,,,,31757100.0,ns,480
schedule,bevy,,,,32964800.0,ns,496
schedule,bevy,,,,33849500.0,ns,512
schedule,bevy,,,,35726400.0,ns,528
schedule,bevy,,,,33901600.0,ns,544
schedule,bevy,,,,38520300.0,ns,560
schedule,bevy,,,,37783400.0,ns,576
schedule,bevy,,,,37594300.0,ns,592
schedule,bevy,,,,40800000.0,ns,608
schedule,bevy,,,,39502300.0,ns,624
schedule,bevy,,,,40184300.0,ns,640
schedule,bevy,,,,43681600.0,ns,656
schedule,bevy,,,,41829800.0,ns,672
schedule,bevy,,,,43241300.0,ns,688
schedule,bevy,,,,46547500.0,ns,704
schedule,bevy,,,,50132600.0,ns,720
schedule,bevy,,,,45998100.0,ns,736
schedule,bevy,,,,47093300.0,ns,752
schedule,bevy,,,,47957700.0,ns,768
schedule,bevy,,,,53338100.0,ns,784
schedule,bevy,,,,54041100.0,ns,800
schedule,bevy,,,,51073100.0,ns,816
schedule,bevy,,,,54106700.0,ns,832
schedule,bevy,,,,57239900.0,ns,848
schedule,bevy,,,,53840400.0,ns,864
schedule,bevy,,,,60160800.0,ns,880
schedule,bevy,,,,61641100.0,ns,896
schedule,bevy,,,,57263800.0,ns,912
schedule,bevy,,,,62376500.0,ns,928
schedule,bevy,,,,59832400.0,ns,944
schedule,bevy,,,,64942500.0,ns,960
schedule,bevy,,,,61244300.0,ns,976
schedule,bevy,,,,61413700.0,ns,992
schedule,bevy,,,,68446500.0,ns,1008
schedule,bevy,,,,69412500.0,ns,1024
schedule,bevy,,,,70544400.0,ns,1040
schedule,bevy,,,,70547000.0,ns,1056
schedule,bevy,,,,71244100.0,ns,1072
schedule,bevy,,,,70147800.0,ns,1088
schedule,bevy,,,,74938700.0,ns,1104
schedule,bevy,,,,73054900.0,ns,1120
schedule,bevy,,,,74906500.0,ns,1136
schedule,bevy,,,,77019300.0,ns,1152
schedule,bevy,,,,78860000.0,ns,1168
schedule,bevy,,,,77502800.0,ns,1184
schedule,bevy,,,,81677100.0,ns,1200
schedule,bevy,,,,80160500.0,ns,1216
schedule,bevy,,,,81208200.0,ns,1232
schedule,bevy,,,,82032900.0,ns,1248
schedule,bevy,,,,83208500.0,ns,1264
schedule,bevy,,,,78860900.0,ns,1280
schedule,bevy,,,,90167900.0,ns,1296
schedule,bevy,,,,87229600.0,ns,1312
schedule,bevy,,,,89599400.0,ns,1328
schedule,bevy,,,,83969700.0,ns,1344
schedule,bevy,,,,89865700.0,ns,1360
schedule,bevy,,,,90181400.0,ns,1376
schedule,bevy,,,,94130600.0,ns,1392
schedule,bevy,,,,87281500.0,ns,1408
schedule,bevy,,,,93889900.0,ns,1424
schedule,bevy,,,,88811300.0,ns,1440
schedule,bevy,,,,96003500.0,ns,1456
schedule,bevy,,,,92572200.0,ns,1472
schedule,bevy,,,,95458800.0,ns,1488
schedule,bevy,,,,94948000.0,ns,1504
schedule,bevy,,,,101678500.0,ns,1520
schedule,bevy,,,,105846100.0,ns,1536
schedule,bevy,,,,97184300.0,ns,1552
schedule,bevy,,,,103916300.0,ns,1568
schedule,bevy,,,,97776800.0,ns,1584
schedule,bevy,,,,107053200.0,ns,1600
