group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,bevy,,,,1758100.0,ns,16
schedule,bevy,,,,2611200.0,ns,32
schedule,bevy,,,,3811400.0,ns,48
schedule,bevy,,,,4952000.0,ns,64
schedule,bevy,,,,5551900.0,ns,80
schedule,bevy,,,,6498600.0,ns,96
schedule,bevy,,,,7547600.0,ns,112
schedule,bevy,,,,8979900.0,ns,128
schedule,bevy,,,,10062600.0,ns,144
schedule,bevy,,,,10468900.0,ns,160
schedule,bevy,,,,12046900.0,ns,176
schedule,bevy,,,,13889300.0,ns,192
schedule,bevy,,,,13426500.0,ns,208
schedule,bevy,,,,14575000.0,ns,224
schedule,bevy,,,,16451900.0,ns,240
schedule,bevy,,,,17393000.0,ns,256
schedule,bevy,,,,18302300.0,ns,272
schedule,bevy,,,,19376200.0,ns,288
schedule,bevy,,,,20288500.0,ns,304
schedule,bevy,,,,21501500.0,ns,320
schedule,bevy,,,,23038000.0,ns,336
schedule,bevy,,,,23319900.0,ns,352
schedule,bevy,,,,24531400.0,ns,368
schedule,bevy,,,,24177100.0,ns,384
schedule,bevy,,,,26571800.0,ns,400
schedule,bevy,,,,26295700.0,ns,416
schedule,bevy,,,,29921600.0,ns,432
schedule,bevy,,,,29921600.0,ns,448
schedule,bevy,,,,30688600.0,ns,464
schedule,bevy,,,,31999200.0,ns,480
schedule,bevy,,,,34054600.0,ns,496
schedule,bevy,,,,34345600.0,ns,512
schedule,bevy,,,,35147100.0,ns,528
schedule,bevy,,,,36220600.0,ns,544
schedule,bevy,,,,35213400.0,ns,560
schedule,bevy,,,,36084000.0,ns,576
schedule,bevy,,,,39671800.0,ns,592
schedule,bevy,,,,40213100.0,ns,608
schedule,bevy,,,,41446700.0,ns,624
schedule,bevy,,,,42538500.0,ns,640
schedule,bevy,,,,41472100.0,ns,656
schedule,bevy,,,,42292000.0,ns,672
schedule,bevy,,,,49561400.0,ns,688
schedule,bevy,,,,47472300.0,ns,704
schedule,bevy,,,,48078800.0,ns,720
schedule,bevy,,,,49474900.0,ns,736
schedule,bevy,,,,50801800.0,ns,752
schedule,bevy,,,,50828000.0,ns,768
schedule,bevy,,,,52081600.0,ns,784
schedule,bevy,,,,52864000.0,ns,800
schedule,bevy,,,,54277500.0,ns,816
schedule,bevy,,,,54797100.0,ns,832
schedule,bevy,,,,55816900.0,ns,848
schedule,bevy,,,,57614800.0,ns,864
schedule,bevy,,,,58360900.0,ns,880
schedule,bevy,,,,60004600.0,ns,896
schedule,bevy,,,,60750800.0,ns,912
schedule,bevy,,,,62183000.0,ns,928
schedule,bevy,,,,59509300.0,ns,944
schedule,bevy,,,,61456000.0,ns,960
schedule,bevy,,,,64612600.0,ns,976
schedule,bevy,,,,65791000.0,ns,992
schedule,bevy,,,,62664200.0,ns,1008
schedule,bevy,,,,63872200.0,ns,1024
schedule,bevy,,,,64933400.0,ns,1040
schedule,bevy,,,,68118500.0,ns,1056
schedule,bevy,,,,71093300.0,ns,1072
schedule,bevy,,,,67993400.0,ns,1088
schedule,bevy,,,,72802200.0,ns,1104
schedule,bevy,,,,72951600.0,ns,1120
schedule,bevy,,,,70347000.0,ns,1136
schedule,bevy,,,,75966900.0,ns,1152
schedule,bevy,,,,76393100.0,ns,1168
schedule,bevy,,,,77301100.0,ns,1184
schedule,bevy,,,,75517500.0,ns,1200
schedule,bevy,,,,76483100.0,ns,1216
schedule,bevy,,,,81049800.0,ns,1232
schedule,bevy,,,,77900500.0,ns,1248
schedule,bevy,,,,84128700.0,ns,1264
schedule,bevy,,,,80524300.0,ns,1280
schedule,bevy,,,,85367200.0,ns,1296
schedule,bevy,,,,87768900.0,ns,1312
schedule,bevy,,,,82940100.0,ns,1328
schedule,bevy,,,,88935000.0,ns,1344
schedule,bevy,,,,91221000.0,ns,1360
schedule,bevy,,,,90850700.0,ns,1376
schedule,bevy,,,,91069800.0,ns,1392
schedule,bevy,,,,87352100.0,ns,1408
schedule,bevy,,,,93673100.0,ns,1424
schedule,bevy,,,,89394500.0,ns,1440
schedule,bevy,,,,90742100.0,ns,1456
schedule,bevy,,,,91868900.0,ns,1472
schedule,bevy,,,,97475400.0,ns,1488
schedule,bevy,,,,98366100.0,ns,1504
schedule,bevy,,,,93904100.0,ns,1520
schedule,bevy,,,,101758300.0,ns,1536
schedule,bevy,,,,101784200.0,ns,1552
schedule,bevy,,,,102665900.0,ns,1568
schedule,bevy,,,,102599600.0,ns,1584
schedule,bevy,,,,103931900.0,ns,1600
