group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion (packed),,,,1113100.0,ns,13
schedule,legion (packed),,,,2119000.0,ns,26
schedule,legion (packed),,,,3160400.0,ns,39
schedule,legion (packed),,,,3989900.0,ns,52
schedule,legion (packed),,,,5205700.0,ns,65
schedule,legion (packed),,,,6394200.0,ns,78
schedule,legion (packed),,,,6907900.0,ns,91
schedule,legion (packed),,,,7920200.0,ns,104
schedule,legion (packed),,,,9433000.0,ns,117
schedule,legion (packed),,,,10153500.0,ns,130
schedule,legion (packed),,,,10974800.0,ns,143
schedule,legion (packed),,,,12071200.0,ns,156
schedule,legion (packed),,,,13454400.0,ns,169
schedule,legion (packed),,,,14575900.0,ns,182
schedule,legion (packed),,,,15159000.0,ns,195
schedule,legion (packed),,,,16165700.0,ns,208
schedule,legion (packed),,,,17877300.0,ns,221
schedule,legion (packed),,,,18140900.0,ns,234
schedule,legion (packed),,,,18903900.0,ns,247
schedule,legion (packed),,,,20139500.0,ns,260
schedule,legion (packed),,,,21216100.0,ns,273
schedule,legion (packed),,,,22692900.0,ns,286
schedule,legion (packed),,,,23419900.0,ns,299
schedule,legion (packed),,,,23580100.0,ns,312
schedule,legion (packed),,,,25324100.0,ns,325
schedule,legion (packed),,,,26333300.0,ns,338
schedule,legion (packed),,,,27306300.0,ns,351
schedule,legion (packed),,,,28645600.0,ns,364
schedule,legion (packed),,,,29747700.0,ns,377
schedule,legion (packed),,,,29724900.0,ns,390
schedule,legion (packed),,,,30538600.0,ns,403
schedule,legion (packed),,,,32530600.0,ns,416
schedule,legion (packed),,,,33250800.0,ns,429
schedule,legion (packed),,,,34175900.0,ns,442
schedule,legion (packed),,,,35202600.0,ns,455
schedule,legion (packed),,,,35758500.0,ns,468
schedule,legion (packed),,,,38514700.0,ns,481
schedule,legion (packed),,,,39257100.0,ns,494
schedule,legion (packed),,,,39822100.0,ns,507
schedule,legion (packed),,,,40598700.0,ns,520
schedule,legion (packed),,,,41218000.0,ns,533
schedule,legion (packed),,,,43691100.0,ns,546
schedule,legion (packed),,,,43731400.0,ns,559
schedule,legion (packed),,,,44535400.0,ns,572
schedule,legion (packed),,,,45359200.0,ns,585
schedule,legion (packed),,,,46732400.0,ns,598
schedule,legion (packed),,,,47782700.0,ns,611
schedule,legion (packed),,,,47977200.0,ns,624
schedule,legion (packed),,,,48960600.0,ns,637
schedule,legion (packed),,,,50786300.0,ns,650
schedule,legion (packed),,,,52040300.0,ns,663
schedule,legion (packed),,,,52622100.0,ns,676
schedule,legion (packed),,,,53247900.0,ns,689
schedule,legion (packed),,,,53678200.0,ns,702
schedule,legion (packed),,,,56605000.0,ns,715
schedule,legion (packed),,,,57000400.0,ns,728
schedule,legion (packed),,,,58111700.0,ns,741
schedule,legion (packed),,,,59641100.0,ns,754
schedule,legion (packed),,,,59902300.0,ns,767
schedule,legion (packed),,,,61001900.0,ns,780
schedule,legion (packed),,,,61577900.0,ns,793
schedule,legion (packed),,,,64789800.0,ns,806
schedule,legion (packed),,,,66093800.0,ns,819
schedule,legion (packed),,,,66629600.0,ns,832
schedule,legion (packed),,,,67133400.0,ns,845
schedule,legion (packed),,,,65924400.0,ns,858
schedule,legion (packed),,,,67593600.0,ns,871
schedule,legion (packed),,,,68122900.0,ns,884
schedule,legion (packed),,,,69650600.0,ns,897
schedule,legion (packed),,,,71460200.0,ns,910
schedule,legion (packed),,,,71838700.0,ns,923
schedule,legion (packed),,,,73256200.0,ns,936
schedule,legion (packed),,,,73668000.0,ns,949
schedule,legion (packed),,,,74021500.0,ns,962
schedule,legion (packed),,,,75240800.0,ns,975
schedule,legion (packed),,,,78948900.0,ns,988
schedule,legion (packed),,,,77433700.0,ns,1001
schedule,legion (packed),,,,77490300.0,ns,1014
schedule,legion (packed),,,,79920900.0,ns,1027
schedule,legion (packed),,,,80275200.0,ns,1040
schedule,legion (packed),,,,82132700.0,ns,1053
schedule,legion (packed),,,,82542700.0,ns,1066
schedule,legion (packed),,,,81792400.0,ns,1079
schedule,legion (packed),,,,83446000.0,ns,1092
schedule,legion (packed),,,,85234200.0,ns,1105
schedule,legion (packed),,,,87387300.0,ns,1118
schedule,legion (packed),,,,88299200.0,ns,1131
schedule,legion (packed),,,,89771000.0,ns,1144
schedule,legion (packed),,,,92913300.0,ns,1157
schedule,legion (packed),,,,92120800.0,ns,1170
schedule,legion (packed),,,,90757600.0,ns,1183
schedule,legion (packed),,,,94616600.0,ns,1196
schedule,legion (packed),,,,94408800.0,ns,1209
schedule,legion (packed),,,,96671800.0,ns,1222
schedule,legion (packed),,,,96205200.0,ns,1235
schedule,legion (packed),,,,96453000.0,ns,1248
schedule,legion (packed),,,,99474500.0,ns,1261
schedule,legion (packed),,,,100987200.0,ns,1274
schedule,legion (packed),,,,101526400.0,ns,1287
schedule,legion (packed),,,,100507200.0,ns,1300
