group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1107600.0,ns,12
schedule,legion,,,,2111100.0,ns,24
schedule,legion,,,,3254400.0,ns,36
schedule,legion,,,,4050100.0,ns,48
schedule,legion,,,,5224100.0,ns,60
schedule,legion,,,,5950400.0,ns,72
schedule,legion,,,,7159500.0,ns,84
schedule,legion,,,,8174900.0,ns,96
schedule,legion,,,,9173300.0,ns,108
schedule,legion,,,,10379300.0,ns,120
schedule,legion,,,,10997300.0,ns,132
schedule,legion,,,,11696200.0,ns,144
schedule,legion,,,,12567900.0,ns,156
schedule,legion,,,,13814300.0,ns,168
schedule,legion,,,,14744500.0,ns,180
schedule,legion,,,,15805800.0,ns,192
schedule,legion,,,,16853300.0,ns,204
schedule,legion,,,,18310200.0,ns,216
schedule,legion,,,,19122100.0,ns,228
schedule,legion,,,,19641400.0,ns,240
schedule,legion,,,,20902700.0,ns,252
schedule,legion,,,,22000300.0,ns,264
schedule,legion,,,,22891100.0,ns,276
schedule,legion,,,,23864000.0,ns,288
schedule,legion,,,,26296200.0,ns,300
schedule,legion,,,,25591800.0,ns,312
schedule,legion,,,,27159000.0,ns,324
schedule,legion,,,,26930200.0,ns,336
schedule,legion,,,,28392100.0,ns,348
schedule,legion,,,,29617000.0,ns,360
schedule,legion,,,,30984600.0,ns,372
schedule,legion,,,,31431800.0,ns,384
schedule,legion,,,,32755000.0,ns,396
schedule,legion,,,,33266000.0,ns,408
schedule,legion,,,,34140600.0,ns,420
schedule,legion,,,,35986200.0,ns,432
schedule,legion,,,,36458400.0,ns,444
schedule,legion,,,,38056000.0,ns,456
schedule,legion,,,,37238000.0,ns,468
schedule,legion,,,,39499300.0,ns,480
schedule,legion,,,,40574400.0,ns,492
schedule,legion,,,,40865800.0,ns,504
schedule,legion,,,,42404000.0,ns,516
schedule,legion,,,,43578000.0,ns,528
schedule,legion,,,,45040200.0,ns,540
schedule,legion,,,,46333200.0,ns,552
schedule,legion,,,,46551100.0,ns,564
schedule,legion,,,,46870300.0,ns,576
schedule,legion,,,,47473500.0,ns,588
schedule,legion,,,,49777800.0,ns,600
schedule,legion,,,,50363300.0,ns,612
schedule,legion,,,,51763200.0,ns,624
schedule,legion,,,,51974900.0,ns,636
schedule,legion,,,,53630100.0,ns,648
schedule,legion,,,,54477300.0,ns,660
schedule,legion,,,,54435500.0,ns,672
schedule,legion,,,,57539800.0,ns,684
schedule,legion,,,,56513400.0,ns,696
schedule,legion,,,,56897100.0,ns,708
schedule,legion,,,,58594300.0,ns,720
schedule,legion,,,,61352700.0,ns,732
schedule,legion,,,,61332500.0,ns,744
schedule,legion,,,,62008900.0,ns,756
schedule,legion,,,,64181800.0,ns,768
schedule,legion,,,,62817600.0,ns,780
schedule,legion,,,,64211100.0,ns,792
schedule,legion,,,,68738200.0,ns,804
schedule,legion,,,,67354100.0,ns,816
schedule,legion,,,,67754300.0,ns,828
schedule,legion,,,,69712300.0,ns,840
schedule,legion,,,,70062700.0,ns,852
schedule,legion,,,,71056500.0,ns,864
schedule,legion,,,,72139000.0,ns,876
schedule,legion,,,,74110300.0,ns,888
schedule,legion,,,,74249800.0,ns,900
schedule,legion,,,,75697500.0,ns,912
schedule,legion,,,,75638300.0,ns,924
schedule,legion,,,,77859800.0,ns,936
schedule,legion,,,,77829500.0,ns,948
schedule,legion,,,,79879400.0,ns,960
schedule,legion,,,,82633700.0,ns,972
schedule,legion,,,,87669600.0,ns,984
schedule,legion,,,,85532800.0,ns,996
schedule,legion,,,,83946900.0,ns,1008
schedule,legion,,,,87258800.0,ns,1020
schedule,legion,,,,91244600.0,ns,1032
schedule,legion,,,,96939200.0,ns,1044
schedule,legion,,,,93478300.0,ns,1056
schedule,legion,,,,87847000.0,ns,1068
schedule,legion,,,,89510100.0,ns,1080
schedule,legion,,,,91123300.0,ns,1092
schedule,legion,,,,92952200.0,ns,1104
schedule,legion,,,,93282000.0,ns,1116
schedule,legion,,,,93336000.0,ns,1128
schedule,legion,,,,93731700.0,ns,1140
schedule,legion,,,,95097800.0,ns,1152
schedule,legion,,,,95909600.0,ns,1164
schedule,legion,,,,97811900.0,ns,1176
schedule,legion,,,,97017500.0,ns,1188
schedule,legion,,,,98429800.0,ns,1200
