group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion,,,,1151200.0,ns,13
schedule,legion,,,,2469900.0,ns,26
schedule,legion,,,,3293300.0,ns,39
schedule,legion,,,,4421100.0,ns,52
schedule,legion,,,,5410700.0,ns,65
schedule,legion,,,,5952400.0,ns,78
schedule,legion,,,,7563100.0,ns,91
schedule,legion,,,,8272500.0,ns,104
schedule,legion,,,,9641900.0,ns,117
schedule,legion,,,,11074900.0,ns,130
schedule,legion,,,,11662000.0,ns,143
schedule,legion,,,,12665100.0,ns,156
schedule,legion,,,,13676800.0,ns,169
schedule,legion,,,,14914700.0,ns,182
schedule,legion,,,,16637500.0,ns,195
schedule,legion,,,,17328500.0,ns,208
schedule,legion,,,,18422600.0,ns,221
schedule,legion,,,,19671500.0,ns,234
schedule,legion,,,,20415500.0,ns,247
schedule,legion,,,,21581800.0,ns,260
schedule,legion,,,,22143000.0,ns,273
schedule,legion,,,,22907100.0,ns,286
schedule,legion,,,,24199000.0,ns,299
schedule,legion,,,,25926500.0,ns,312
schedule,legion,,,,27579700.0,ns,325
schedule,legion,,,,30305700.0,ns,338
schedule,legion,,,,29165700.0,ns,351
schedule,legion,,,,30588500.0,ns,364
schedule,legion,,,,30370500.0,ns,377
schedule,legion,,,,35528900.0,ns,390
schedule,legion,,,,33455900.0,ns,403
schedule,legion,,,,34244200.0,ns,416
schedule,legion,,,,34552700.0,ns,429
schedule,legion,,,,37663800.0,ns,442
schedule,legion,,,,37806800.0,ns,455
schedule,legion,,,,39765000.0,ns,468
schedule,legion,,,,40490200.0,ns,481
schedule,legion,,,,41913500.0,ns,494
schedule,legion,,,,42921200.0,ns,507
schedule,legion,,,,40908900.0,ns,520
schedule,legion,,,,43685900.0,ns,533
schedule,legion,,,,44849100.0,ns,546
schedule,legion,,,,44873300.0,ns,559
schedule,legion,,,,45892800.0,ns,572
schedule,legion,,,,46196800.0,ns,585
schedule,legion,,,,46682500.0,ns,598
schedule,legion,,,,49556100.0,ns,611
schedule,legion,,,,49788300.0,ns,624
schedule,legion,,,,50513200.0,ns,637
schedule,legion,,,,51624900.0,ns,650
schedule,legion,,,,51667600.0,ns,663
schedule,legion,,,,56528200.0,ns,676
schedule,legion,,,,57683500.0,ns,689
schedule,legion,,,,60619200.0,ns,702
schedule,legion,,,,59392200.0,ns,715
schedule,legion,,,,60079000.0,ns,728
schedule,legion,,,,60881300.0,ns,741
schedule,legion,,,,63546800.0,ns,754
schedule,legion,,,,62979200.0,ns,767
schedule,legion,,,,63667600.0,ns,780
schedule,legion,,,,63978600.0,ns,793
schedule,legion,,,,66923100.0,ns,806
schedule,legion,,,,65961000.0,ns,819
schedule,legion,,,,66481200.0,ns,832
schedule,legion,,,,66854400.0,ns,845
schedule,legion,,,,68970000.0,ns,858
schedule,legion,,,,71041600.0,ns,871
schedule,legion,,,,72508900.0,ns,884
schedule,legion,,,,72962700.0,ns,897
schedule,legion,,,,71988000.0,ns,910
schedule,legion,,,,72412600.0,ns,923
schedule,legion,,,,73904200.0,ns,936
schedule,legion,,,,75725400.0,ns,949
schedule,legion,,,,77821400.0,ns,962
schedule,legion,,,,78053700.0,ns,975
schedule,legion,,,,79815000.0,ns,988
schedule,legion,,,,79006200.0,ns,1001
schedule,legion,,,,80846100.0,ns,1014
schedule,legion,,,,81941000.0,ns,1027
schedule,legion,,,,83824200.0,ns,1040
schedule,legion,,,,83571400.0,ns,1053
schedule,legion,,,,83828900.0,ns,1066
schedule,legion,,,,85239400.0,ns,1079
schedule,legion,,,,88958300.0,ns,1092
schedule,legion,,,,90065700.0,ns,1105
schedule,legion,,,,92304900.0,ns,1118
schedule,legion,,,,93166800.0,ns,1131
schedule,legion,,,,94144800.0,ns,1144
schedule,legion,,,,95291500.0,ns,1157
schedule,legion,,,,96763500.0,ns,1170
schedule,legion,,,,95513700.0,ns,1183
schedule,legion,,,,98846300.0,ns,1196
schedule,legion,,,,99988100.0,ns,1209
schedule,legion,,,,99398500.0,ns,1222
schedule,legion,,,,102251600.0,ns,1235
schedule,legion,,,,109677200.0,ns,1248
schedule,legion,,,,102970600.0,ns,1261
schedule,legion,,,,104856700.0,ns,1274
schedule,legion,,,,108359000.0,ns,1287
schedule,legion,,,,110024600.0,ns,1300
