group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion_packed,,,,1020900.0,ns,12
schedule,legion_packed,,,,2067000.0,ns,24
schedule,legion_packed,,,,3428200.0,ns,36
schedule,legion_packed,,,,4020600.0,ns,48
schedule,legion_packed,,,,4966100.0,ns,60
schedule,legion_packed,,,,5901400.0,ns,72
schedule,legion_packed,,,,7409900.0,ns,84
schedule,legion_packed,,,,8187100.0,ns,96
schedule,legion_packed,,,,9267200.0,ns,108
schedule,legion_packed,,,,10420500.0,ns,120
schedule,legion_packed,,,,11565900.0,ns,132
schedule,legion_packed,,,,11715500.0,ns,144
schedule,legion_packed,,,,13241600.0,ns,156
schedule,legion_packed,,,,14701600.0,ns,168
schedule,legion_packed,,,,14777100.0,ns,180
schedule,legion_packed,,,,16520900.0,ns,192
schedule,legion_packed,,,,16708000.0,ns,204
schedule,legion_packed,,,,17695600.0,ns,216
schedule,legion_packed,,,,18030200.0,ns,228
schedule,legion_packed,,,,18861600.0,ns,240
schedule,legion_packed,,,,20447500.0,ns,252
schedule,legion_packed,,,,22026700.0,ns,264
schedule,legion_packed,,,,23362300.0,ns,276
schedule,legion_packed,,,,24850100.0,ns,288
schedule,legion_packed,,,,26086300.0,ns,300
schedule,legion_packed,,,,27365100.0,ns,312
schedule,legion_packed,,,,27792500.0,ns,324
schedule,legion_packed,,,,30324500.0,ns,336
schedule,legion_packed,,,,30234600.0,ns,348
schedule,legion_packed,,,,30305900.0,ns,360
schedule,legion_packed,,,,31990500.0,ns,372
schedule,legion_packed,,,,32981000.0,ns,384
schedule,legion_packed,,,,33747500.0,ns,396
schedule,legion_packed,,,,38272000.0,ns,408
schedule,legion_packed,,,,38888700.0,ns,420
schedule,legion_packed,,,,37800700.0,ns,432
schedule,legion_packed,,,,38508200.0,ns,444
schedule,legion_packed,,,,38991700.0,ns,456
schedule,legion_packed,,,,39136600.0,ns,468
schedule,legion_packed,,,,41782400.0,ns,480
schedule,legion_packed,,,,43043000.0,ns,492
schedule,legion_packed,,,,44731000.0,ns,504
schedule,legion_packed,,,,43803400.0,ns,516
schedule,legion_packed,,,,45666300.0,ns,528
schedule,legion_packed,,,,43700900.0,ns,540
schedule,legion_packed,,,,45238700.0,ns,552
schedule,legion_packed,,,,46324400.0,ns,564
schedule,legion_packed,,,,46817600.0,ns,576
schedule,legion_packed,,,,47853700.0,ns,588
schedule,legion_packed,,,,50243500.0,ns,600
schedule,legion_packed,,,,53150900.0,ns,612
schedule,legion_packed,,,,53066300.0,ns,624
schedule,legion_packed,,,,54985400.0,ns,636
schedule,legion_packed,,,,55702600.0,ns,648
schedule,legion_packed,,,,57166100.0,ns,660
schedule,legion_packed,,,,56929700.0,ns,672
schedule,legion_packed,,,,57291500.0,ns,684
schedule,legion_packed,,,,57216500.0,ns,696
schedule,legion_packed,,,,58128800.0,ns,708
schedule,legion_packed,,,,58992300.0,ns,720
schedule,legion_packed,,,,60697000.0,ns,732
schedule,legion_packed,,,,64167800.0,ns,744
schedule,legion_packed,,,,63140700.0,ns,756
schedule,legion_packed,,,,60719700.0,ns,768
schedule,legion_packed,,,,67899400.0,ns,780
schedule,legion_packed,,,,68068500.0,ns,792
schedule,legion_packed,,,,66668600.0,ns,804
schedule,legion_packed,,,,70067900.0,ns,816
schedule,legion_packed,,,,70549200.0,ns,828
schedule,legion_packed,,,,67450900.0,ns,840
schedule,legion_packed,,,,67584200.0,ns,852
schedule,legion_packed,,,,70930300.0,ns,864
schedule,legion_packed,,,,69637300.0,ns,876
schedule,legion_packed,,,,69335500.0,ns,888
schedule,legion_packed,,,,71589300.0,ns,900
schedule,legion_packed,,,,74466300.0,ns,912
schedule,legion_packed,,,,75497400.0,ns,924
schedule,legion_packed,,,,75741100.0,ns,936
schedule,legion_packed,,,,75429000.0,ns,948
schedule,legion_packed,,,,76315200.0,ns,960
schedule,legion_packed,,,,76074800.0,ns,972
schedule,legion_packed,,,,78110500.0,ns,984
schedule,legion_packed,,,,79245700.0,ns,996
schedule,legion_packed,,,,80264800.0,ns,1008
schedule,legion_packed,,,,84525500.0,ns,1020
schedule,legion_packed,,,,82199400.0,ns,1032
schedule,legion_packed,,,,82591100.0,ns,1044
schedule,legion_packed,,,,82429600.0,ns,1056
schedule,legion_packed,,,,90330500.0,ns,1068
schedule,legion_packed,,,,87255100.0,ns,1080
schedule,legion_packed,,,,87502700.0,ns,1092
schedule,legion_packed,,,,87831500.0,ns,1104
schedule,legion_packed,,,,87678900.0,ns,1116
schedule,legion_packed,,,,88107200.0,ns,1128
schedule,legion_packed,,,,91141000.0,ns,1140
schedule,legion_packed,,,,91413300.0,ns,1152
schedule,legion_packed,,,,94661900.0,ns,1164
schedule,legion_packed,,,,93636200.0,ns,1176
schedule,legion_packed,,,,94856900.0,ns,1188
schedule,legion_packed,,,,94091800.0,ns,1200
